"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFV","VIC","43861","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","24","","Azevedo, I F P",2014,1,29,"Brazil","Minas Gerais","Viçosa","Mata do Paraíso, Trilha da Pesquisa",,,"Arbusto, 1,5m de altura, ramos glabros, folha com margem ondulada, estípula caduca, interia, inflorescências terminais, flores sésseis, distílicas, corola tubulosa branca, morfo longistilo, estames inclusos, estigma exserto. Morfo brev","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","IF","SPSF","47326","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","1199","","G.D.Colletta & A.G.Aguirre & J.Teixeira",2013,6,14,"Brazil","Sp","Ilhabela","Trilha de Castelhanos",,,"COLETA: Arbusto, 3m, frutos imaturos verdes passando à amarelos e maduros avermelhados.&nf;Posto na Sílica.; GEOGRAFIA: Antes do pico, Floresta Ombrófila Densa.;","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128835","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor","Colletta, G.D.",2013,"","1199","","Colletta, G.D.",2013,6,14,"Brazil","São Paulo","Ilhabela","Trilha de Castelhanos, antes do Pico",,,"Arbusto, 3m, frutos imaturos verdes passando à amarelos e maduros avermelhados","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","UFV","VIC","032650","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","2654","","Valente, G.E.; et al.",2009,12,11,"Brazil","Minas Gerais","Viçosa","Reserva Florestal da Mata do Paraiso",,,"Planta de cerca 1 m, coletada na borda da trilha após a sede perto das jabuticabeiras, flores brancas.Planta n°3 e 38 da anatomia.","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","NY","NY","719853","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","8086","","F. Búgola-Silva",2008,3,13,"Brazil","São Paulo",,"Paranapiacaba, Núcleo Olho D'Água. Trilha do Gravatá",-23.780086,-46.299058,,"Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","UEFS","HUEFS","119493","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","616","","França, G.S.",2004,7,7,"Brazil","Minas Gerais","Pingo d' Água","Fazenda Sacramento.",-19.725278,-42.426389,"Floresta estacional semidecidual submontana.","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","UFV","VIC","42217","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","s.n.","","Santos, M.L.",2004,12,1,"Brazil","Minas Gerais","Viçosa","Sitio Bonsucesso",,,"Arbusto de flores brancas.","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","UFV","VIC","042251","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","s.n.","","Santos, M.L.",2004,12,1,"Brazil","Minas Gerais","Viçosa","Sitio Bonsucesso",,,"Arbusto de flores brancas","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","MO","MO","3221503","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor","C.M. Taylor (MO)",2007,"","Jardim 4125","","Jomar G. Jardim",2003,1,9,"Brazil","Bahia",,"Camaca para Portiragua ca 4,4 km Sw de Camaca. Plantacao de Cacau",-15.45,-39.5,,"Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","60363","Psychotria subspathulata","","Rubiaceae","Psychotria","subspathulata","","(Müll.Arg.) C.M.Taylor",,,"","7026","","Salino, A; Mota, RC da",2001,6,8,"Brazil","Minas Gerais","Santana do Garambéu","Área de Mata de galeria do córrego afluente da margem direita do Rio Grande.",-21.607917,-44.126694,"Arbusto com 2m de altura, interior de mata ciliar, frutos imaturos verdes","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","",,"GBIF"
