"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MO","MO","3227319","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","C. M. Taylor",2014,"","Prance 20562","","Ghillean T. Prance|David G. Campbell|J.C. Ongley|José F. Ramos|O.P. Monteiro",1974,3,15,"Brazil","Amazonas",,"Manuas-Porto Velho Highway. Margin of Igapo Acu at crossin with BR319, Manaus-Porto Velho Road. Forest on terra firme.",,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","MO","MO","3231369","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","C.M. Taylor",2014,"","LLERAS 19671","","LLERAS",1973,11,24,"Brazil","Amazonas",,"Manaus-Porto Velho Highway. Road Manaus-Porto Velho (BR319) ca Km. 235; Igapo Acu; black water varzea",,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","W","Herbarium W","1889-0113392","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","L. Anderson 1994-05",,"",,"","Spruce,R.",1852,10,,"Brazil",,,"Prope Panurè ad Rio Uaupès",,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","W","Herbarium W","1889-0111911","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","L. Anderson 1994-05",,"",,"","Spruce,R.",1852,10,,"Brazil",,,"Prope Panurè ad Rio Uaupès.",,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","BR",,"BR0000005327966","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","Spruce R.",1852,10,,"Brazil",,,,,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","NY","NY","133107","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",1852,10,,"Brazil","Amazonas",,"Prope Panuri ad Rio Uaupés.",0.225176,-68.512137,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","GH","GH","barcode-00095743","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",1852,10,,"Brazil",,,"Prope Panure ad Rio Uaupes",,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","LD","General","1036084","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"",,"","R. Spruce",1852,10,,"Brazil","Amazonas",,"Panuré [Ipanoré]",0.311667,-68.652778,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","NHMUK","BOT","BM001008768","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","Bengt Lennart Andersson",,"","2379","","Richard Spruce",,,,"Brazil",,,,-10.773109,-53.08982,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-294311/1","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.","Standley, P. C. (1931)",,"",,"","Spruce, R. (Coll. De Candolle)",,,,"Peru",,,"Amazonas - Prope Panurè ad Rio Uaupès.",-5.04333,-77.96583,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-294311/2","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"",,"","Spruce, R. (Coll. Barbey-Boissier)",,,,"Peru",,,"Amazonas - Prope Panurè ad Rio Uaupès.",-5.04333,-77.96583,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","B","FMNH-B-Types","172","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",,,,"Brazil",,,,,,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","F","Botany","V0070803F","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",,,,"Brazil",,,,-10.8339,-52.8731,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","F","Botany",,"Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",,,,"Brazil",,,,-10.8339,-52.8731,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
"","F","Botany","V0070802F","Remijia physophora","","Rubiaceae","Remijia","physophora","","Benth. ex K.Schum.",,,"","2579","","R. Spruce",,,,"Brazil",,,,-10.8339,-52.8731,,"Remijia physophora Benth. ex K.Schum.","",,"GBIF"
