"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Mato Grosso","CNMT","7241","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Dias, D.C.",2018,"","366","","Dias, D.C.",2018,2,27,"Brazil","Mato Grosso","Cláudia","Supressão da vegetação do futuro reservatório da UHE Sinop.",-11.417115,-55.356297,"FolhasSimples, cartáceas, discolores; flores comSépalas verdes, pétalas branco-rosadas; frutos imaturos, arredondados, verdes.Programa de Resgate da Flora - UHE Sinop (PRFUHES_EX537)","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","JBRJ","RB","RB01421604","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","P.G. Delprete",2018,"","1927","","E.O. Moura",2018,3,29,"Brazil","Bahia","Formosa do Rio Preto","Fazenda Passo Fundo. Conglomerado BA 266; Extra.",-11.034444,-45.899444,,"Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","UFMT","UFMT","43627","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Dias, D.C.",2017,"","374","","Dias, D.C.",2017,10,3,"Brazil","Mato Grosso","Sinop","Lote de supressão da vegetação do reservatório da UHE Sinop, na margem direita do rio Teles Pires.",,,"Código do Projeto: PRFUHES_EX374.&nf;Coordenadas (UTM, 21L): 674297 / 8726617.; Folhas simples, cartáceas, discolores, flores com sépalas verdes roxo, pétalas brancas rosadas, frutos imaturos, verdes e arredondados.","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","Cenargen","CEN","95533","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","P. Delprete",,"","2928","","Marcelo Fragomeni Simon",2016,4,12,"Brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas. Acesso no km 596 da BR - 230, 17 km E em estrada vicinal. Córrego Estiva.",-7.113611,-47.295277,"Arbusto 2 m. Cálice verde, pétalas brancas com manchas avermelhadas. Frutos imaturos verdes. Frequente no local.","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","UFMT","UFMT","42238","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Francener, A.",2013,"","1336","","Francener, A.; Hall, C.F.; Koch, A.K.",2013,3,18,"Brazil","Mato Grosso","Sapezal","Rio Papagaio n adivisa entre os municípios de Sapezal e Campo Novo do Parecis.",-13.558333,-58.408611,"Arvoreta, 2m, umbrófila em ára alagada. Folhas subcoriáceas veres. Sépalas verdes. Corola alva. Fruto imaturo verde passado a amarelo e vermelho quando maduro. Hipanto róseo a vermelho. Cicatriz dos frutos róseos.; Floresta ciliar com áreas inundávei","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","Instituto de Botânica","SP","446667","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Francener, A",2013,"","1336","","Francener, A; Hall, CF; Koch, AK",2013,3,18,"Brazil","Mato Grosso","Sapezal","Rio Papagaio na divisa entre os municípios de Sapezal e Campo Novo dos Parecis",-13.558333,-58.4086,,"Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","Cenargen","CEN","77405","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","B. M. Gomes",,"","15341","","Glocimar Pereira-Silva",2010,5,25,"Brazil","To","ITACAJA","Estrada ponte suspensa do rio Tauá, km 2.",-7.7425,-47.744166,"Área de influência direta (APP). Pétalas rosa clara, tubo da corola rosa clara com estrias vinácea, estilete e filete rosa.","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","USP","SPF","207169","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Zappi, DC",2008,"","1137","","Zappi, DC; Milliken, W; Biggs, N; Henicka, GS; Silveira, EA; Philippsen, M; Piva, JH",2008,2,9,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual do Cristalino, Parque Estadual Cristalino. Acampamento 35 km acima da pousada.",-9.3032,-55.3126,"Arvoreta semi-imersa 4 m alt. corola alvo-rosada, frutos verdes passando a avermelhados. Grandes populações.; Mata inundada.","Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","UNEMAT","HERBAM","2277","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","Zappi, DC",,"","1137","","Zappi, D.C.; Milliken, W.; Biggs, N.; Henicka, G.S.; Silveira, E.A.; Philippsen, M. & Piva, J",2008,2,9,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, Mata inundada.",-9.509167,-55.524444,,"Retiniphyllum kuhlmannii Standl.","",,"GBIF"
"","MO","MO","100261706","Retiniphyllum kuhlmannii","","Rubiaceae","Retiniphyllum","kuhlmannii","","Standl.","R. Cortés",2001,"","Zappi 1137","","Daniela C. Zappi",2008,2,9,"Brazil","Mato Grosso",,"Município de Novo Mundo. Parque Estadual Cristalino. Acampamento 35 km acima da pousada.",-9.508889,-55.523889,,"Retiniphyllum kuhlmannii Standl.","",,"GBIF"
