"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","16419","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Valério, D.A.",2018,"","6545","","Kuniyoshi, Y.S.",2018,3,29,"Brazil","Paraná","Matinhos","Parque Estadual do Rio da Onça",-25.7891,-48.5295,"Arbusto 2m, com frutos maduros. Formação Pioneira de Influência fluvio-lacruste / Restinga","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141480","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Souza, V.C.",2018,"","41203","","Souza, V.C.",2018,10,14,"Brazil","São Paulo","Itanhaém","Jardim Anchieta. Floresta de Restinga.",,,"Arbusto, ca. 1,5 m alt.; cálice e corola alvos.","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","UFRGS","ICN","199704","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Grings, M; Mello, AS",2018,"","MG1959","","Grings, M; Mello, AS; Villalobos, A",2018,11,15,"Brazil","Sc","Itapoá","Reserva Volta Velha",,,"arvoreta com 4 m de altura; flores brancas.; em sub-bosque de estágio avançado de Floresta Ombrófila Densa de Terras Baixas com solo encharcado, trilha da Casa de Vidro","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","IF","SPSF","51949","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","A. Benedito",2017,"","791","","A. Maruyama & L. Cicco",2017,2,2,"Brazil","Sp","Praia Grande","Km 99 da Rodovia 101",-24.014722,-46.504167,"COLETA: Arbusto ca.2,0m alt. Frutos de coloração esbranquiçada.; GEOGRAFIA: Floresta da Planície Costeira, Restinga Arbórea próximo ao CPD da Praia Grande, sentido Serra Leoa, borda.;","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","34027","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Maruyama, A; Benedito, A",2017,"","791","","Maruyama, A; Cicco, L",2017,2,2,"Brazil","São Paulo","Praia Grande","Próximo ao CDP , sentido Serra da Leoa, Km 99 da Rodovia 101",-24.0109,-46.3016,"Arbusto. Planta com 2 m de altura e frutos de coloração esbranquiçada; Vegetação da Planície Costeira, restinga arbustiva","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","139404","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","R. Parmigiani",2017,"","432","","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza",2017,4,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador. Ao lado da casa de abrigo.",-22.780183,-43.159195,"Árvore ca. 4 m, frutos de cor verde.","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141309","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","R. Parmigiani",2017,"","432","","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza",2017,4,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador. Ao lado da casa de abrigo.",-22.780183,-43.159195,"Árvore ca. 4 m, frutos de cor verde.","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","64430","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Mondin, C.",,"","3723","","Mondin, C.",2017,11,22,"Brazil","Santa Catarina","Garuva",,-26.030556,-48.735278,"Arbusto com cerca de 1,5m de altura","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","UDESC","LUSC","9153","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","C. Mondin",,"","3723","","C. Mondin",2017,11,22,"Brazil","Santa Catarina","Garuva",,-26.030556,-48.735278,"Arbusto com ca. 1,5 m de altura, na mata paludosa.","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16069","Rudgea coriacea","","Rubiaceae","Rudgea","coriacea","","(Spreng.) K.Schum.","Souza, I.",2017,"",,"","Souza, I.",2017,11,16,"Brazil","Paraná","Paranaguá","Vila do Farol - Ilha do Mel",-25.5195,-48.3304,"Arbusto 2m, flores alvas. Formação Pioneira com influência Marinha Arbustiva","Rudgea coriacea (Spreng.) K.Schum.","",,"GBIF"
