"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Ceará, UFC","EAC","60093","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Castro, A.S.F.",2016,"","2909","","Castro, A.S.F.",2016,1,5,"Brazil","Ceará","Tianguá","Acarape.",,,"Arbusto, flor branca.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56135","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Souza, E.B.",2015,"","2796","","Castro, A.S.F.",2014,4,19,"Brazil","Ceará","Ipueiras","matriz, Serra da Ibiapada",,,"Arbusto; frutos cor de laranja.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","55108","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Souza, E.B.",2015,"","2830","","Souza, E.B.",2013,6,7,"Brazil","Ceará","Viçosa do Ceará","Jaguaribe, Sítio Laranjeiras, Planalto da Ibiapaba, trilha do Carro-Quebrado.",-3.6225,-41.073333,"Arbusto, 1-1,5m; caules cinza-esbranquiçados; folhas coriáceas, discolores; infrutescências com pedúnculo verde-claro; frutos imaturos verdes e maduros amarelos.; Floresta subperenifólia tropical plúvio-nebular.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","UESB","HUESB","6788","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Barbosa, M.R.V.",2013,"","194","","Oliveira, M.N.; Ferreira, E.M.S.; Miranda, F.M.; Silva, G.S.; Silva, T.O.;; Ferreira, E.M.S.; Miranda, F.M.; Silva, G.S.; Silva, T.O.;",2011,11,4,"Brazil","Bahia","Itamari","Fazenda Mesquita., Floresta Estacional Semi Decidual",-13.718778,-39.635833,"Arbusto; Folhas opostas, margem inteira. Inflorescência em cachos, flores diclamídeas, localizadas no ápice do caule.&nf;; Floresta Ombrófila Densa.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","UESB","HUESB","6876","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Barbosa, M.R.V.",2013,"","282","","Oliveira, M.N.; Silva, G.S.; Rodrigues, A.S.; Silva, G.S.; Rodrigues, A.S.",2011,11,26,"Brazil","Bahia","Itamari","Fazenda Mesquita.",-13.725611,-39.635583,"Árvore; Folhas com margem inteira, opostas, cartácea. Frutos pequenos, carnosos, verdes, indeiscentes, monospérmicos.; Floresta Ombrófila Densa.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","UFPB","JPB","63334","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","Barbosa, MR",2013,"","282","","Oliveira, MN; Silva, GS; Rodrigues, AS",2011,11,26,"Brazil","Bahia","Itamari","Fazenda Mesquita.",-13.725611,-39.635583,"Árvore; Folhas com margem inteira, opostas, cartácea. Frutos pequenos, carnosos, verdes, indeiscentes, monospérmicos.; HABITAT: Floresta Ombrófila Densa.; DESC: Árvore; Folhas com margem inteira, opostas, cartácea. Frutos pequenos, ca","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","IMA","MAC","45592","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","E.C.O.Chagas",2010,"","7096","","Chagas-Mota",2010,1,28,"Brazil","Alagoas","Viçosa","Fazenda Jussara.",-9.55775,-35.795458,"Árvore ca. 5 m de altura. Flores cremes.; Mata Atlântica.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","IMA","MAC","48229","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","E.C.O.Chagas",2010,"","7775","","Chagas-Mota; A.M.T.Bastos",2010,5,14,"Brazil","Alagoas","Viçosa","Fazenda Mata Verde.",-9.384961,-36.306458,"Arbusto ca. 3 m de altura. Frutos verdes.; Mata Atlântica.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","IMA","MAC","36046","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","E.C.O.Chagas",,"","574","","A.I.L.Pinheiro; E.C.O.Chagas; M.C.S.Mota",2009,2,13,"Brazil","Alagoas","Murici","Serra do Ouro",-9.281314,-35.936994,"Árvore ca. de 5m de altura. Flores brancas.; Mata Atlântica.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
"","IMA","MAC","36698","Rudgea jacobinensis","","Rubiaceae","Rudgea","jacobinensis","","Müll.Arg.","E.C.O.Chagas",2009,"","2068","","Chagas-Mota; A.I.L.Pinheiro",2009,2,13,"Brazil","Alagoas","Murici","Serra do Ouro.",-9.281314,-35.936994,"Árvore ca. 4 m de altura. Flores brancas.; Mata Pluvial Atlântica.","Rudgea jacobinensis Müll.Arg.","",,"GBIF"
