"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","198798","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.","C.P.Bruniera & D.C.Zappi",2013,"","1567","","Popovkin, A.V.",2013,10,23,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,"Atlantic Forest.","Rudgea mouririoides Standl.","",,"GBIF"
"","UnB","UB","143486","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"","12025","","Mori, S; Carvalho, AM",1979,6,15,"Brazil","Bahia","Itacaré","Estrada que liga a torre da Embratel com a estrada BR-101 / Itacaré, 5,8km da entrada. Ca. 25km a SE de Ubaitaba",,,"Árvore 6m. Frutos laranja-avermelhados.; Mata higrófila","Rudgea mouririoides Standl.","",,"GBIF"
"","UnB","UB","143472","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.","Zappi, DC",2009,"","12827","","Mori, SA; Santos, TS; Kubitzki, K; Poppendieck, H",1979,9,27,"Brazil","Bahia","Una","Estrada que liga BR-101 (São José) com BA-265, a 13km da primeira. Ca. 35 km ao S de Itabuna",,,"Corola branca.; Árvore 6m.; Região de mata higrófila baiana.","Rudgea mouririoides Standl.","",,"GBIF"
"","JBRJ","RB","RB00363592","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.","Zappi",2007,"","13039","","S.Mori; A.M.de Carvalho, D.Halloran",1979,11,28,"Brazil","Bahia","Santa Cruz de Cabrália","Antiga rodovia que liga a Estação Ecologica Pau Brasil a Santa Cruz de Cabralia, a 7 km ao NE da Estação, ca 12 km ao NW de Porto Seguro.",,,"Arbusto, 2m de altura","Rudgea mouririoides Standl.","",,"GBIF"
"","UEFS","HUEFS","202549","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"","1623","","Popovkin, A.V.",,,,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,,"Rudgea mouririoides Standl.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-295362/1","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.","Standley, P. C. (1931)",,"",,"","Blanchet, J. S.",,,,"Brazil",,,"Bahia - Bahia./Estado da Bahia",-12.18306,-41.99722,,"Rudgea mouririoides Standl.","",,"GBIF"
"","F","Botany",,"Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"","89","","J. S. Blanchet",,,,"Brazil",,,,-10.8339,-52.8731,,"Rudgea mouririoides Standl.","",,"GBIF"
"","F","Botany","V0071007F","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"","89","","J. S. Blanchet",,,,"Brazil",,,,-10.8339,-52.8731,,"Rudgea mouririoides Standl.","",,"GBIF"
"","MNHN","P","P00074153","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.","Standley",,"",,"","Blanchet, J.S.",,,,"Brazil",,,,,,,"Rudgea mouririoides Standl.","",,"GBIF"
"","MNHN","P","P05058425","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"",,"",,,,,,,,,,,,"Rudgea mouririoides Standl.","",,"GBIF"
"","MNHN","P","P05194608","Rudgea mouririoides","","Rubiaceae","Rudgea","mouririoides","","Standl.",,,"",,"",,,,,,,,,,,,"Rudgea mouririoides Standl.","",,"GBIF"
