"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01397706","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Mario Gomes",,"","791","","J.A. Oliveira; R.R. Berbel",2017,1,4,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó.",-19.268056,-43.544722,"Arbusto ca. 1,6 m alt. Folhas discolores, inflorescência e frutos imaturos verdes. Apenas 2 indivíduos visualizados. Amostra coletada em sílica. Material prensado em álcool. Foto.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UFRB","HURB","17236","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","W.O.Fonseca",2018,"","547","","Fonseca, W.O.; Costa, G.M.; Fonseca, G.V.",2017,10,30,"Brazil","Bahia","Boa Nova","Parque Nacional de Boa Nova; Fazenda, trilha do Traíra",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","78658","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","W.O. Fonseca",,"","547","","W.O. Fonseca",2017,10,30,"Brazil","Bahia","BOA NOVA",,,,"<ll>dwc_commonname:</ll>","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UFOP","OUPR","27240","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Messias, M.C.T.B.",,"","159","","Ramos, M.B.C.",2013,3,18,"Brazil","Minas Gerais","Ouro Branco","Parque Estadual Serra do Ouro Branco, Coletada próximo ao balneário do PESOB. Mata Ripária",-20.491619,-43.675539,"Arbusto, fruto esférico escuro","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UNICAMP","UEC","195456","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Zappi, D",2014,"","698","","Bruniera, CP; et al.",2012,3,27,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha dos Três Picos.",-22.43375,-44.614389,"Arbusto ca. 4m alt. Folhas cartáceas, discolores, venação não evidente. Frutos verde escuros.; Floresta montana.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","USP","SPF","212373","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Zappi, DC",2014,"","794","","Fernandes, FM",2012,11,28,"Brazil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB01303565","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D.C. Zappi",2014,"","295","","C.P. Bruniera; M. Groppo; L. Kollmann",2011,3,29,"Brazil","Espírito Santo","Santa Teresa","Santo Antônio. Estrada para a REBIO Augusto Ruschi. Estrada de terra à esquerda. Terreno do Boza",-19.910556,-40.594722,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","43104","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","147","","E.J. de Lírio; L. Marquardt & V.L. Aledi",2011,12,20,"Brazil","Espírito Santo","Santa Maria de Jetibá","Rio Bonito",,,"Floresta Ombrófila Densa. Interior da mata. Arbusto 2m, pétalas brancas","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MN","R","212325","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Paiva, A.M.",2010,"","496","","Paiva, A.M.",2010,9,27,"Brazil","Rio de Janeiro","Paty do Alferes","Alameda Palmares e Alameda Carioca",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00720528","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D.Zappi",,"","133","","L. Daneu; L.C. Gomes; R. Perdiz; J.L. Paixão; A. Amorim",2009,9,13,"Brazil","Bahia","Arataca","Serra das Lontras. Encosta em frente da sede da RPPN do IESB com acesso pela Trilha do Talhão 1.",-15.178333,-39.335833,"Arbusto ca. 1,5 m alt. Folhas verde-escura com a face inferior mais clara. Flores alvas.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00720562","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D.Zappi",,"","139","","L. Daneu; et al",2009,9,13,"Brazil","Bahia","Arataca","Serra das Lontras. encosta em frente da sede da RPPN do IESB com acesso pela Trilha do Talhão 1. 759.",-15.178333,-39.335833,"Arbusto ca. 2,5 m alt. Folhas verde-escura com a face inferior mais clara. Flores creme.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBM","MBM","397022","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Gomes, M",,"","s.n.","","Prata, EMB",2008,2,28,"Brazil","São Paulo","Ubatuba","Picinguaba, Margem do Rio da Fazenda",,,"Planta arbustiva com 2,8 m de altura, frutos amarelados.; Floresta Ombrófila Densa de Terras Baixas.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","USP","SPF","229061","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Gomes, M",,"","s.n.","","Prata, EMB",2008,2,28,"Brazil","São Paulo","Ubatuba","Picinguaba",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00532110","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D.Zappi",,"","7598","","A. M. Amorim; R.C. Forzza, J.L. Paixão & L.C.J. Gomes",2008,7,20,"Brazil","Espírito Santo","Cariacica","Floresta Estacional Semidecidual. Reserva Biológica de Duas Bocas. Localidade de Alegre. Trilha do Pau-Oco.",-20.291389,-40.519444,"Arbusto no sub-bosque. Frutos imaturos verdes.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UNICAMP","UEC","170515","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Silveira, MF",,"","162","","Garcia, LC",2008,10,17,"Brazil","São Paulo","Campinas","Condomínio Colinas do Atibaia, Mata Ribeirão Cachoeira.",-23.3923,-47.550233,"Arbusto de 2 m, flores brancas e frutos pretos.; Mata Atlântica. Floresta Estacional Semidecídua.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","30193","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","C.P. Bruniera/28-03-2011",,"","4020","","V. Demuner; T. Cruz, R. R. Vervloet e Elias Bausen.",2007,5,19,"Brazil","Espírito Santo","Águia Branca","Águas Claras, propr.: Zequinha",-18.871389,-40.812778,"Arbusto 3m flores brancas, frutos laranja. Interior de mata.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00492783","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","C.P. Bruniera",2019,"","1853","","M. Nadruz; T. Cabral, G. Heiden & C. Cronemberg",2007,6,26,"Brazil","Rio de Janeiro","Teresópolis","Vale do Rio Bananal, picado do falecido Hipólito",-22.497778,-43.025278,"Pecíolo esverdeado; lâmina subcartácea esverdeada, levemente discolor; pedicelo esverdeado; fruto ambar","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","122301","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","C. P. Bruniera",,"","1409","","J. L. da Paixão",2007,10,19,"Brazil","Bahia","AMARGOSA","Área de Duas Barras.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","26815","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","C.P. Bruniera/28-03-2011",,"","1723","","V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen",2006,1,19,"Brazil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini",-19.348333,-40.551111,"Rupícola frutos verdes. Interior de mata pedregosa na base de afloramentos rochosos (Gruta a base da mata).","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","109819","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Sem Informação",,"","518","","Lopes, M. M. M.",2006,2,15,"Brazil","Bahia","arataca","Serra do Peito-de-Moça - Serra das Lontras. Estrada Arataca-Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio. RPPN ""Caminho das Pedras"".",-15.173611,-39.341667,"Coletada na base da serra.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UEFS","HUEFS","108992","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D.Zappi",2008,"","518","","Lopes, M.M.M.",2006,2,15,"Brazil","Bahia","Arataca","Serra do Peito de Moça. Serra das Lontras. Estrada Arataca-Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio. RPPN ""Caminho das Pedras"".",-15.173611,-39.341667,"Floresta Ombrófila. Densa Montana.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","NY","NY","1262338","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D. C. Zappi",2010,"","518","","M. M. M. Lopes",2006,2,15,"Brazil","Bahia",,"Serra do Peito de Moça - Serra das Lontras. Estrada Arataca - Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio RPPN ""Caminho das Pedras""",-15.1736,-39.3417,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","27090","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","C.P. Bruniera/28-03-2011",,"","2474","","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen",2006,6,8,"Brazil","Espírito Santo","Águia Branca","Águas Claras, prop.: Zequinha",-18.871389,-40.812778,"Arvoreta 4m, frutos laranja. Fundo de vale.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","32769","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D. Zappi/Out.-2009",,"","1373","","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,9,7,"Brazil","Espírito Santo","Águia Branca","Águas Claras, propr.: Zequinha",-18.871389,-40.812778,"Arbusto 3m de alt. Frutos verdes. Mata.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","32804","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D. Zappi/Out.-2009",,"","1437","","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,9,27,"Brazil","Espírito Santo","Marilândia","Liberdade, propr.: Reinaldo Bautz",-19.3325,-40.534722,"Arvoreta 5m de alt. Frutos imaturos verdes e brancos. Mata alterada.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","K","Herbarium","K001203390","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","1373","","Magnago, L.F.S.",2006,9,7,"Brazil",,"Águia Branca","Águas Claras. Propr. Zequinha.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","K","Herbarium","K001203388","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","1437","","Magnago, L.F.S.",2006,9,27,"Brazil",,"Marilândia","Liberdade, propr.: Reinaldo Bautz.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","64950","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","J.A. Oliveira",2012,"","671","","E.J. Lucas; F.F. Mazine; L.S. Leoni; N.A. Brummitt; O.R. Campos; T.B. Flores; L.V.S. Jennin",2006,11,24,"Brazil","Minas Gerais","Faria Lemos","Fazenda Fortaleza",-20.538333,-43.336111,"Arbusto de ca. 1,5m, flores alvas. Floresta Ombrófila Densa.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UNICAMP","UEC","175564","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","671","","Lucas, EJ; Leoni, BS; Brummitt, NA; Campos, OR; et al.",2006,11,24,"Brazil","Minas Gerais","Faria Lemos","Fazenda Fortaleza.",,,"Arbusto de c. 1,5m, flores alvas.&nf;20º 31'78''s ; 42º 7' 97''w.&nf;Alt.: 730m.; Floresta Ombrófila densa.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","UEFS","HUEFS","193472","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","671","","Lucas, E.J.",2006,11,24,"Brazil","Minas Gerais","Faria Lemos","Fazenda Fortaleza.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MO","MO","100296778","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Zappi",2008,"","Lucas 671","","Eve J. Lucas",2006,11,24,"Brazil","Minas Gerais",,"Fazenda Fortalez.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00832387","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","J.A. Oliveira",,"","671","","E.J. Lucas et. al.;",2006,11,24,"Brazil","Minas Gerais","Faria Lemos","Fazenda Fortaleza.",-20.516667,-42.116667,"Arbusto de ca 1,5m; flores alvas","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","NY","NY","1280735","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D. C. Zappi",2008,"","671","","E. J. Lucas",2006,11,24,"Brazil","Minas Gerais",,"Fazenda Fortaleza",-20.51883,-42.11936,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","53671","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","Oliveira, J.A.",2012,"","671","","Lucas, E.J. et al.",2006,11,24,"Brazil","Minas Gerais","Faria Lemos",,,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","MBML","MBML-HERBARIO","24192","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.","D. Zappi/Out.2009",,"","7834","","L. Kollmann; et al",2005,6,12,"Brazil","Espírito Santo","Itarana","Alto Limoeiro",-19.874167,-40.875278,"Arbusto 2m na sombra, frutos laranjas.","Rudgea nodosa (Cham.) Benth.","",,"GBIF"
"","K","Herbarium","K001203389","Rudgea nodosa","","Rubiaceae","Rudgea","nodosa","","(Cham.) Benth.",,,"","7834","","Kollmann, L.",2005,6,12,"Brazil",,"Itarana","Alto Limoeiro.",,,,"Rudgea nodosa (Cham.) Benth.","",,"GBIF"
