"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MO","MO","100361486","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","C.M. Taylor",2015,"","Delprete 6810","","Piero G. Delprete|A. Rizzo|V. Pontes Neves",1998,10,2,"Brazil","Goiás",,"Nascente do Ribeirão Gloria. 200-300 m afora da cerca do Parque Nacional das Emas.",,,,"Rudgea obtusa Standl.","",,"GBIF"
"","MO","MO","979138","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","C.M. Taylor",2015,"","Rodríguez Olmos 533","","A. Rodríguez O.|et al.",1995,10,28,"Bolivia, Plurinational State of","Santa Cruz",,"Parque Nacional Noel Kempff Mercado, 5 km N del campamento Las Gamas. Lajas graníticas con pequeñas islas de bosque. Quebradas con aguas lóticas estacionales, llamados ""puquios"". Suelos algo húmedos, enriqueciéndose la vegetación y formando un pequeño valle.",-13.89472,-60.81277,,"Rudgea obtusa Standl.","",,"GBIF"
"","K","Herbarium","K000579725","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.",,,"","7403","","Ratter",1994,11,7,"Brazil",,,"Baliza, Corrego Lajeadao, Fazend Bandeirante, c. 45 Km from Dover",-16.5,-52.38,"Ratter et al.","Rudgea obtusa Standl.","",,"GBIF"
"","Instituto de Botânica","SP","212881","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","Zappi, DC",1996,"","222","","Toledo, CB; Romaniuc Neto, S; Sajo, MG; Silva Filho, NL; Scaff, MF; Barbosa, LM; Semaco, M",1986,10,10,"Brazil","Rondônia","Machadinho D'Oeste","Eixo do JP-14, arredores di aeroporto e arredores Igarapó, ponto II",-9.15,-61.5,,"Rudgea obtusa Standl.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","151053","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","Zappi, D.C.",2010,"","4532","","Mike Hopkins",1985,10,23,"Brazil","Mato Grosso",,"""Ca 70 km W of Cuiaba; 5 km SW of Sao Vicente., Ca 70km W of Cuiabá; 5km SW of São Vicente near Gruta do São Vicente (""""Casa de Pedra""""). Gallery forest and adjacent cerrado.""",-15.866667,-55.38,,"Rudgea obtusa Standl.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","151068","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","Zappi, D.C.",2010,"","4548","","Mike Hopkins",1985,10,23,"Brazil","Mato Grosso",,"""Ca 70 km W of Cuiaba; 5 km SW of Sao Vicente., Ca 70km W of Cuiabá; 5km SW of São Vicente near Gruta do São Vicente (""""Casa de Pedra""""). Gallery forest and adjacent cerrado.""",-15.866667,-55.38,,"Rudgea obtusa Standl.","",,"GBIF"
"","Faculdade São Lucas","HFSL","1370","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","Zappi, D.C.",2010,"","4548","","Thomas, W.W.; Oliveira, J.G. de; Ramos, J.F.; Lima, R.P. de & Ackerley, D.D.",1985,10,23,"Brazil","Mato Grosso","Santo Antônio do Leverger","Ca 70km W of Cuiabá; 5km SW of São Vicente near Gr, Ca 70km W of Cuiabá; 5km SW of São Vicente near Gruta do São Vicente (""Casa de Pedra""). Gallery forest and adjacent cerrado.",-15.866667,-55.383333,"Edge of forest and cerrado, Shrub 2-5m. Leaves coriaceous, dark above, paler beneath. flowers creamy white. ; DE","Rudgea obtusa Standl.","",,"GBIF"
"","F","Botany","V0355782F","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","RRC ID Flag",1997,"","4532","","W. W. Thomas",1985,10,23,"Brazil","Mato Grosso",,,-12,-57,,"Rudgea obtusa Standl.","",,"GBIF"
"","MO","MO","3237288","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","D. Zappi, K",1997,"","Thomas 4548","","W. Wayt Thomas|José R. Pirani|David Ackerley|J.O. Guedes|J. Ramos|R. Pereira de Lima",1985,10,23,"Brazil",,,"mato Grosso: Mun. Sto. Antônio do leverger: ca. 70km W of Cuiabá; 5km SW of São Vicente near Gruta do São Vicente (""Casa de Pedra""). Gallery forest and adjacent cerrado",-15.86666,-55.38333,,"Rudgea obtusa Standl.","",,"GBIF"
"","MO","MO","3237387","Rudgea obtusa","","Rubiaceae","Rudgea","obtusa","","Standl.","D.Zappi, K",1997,"","Thomas 4532","","W. Wayt Thomas",1985,10,23,"Brazil",,,"Mato Grosso; Mun. Sto. Antônio do Leverger; ca 70km W of Cuiabá; 5km SW of São Vicente near Gruta do São Vicente (""casa de Pedra""). Gallery forest and adjacent cerrado",-15.86666,-55.38333,,"Rudgea obtusa Standl.","",,"GBIF"
