"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Regional de Blumenau, FURB","FURB","58200","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Funez, L.A.",2018,"","7219","","Funez, L.A.",2018,2,2,"Brazil","Santa Catarina","Ascurra","Nova Brasília.",,,"frutos imaturos, verdes Habitat: Borda da floresta Habito: Árvore","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01400449","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.Gomes",,"","3442","","M. Nadruz; L. Temponi, M. Camelo, R. Ribeiro & F. Marcolino",2018,11,13,"Brazil","Minas Gerais","Fervedouro","Trilha para pedra do pato",-20.7375,-42.475,"Lâmina foliar membranácea esverdeada discolor; pedúnculo, pedicelo e cálice esverdeados, corola esbranquiçada, sendo amarelada no tubo internamente; fruto imaturo esverdeado, maduro esbranquiçado.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","UNIVILLE","JOI","18117","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Vieira, F.C.S.",2019,"","2916","","Vieira, F.C.S.",2018,12,7,"Brazil","Santa Catarina","Joinville","Morro do Finder.",,,"BotÃ£o","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","56408","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Kassner-Filho, A.",2017,"","1941","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",2017,12,4,"Brazil","Santa Catarina","Águas Mornas",,-27.718889,-48.871389,"flor branca Habitat: interior da U.A. Habito: arvoreta","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01135874","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","MARIO GOMES",,"","534","","R. G. Barbosa-Silva; E. J. Lirio & B. M. Carvalho",2016,6,16,"Brazil","Rio de Janeiro","Rio de Janeiro","Humaita, Contraforte do Corcovado, acesso pela Rua Viuva Lacerda. Parque Nacional da Tijuca",-26.442778,-48.164444,"Arbusto, folhas discolores, fruto verde","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","47384","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Lichtenfelz, F.A.",2017,"","17","","Pastório, F.F.; Gasper, A.L. de",2015,2,7,"Brazil","Santa Catarina","Blumenau","Parque Natural Municipal São Francisco de Assis.",-26.921389,-49.071944,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","47522","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Pastório, FF",2015,"","79","","Pastório, F.F.",2015,4,2,"Brazil","Santa Catarina","Blumenau","Parque Municipal São Francisco de Assis.",-26.921389,-49.071944,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","Instituto de Botânica","SP","490481","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Aragaki, S; Petri, L",2016,"","133","","Mourad, BM; Petri, L",2015,10,20,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","MBM","MBM","406993","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.",,,"","s.n.","","Augusto-Silva, M",2014,6,,"Brazil","Santa Catarina","Garuva","L.T. 230kv Joinville Norte - Curitiba C2 (1ª campanha Monitoramento)",,,"Floresta Ombrófila Densa.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45211","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Oliveira, AA de",,"","599","","Mayer, M.; Oliveira, A.A. de",2014,9,25,"Brazil","Santa Catarina","Tijucas","Oliveira.",-27.180278,-48.779722,"Regeneração IFFSC 523 // Não foi medida","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45149","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Bittencourt, F",2014,"","256","","Bittencourt, F.",2014,10,23,"Brazil","Santa Catarina","Blumenau","pasto em regeneração no Bairro Valparaíso.",-26.956111,-49.079167,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01034622","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","MARIO GOMES",,"","377","","R.G.Barbosa-Silva; E.J.Lirio; M.C. Almeida; A. S. Miranda &",2014,11,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca. Trilha do Parque Laje para o corcovado. Parque Nacional da Tijuca",-22.956944,-43.212778,"Árvore, ca. 8 m alt., folhas verdes, cálice verde e corola branca","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150995","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.",,,"","545","","Oliveira, N.E.",2014,11,6,"Brazil","Bahia","Barro Preto","Conglomerado BA_1278",-14.759722,-39.419167,"<ll>dwc_commonname:</ll>","Rudgea recurva Müll.Arg.","",,"GBIF"
"","MBM","MBM","406405","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Marinero, F",2013,"","421","","Marinero, F",2013,2,20,"Brazil","Paraná","Antonina","RPPN Rio Cachoeria, Trilha Corvo 11.",-25.326389,-48.677778,"Árvore 5m; frutos verdes.; Floresta Ombrófila Densa Submontana","Rudgea recurva Müll.Arg.","",,"GBIF"
"","IF","SPSF","48427","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.P.Ferreira",2013,"","75","","C.B. Virillo & R.B. Caramez & F.G. Florido & M.F.B. Costa & V.C.Souza & R.R.Rodrigues & J.Y.Tamashiro & N.M.Ivanauskas",2013,3,28,"Brazil","Sp","Tapiraí","Reserva Particular da Votorantim (CBA)",-24.283333,-47.937222,"COLETA: Árvore de 8m, frutos verdes.; GEOGRAFIA: UHE da Barra, Trilha da Casa de Pedra.;","Rudgea recurva Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","180524","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, MP",2013,"","75","","Virillo, CB; Caramez, RB; Florido, FG; Costa, MFB; Souza, VC; et al.",2013,3,28,"Brazil","São Paulo","Tapiraí","Reserva particular Votorantim (CBA). UHE da Barra, trilha Casa de Pedra 24,166032S- 47,557641W. Alt.73m",,,"Árvore, 8m, frutos verdes.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00855882","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.A.P. Ferreira",2013,"","1004","","J. Kuntz; G.D. Colletta; V.J. Girão; V.S. Moreno; V.C. Souza; R.R. Rodrigues; J.Y. Tamashiro; N.M. Ivanauskas",2013,3,30,"Brazil","São Paulo","Tapiraí","UHE da Fumaça. Trilha do Chagas. Beira da estrada.",,,"Arbusto ca. 5 m alt.; Frutos verdes","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00855781","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.P. Ferreira",2013,"","75","","C.B. Virillo; R.B. Caramez; F.G. Florido; M.F.B. Costa; V.C. Souza; R.R. Rodrigues; J.Y. Tamashiro; N.M. Ivanauskas",2013,3,28,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha Casa de Pedra. Reserva Particular da Votorantim (CBA)",-26.775556,-56.411389,"Árvore, 8 m; Frutos verdes","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128689","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, M.A.P.",2013,"","1004","","Kuntz, J.",2013,3,30,"Brazil","São Paulo","Tapiraí","UHE da Fumaça. Trilha do Chagas. Beira da estrada.",,,"Arbusto ca. 5 m alt., com frutos verdes.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128688","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, M.P.",2013,"","75","","Virillo, C.B.",2013,3,28,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha Casa de Pedra.",-24.166032,-47.557461,"árvore, 8m, frutos verdes","Rudgea recurva Müll.Arg.","",,"GBIF"
"","IF","SPSF","48437","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.A.P. Ferreira",2013,"","1065","","G.D.Colletta & V.C.Souza & T.B.Flores & M.A.P. Ferreira & N.M.Ivanauskas & A.Campos-Rocha & D.Souza",2013,4,30,"Brazil","Sp","Tapiraí","Reserva Particular da Votorantim (CBA)",,,"COLETA: Arbusto de 4m.; GEOGRAFIA: Trilha da Serraria;","Rudgea recurva Müll.Arg.","",,"GBIF"
"","MBM","MBM","389500","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Marinero, F",2013,"","556","","Felitto, G",2013,4,5,"Brazil","Paraná","Guaratuba","Linha de transmissão elétrica Curitiba-Joinville,, Linha de transmissão elétrica Curitiba-Joinville, entre torres 65/2-65/1",,,"Arbusto, 4m; frutos imaturos verdes.; Floresta Ombrófila Densa Submontana.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","MBM","MBM","391147","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, MAP",2013,"","1065","","Colletta, GD",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Natural de Votorantim (CBA), trilha da Serraria",,,"Arbusto, 4m.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","180902","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, MAP",2013,"","1065","","Colletta, GD; Souza, VC; Flores, TB; Ferreira, MAP; Ivanauskas, NM; Campos-Rocha, A;",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva particular da Votorantim (CBA), Trilha da Serraria Alt m",,,"Arbusto 4m.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00859477","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","M.A.P. Ferreira",2013,"","1065","","G.D. Colletta et. al.;",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votoramtim (CBA) Trilha da Serraria.",,,"Arbusto, 4 m","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123677","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, M.A.P.",2013,"","1065","","Colletta, G.D. ; Souza, V.C.",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",,,"Arbusto, 4m","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123741","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Ferreira, M.A.P.",2013,"","1129","","Colletta, G.D. ; Ferreira, M.A.P.",2013,5,1,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.",,,"Arbusto, 2m","Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00864390","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","D.C. Zappi",2014,"","3908","","M.G. Bovini; M.D.S. Mourão; M. Faria",2013,9,16,"Brazil","Rio de Janeiro","Magé","RPPN Campo Escoteiro Geraldo Hugo Nunes.",,,"Arvoreta ciófila, ca. 5m. Folhas cartáceas, discolores. Frutos imaturos verdes e maduros alvacentos.","Rudgea recurva Müll.Arg.","",,"GBIF"
"","IF","SPSF","48515","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","B.V. Ferrato",2014,"","442","","C.de Moura & F.E.S.P.Vilela & F. A. R. D. P. Arzolla & N.M.Ivanauskas",2013,10,30,"Brazil","Sp","Eldorado","Fazenda Nova Trieste",-24.366944,-48.2925,"COLETA: Árvore com botões florais.; GEOGRAFIA: Trilha da Laranjeira.&nf;Floresta Ombrofila Densa Montana.;","Rudgea recurva Müll.Arg.","",,"GBIF"
"","IF","SPSF","48956","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","F. A. R. D. P. Arzolla",2014,"",,"","F. A. R. D. P. Arzolla & C.de Moura & F.E.S.P.Vilela & N.M.Ivanauskas",2013,10,30,"Brazil","Sp","Eldorado","Fazenda Nova Trieste",-24.411111,-48.2925,"COLETA: Árvore, com botões florais.; GEOGRAFIA: Trilha da Laranjeira, Floresta Ombrófila Densa Montana.;","Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","48094","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Cordeiro, J",2013,"","1356","","Brotto, M.L.",2013,10,10,"Brazil","Paraná","Morretes","PARNA Saint-Hilaire/Lange, Serra da Prata, trilha da Torre da Prata.",-25.598889,-48.708056,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","22927","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","J. Cordeiro",2013,"","1356","","M.L. Brotto",2013,10,10,"Brazil","Pr","Morretes","PARNA Saint-Hilaire/ Langue. Serra da",-25.598889,-48.708056,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01183085","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","V.C. Souza",,"","36343","","V.C. Souza; et al.",2012,1,,"Brazil","São Paulo","Miracatu","Serra do Cafezal. Área da futura duplicação da BR-116",,,,"Rudgea recurva Müll.Arg.","",,"GBIF"
"","USP","SPF","212907","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Zappi, DC",2018,"","3907","","Fiaschi, P",2012,3,7,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para o Atelier das Artes. Trilha para os Três Picos, início na antigo Hotel Simon.",-22.430222,-44.605694,"Arvoreta ca. 2,5 m alt. Infrutescência com ramos verde-escuros. Frutos imaturos verde-claros, passando a amarelos. Amostra em sílica-gel.; Floresta Ombrófila Densa Montana (Mata Atlântica).","Rudgea recurva Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","186695","Rudgea recurva","","Rubiaceae","Rudgea","recurva","","Müll.Arg.","Bruniera, CP",2012,"","731","","Bruniera, CP; Silva, W",2012,3,30,"Brazil","Rio de Janeiro","Nova Iguaçu","Brasil. Rio de Janeiro. Município de Nova Iguaçu. TInguá. REBIO do Tinguá. Trilha da Catanuda, subindo pela Represa da Serra Velha.",-22.583333,-43.416667,"Subarbusto ca. 0,3m alt. Folhas cartáceas, discolores. Estéril. VOUCHER para estudos moleculares. Prensada em álcool 70%.; Floresta submontana e montana.","Rudgea recurva Müll.Arg.","",,"GBIF"
