"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MO","MO","100256227","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C.M. Taylor (MO)",2017,"","Luther s.n.","","Harry E. Luther",2009,4,26,"Brazil","Bahia",,"Moist Atlantic forest, Armagosa to Elisio Medrado, Luther, Benzing, Leme & Nahoum, Dec. 1996.",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","NY","NY","04112111","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C. M. Taylor",2017,"","535","","R. A. X. Borges",2007,1,16,"Brazil","Bahia",,"Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.",-14.7058,-39.6033,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","NY","NY","04112107","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C. M. Taylor",2017,"","371","","R. A. X. Borges",2006,12,9,"Brazil","Bahia",,"RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e Torre da Embratel.",-15.3917,-39.5653,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MO","MO","101000343","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C.M. Taylor",2017,"","Thomas 14330","","W. Wayt Thomas|André M. Amorim|Sérgio C. de Sant'Ana|L.C. da J. Gomes",2005,1,16,"Brazil","Bahia",,"Mun. Barro Preto. Serra da Pedra Lascada, 13.7 km from Barro Preto on road passing Fazenda São Miguel towards mountains. Upper slopes and summit.",-14.770278,-39.536111,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","NY","NY","04112127","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C. M. Taylor",2017,"","4792","","J. G. Jardim",2005,12,10,"Brazil","Bahia",,"Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Faz. São Miguel em direção a serra. Trilha margeando a encosta da Serra vertente W.",-14.7703,-39.5361,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MO","MO","3236646","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C.M. Taylor (MO)",2017,"","Fiaschi 1815","","Pedro Fiaschi|W. Wayt Thomas|André M. Amorim|Sérgio C. de Sant'Ana|J. Lima da Paixão",2003,11,2,"Brazil","Bahia",,"Barro Preto: Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda Sao Miguel e sobe ate o acesso a serra Caminhada ao topo da serra",-14.770278,-39.536111,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MO","MO","3233835","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C.M. Taylor",2017,"","Thomas 12026","","W. Wayt Thomas",1999,2,6,"Brazil","Bahia",,"Porto Seguro; Parque Nacional Monte Pascoal, 3km S of entrance along road on N side of park. 16:51.8'S, 37:24.8'W Southern Bahian wet forest, some areas disurbed by selective logging.",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MO","MO","3239465","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C. M. Taylor (MO)",2000,"","Luther s.n.","","Harry E. Luther",1999,7,19,"Brazil","Bahia",,"Origin. coll. near Elisio Medrado, Dec. 1976 FL. in cult. SEL 97-119",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","NY","NY","799182","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","C. M. Taylor",2002,"","10840","","W. W. Thomas",1995,3,21,"Brazil","Bahia",,"7.4 km north of Serra Grande on road to Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz",-14.4233,-39.0606,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","169721","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","Lobato, L.C.B.",2010,"","228","","Mike Hopkins",1987,10,29,"Brazil","Pará",,"Ilha de Marajó. Rio Anajás. Várzea/terra firme ecotone.",-1,-50.17,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG168471","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","Lobato, L.C.B.",,"",,"","Beck, H.T.",1987,10,29,"Brazil","Pará",,"Anajás",-1,-50.166667,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG056336","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","Silva, N.T. da",,"",,"","Ribeiro, B.G.S.",1976,12,8,"Brazil","Amapá",,"Amapá",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG032848","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","Silva, M.G. da",,"",,"","Silva, M.G. da",1967,5,27,"Brazil","Pará",,"Vigia",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","JBRJ","RB","RB00367073","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.","Piero G. Delprete",2007,"",,"","A. Ducke",1922,12,20,"Brazil","Pará","Belém",,,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG015997","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"",,"","Ducke, A.",1916,1,25,"Brazil",,,"Brasil",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG015359","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"",,"","Ducke, A.",1914,7,9,"Brazil","Pará",,"Utinga",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG015510","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"",,"","Ducke, A.",1914,10,22,"Brazil","Pará",,"Belém",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MPEG","HERBMG","MG009722","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"",,"","Pessoal do Museu Goeldi",1908,10,10,"Brazil","Bahia",,"Bahia",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","JBRJ","RB","RB00363878","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"","9722","","Herb. Amaz.",1908,10,10,"Brazil","Pará","Pará","Colônia Santa Rosa ( Belém Bragança).",,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
"","MNHN","P","P03953026","Schradera brasiliensis","","Rubiaceae","Schradera","brasiliensis","","Mart. ex Schult.f. & Schult.",,,"",,"",,,,,,,,,,,,"Schradera brasiliensis Mart. ex Schult.f. & Schult.","",,"GBIF"
