"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","US","Botany","3468548","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","Kirkbride, J. H.",,"","7201","","A. Fernández",1990,2,,"Venezuela, Bolivarian Republic of","Amazonas",,"Río Jénita, 15 km antes de desembocadura en el Río Ocamo",2.76,-64.86,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","US","Botany","3589973","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","Kirkbride, J. H.",,"","742","","J. Velazco",1989,10,,"Venezuela, Bolivarian Republic of","Amazonas",,"Pica al norte del campamento",4,-67.75,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","MO","MO","3247324","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","J.H. Kirkbride",2009,"","Marín 620","","Euler Marín",1989,11,,"Venezuela, Bolivarian Republic of","Amazonas",,"Dpto. Atabapo. Vía Cerro El Danto.",3.6,-66.566667,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","US","Botany","3589971","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","Kirkbride, J. H.",,"","631","","E. Marin",1989,11,,"Venezuela, Bolivarian Republic of","Amazonas",,"Via Cerro El Danto",3.6,-66.56,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","US","Botany","3589972","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","Kirkbride, J. H.",,"","620","","E. Marin",1989,11,,"Venezuela, Bolivarian Republic of","Amazonas",,"Via Cerro El Danto",3.6,-66.56,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","US","Botany","3589974","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.","Kirkbride, J. H.",,"","1127","","J. Velazco",1989,11,,"Venezuela, Bolivarian Republic of","Amazonas",,"Frente No. 3. Rio Atacavi.",3.2,-67.4,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","UFMT","UFMT","11192","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.",,,"","1844","","Ducke, A.",1945,11,24,"Brazil","Amazonas","Tabatinga","Marco, mata de terra firme perto de um riachozinho.",,,"árvore pequena, inflorescência pendentes, flores brancas esverdeada","Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","F","Botany","V0071142F","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.",,,"","1844","","A. Ducke",1945,11,24,"Brazil",,,,-10.8339,-52.8731,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","US","Botany","1908303","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.",,,"","1844","","A. Ducke",1945,11,24,"Brazil","Amazonas",,"Tabatinga.",,,,"Stachyarrhena acutiloba Steyerm.","",,"GBIF"
"","JBRJ","RB","RB00543722","Stachyarrhena acutiloba","","Rubiaceae","Stachyarrhena","acutiloba","","Steyerm.",,,"","1844","","Ducke, A.",1945,11,24,"Brazil","Amazonas","Tabatinga","Marco, mata de terra firme perto de um riachosinho.",,,"árvore pequena, inflorescencia pendentes, flores brancas esverdeada","Stachyarrhena acutiloba Steyerm.","",,"GBIF"
