"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","106631","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","B. M. T. Walter",,"","3389","","Luiz Aquino Silva Santos",2017,6,27,"Brazil","To","PORTO NACIONAL","Conglomerado: TO-308. Subunidade 1, subparcela 1, indivíduo 1 RN.",,,"Projeto Inventário Florestal Nacional (IFN). Fruto imaturo de 4 cm , com forma oval , cores externas e internas verde , consistência interna carnosa e possui polpa.","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","JBRJ","RB","RB01411472","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","J.B. A. Bringel",2017,"","397","","R.M.G. Konopczik",2017,7,24,"Brazil","Maranhão","Grajaú","Conglomerado MA-512. Subunidade 1. Subparcela 10. Indivíduo 9-RN.",-5.58,-46.26,,"Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","Cenargen","CEN","97781","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","P. Delprete",,"","5628","","Anderson Cássio Sevilha",2016,4,6,"Brazil","Ma","CAROLINA","Foz do ribeirão das Lajes com o rio Farinha.",-6.555555,-47.225277,"Material coletado na baixada.","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","Cenargen","CEN","97543","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","P. Delprete",2016,"","5375","","Anderson Cássio Sevilha",2015,10,19,"Brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas. Sítio Buenos Aires. Ponto 4 de coleta. Face de exposição norte..",-6.956944,-47.352777,,"Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121204","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","Gomes, FS",2013,"","1423","","Gomes, FS",2013,5,14,"Brazil","Bahia","Una",,-15.21,-39.143611,"parcela nº 2 . Material estéril.","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","UESC","UESC","21644","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","J.G. Jardim",2012,"","209","","E.R. Andrade",2012,2,16,"Brazil","Bahia","Una",,-15.249722,-39.079167,"Arbusto.; (NA 165)","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","UESC","UESC","21728","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","J.G. Jardim",2012,"","100","","E.R. Andrade",2012,4,5,"Brazil","Bahia","Una",,-15.281667,-39.181667,"Arbusto.; (232)","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","UESC","UESC","21690","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","J.G. Jardim",2012,"","44","","E.R. Andrade",2012,6,11,"Brazil","Bahia","Una",,-15.340278,-39.185278,"Arbusto.; (M08)","Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","Cenargen","CEN","101746","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.",,,"","3687","","Aécio Amaral-Santos",2012,6,6,"Brazil","To","ITACAJA","Estrada entre a aldeia indígena Santa Cruz e Galheiro.",-8.496944,-47.628611,,"Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","97672","Stachyarrhena harleyi","","Rubiaceae","Stachyarrhena","harleyi","","J.H.Kirkbr.","J. G. Jardim",,"","1730","","P. Fiaschi",2003,10,23,"Brazil","Bahia","URUÇUCA","Rod. Ilheus/Itacaré, entrada a esquerda,na Rod. de acesso a Uruçuca,ca. 9,5Km, ramal a esq. Parque Estadual Serra do Conduru.",-14.483333,-39.1,,"Stachyarrhena harleyi J.H.Kirkbr.","",,"GBIF"
