"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","132338","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","Guedes, ML",2018,"","30268","","Guedes, ML",2018,2,5,"Brazil","Bahia","Cruz das Almas","Mata da Cazuzinha.",-13.116667,-39.171667,"Folhas cartáceas, discolores. Inflorescência com flores em botões. Fruto cápsula.","Conchocarpus diadematus Pirani","",,"GBIF"
"","JBRJ","RB","RB01347101","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","J.R. Pirani",2016,"","6652","","J.R. Pirani; I. Cordeiro; R. Mello-Silva",2016,10,24,"Brazil","Rio de Janeiro","Armação dos Búzios","Área de Proteção Ambiental Pau Brasil. Estarda para a Praia das Caravelas",-22.806389,-41.960278,,"Conchocarpus diadematus Pirani","",,"GBIF"
"","NY","NY","03696553","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","J. R. Pirani",2016,"","6652","","J. R. Pirani",2016,10,24,"Brazil","Rio de Janeiro",,"Área de Proteção Ambiental Pau Brasil.  Estrada para a Praia das Caravelas.",-22.80644,-41.96053,,"Conchocarpus diadematus Pirani","",,"GBIF"
"","USP","SPF","227724","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","Pirani, JR",2016,"","6652","","Pirani, JR",2016,10,24,"Brazil","Rio de Janeiro","Armação dos Búzios","Área de Proteção Ambiental do Pau Brasil, Estrada para a Praia das Caravelas.",-22.806444,-41.960528,"Arvoretas delgadas, 1-2 m alt., em população agregada, à sombra da mata de restinga. Folhas opacas. Frutos imaturos verdes.; Restinga arbórea de planície.","Conchocarpus diadematus Pirani","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150594","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani",,,"","242","","Rocha, F.O.",2014,11,4,"Brazil","Bahia","IBICARAÍ","Conglomerado BA_1276-2-3-8",-14.76,-39.78,"<ll>dwc_commonname:</ll>","Conchocarpus diadematus Pirani","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150595","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani",,,"","245","","Rocha, F.O.",2014,11,3,"Brazil","Bahia","IBICARAÍ","Conglomerado BA_1276-1-10-2R",-11.143333,-39.768889,"<ll>dwc_commonname:</ll>","Conchocarpus diadematus Pirani","",,"GBIF"
"","JBRJ","RB","RB01239660","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","R. Moura",,"",,"","Pimentel, L. B.; Junqueira, A. S. C",2013,10,10,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Conglomerado 152-4-9-3-R. UTM: E (800306,61m) N (7476478,80m). Fuso do GPS (23K)",,,"Árvore. Fruto marrom","Conchocarpus diadematus Pirani","",,"GBIF"
"","USP","SPF","227454","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","Pirani, JR",2016,"","6954","","Folli, DA",2012,11,29,"Brazil","Espírito Santo","Montanha",,,,,"Conchocarpus diadematus Pirani","",,"GBIF"
"","MBM","MBM","402314","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","Groppo Jr, M",2009,"","1749","","Groppo Jr, M",2009,1,20,"Brazil","Bahia","Ilhéus","Olivença, estrada de terra para Maruim, ca. 6km depois da igreja de Maruim",-14.757778,-39.035,"Arbusto pouco ramificado, 1,5m alt. na submata. Folhas coriáceas, verde escuras na face adaxial, verde claras na abaxial, com glândulas translúcidas bem evidentes e distribuídas por toda a lâmina. Flores creme. DNA, lenho, folhas em","Conchocarpus diadematus Pirani","",,"GBIF"
"","USP","SPF","225992","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","Groppo, M",2009,"","1749","","Groppo, M",2009,1,20,"Brazil","Bahia","Ilhéus","Olivença, estrada de terra para Maruim, ca. 6 km depois da igreja de Maruim.",-14.757778,-39.035,,"Conchocarpus diadematus Pirani","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","148065","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani","M. Groppo",,"","1749","","C. P. Bruniera",2009,1,20,"Brazil","Bahia","ILHÉUS","Olivença, estrada de terra maruim, ca. 6Km depois da igreja de Maruim.",-14.757778,-39.035,"<ll>dwc_commonname:</ll>","Conchocarpus diadematus Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","115647","Conchocarpus diadematus","","Rutaceae","Conchocarpus","diadematus","","Pirani",,,"","111","","Jesus, LS",2007,12,22,"Brazil","Bahia","Mundo Novo","Paraguaçu, Fazenda Jequitibá, mata jequitibá.",,,"flor rosa.","Conchocarpus diadematus Pirani","",,"GBIF"
