"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01335004","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","D.N. da Silva Machado",2016,"","1102","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires & J. Melo",2016,12,21,"Brazil","Rio de Janeiro","Niterói","São Francisco, parque Natural Municipal de Niterói (PARNIT), morro Santo Inácio.",-22.92,-43.082778,,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB01335003","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","D.N. da Silva Machado",2016,"","1102","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires & J. Melo",2016,12,21,"Brazil","Rio de Janeiro","Niterói","São Francisco, parque Natural Municipal de Niterói (PARNIT), morro Santo Inácio.",-22.92,-43.082778,,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB01239639","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","R. Moura",,"","275","","Luan Silva",2015,8,21,"Brazil","Rio de Janeiro","Casimiro de Abreu","Conglomerado 365-3-1-5-R. UTM do Ponto Central: E (805529m) N (7506304m). Fuso do GPS (23K)",,,"Arbusto, com 2,5 m de altura","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB00983936","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","G.D. Colletta et P.O. Dias",2014,"","2002","","G.D. Colletta",2014,7,8,"Brazil","São Paulo","Jaguariúna","Fazenda Santa Rita do Mato Dentro.",,,"Árvore, 6m, frutos imaturos verdes","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130060","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","Colletta, G.D. & Dias, P.O.",2014,"","2002","","Colletta, G.D.",2014,7,8,"Brazil","São Paulo","Jaguariúna","Fazenda Santa Rita do Mato Dentro",,,"Árvore, 6m, frutos imaturos verdes","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","UNICAMP","UEC","160984","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","Pirani, JR",,"","168","","Stefani, EJF; Belinello, R; Gavão, J",2010,6,2,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar.",-23.624722,-45.514167,"Árvore com 7 metros.; Mata Atlântica.","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","USP","SPF","196499","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","Cordeiro, I",,"","9","","Cabral, RS",2009,10,21,"Brazil","São Paulo","Peruíbe","Estação Ecológica Juréia-Itatins, Núcleo Arpoador, trilha da mangueira. Floresta ombrófila da encosta do Morro do Fernando.",-24.382917,-47.01875,"Arvoreta 3 a 4 m alt., crescendo na mata da encosta do morro, frutos imaturos verdes (com glândulas), folhas anternas, com calosidade no ápice do pecíolo.","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB01217637","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","A.A.M. de Barros",,"","3375","","A.A.M. de Barros; C.E. Jascone; R.S. Lopes; J. Etchebeste e C.M. de Andrade",2008,10,6,"Brazil","Rio de Janeiro","Niterói","Itaipu, loteamento Soter, avenida das Esmeraldas. Reserva Ecológica Darcy Ribeiro, Serra do Malheiro. Sítio Pomar.  Reserva Ecológica Darcy Ribeiro, Serra Grande, rua 45 com acesso pela Avenida das Esmeraldas. Sítio Pomar.",-22.923333,-43.0225,,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB01217636","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","A.A.M. de Barros",,"","3375","","A.A.M. de Barros; C.E. Jascone; R.S. Lopes; J. Etchebeste e C.M. de Andrade",2008,10,6,"Brazil","Rio de Janeiro","Niterói","Itaipu, loteamento Soter, avenida das Esmeraldas. Reserva Ecológica Darcy Ribeiro, Serra do Malheiro. Sítio Pomar.  Reserva Ecológica Darcy Ribeiro, Serra Grande, rua 45 com acesso pela Avenida das Esmeraldas. Sítio Pomar.",-22.923333,-43.0225,,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
"","JBRJ","RB","RB01217668","Conchocarpus fontanesianus","","Rutaceae","Conchocarpus","fontanesianus","","(A. St.-Hil.) Kallunki & Pirani","A.A.M. de Barros",2011,"","3397","","A.A.M. de Barros; R.S. Lopes; J. Etchebeste e B.A. Alves",2008,11,3,"Brazil","Rio de Janeiro","Itaipu","Loteamento Soter. Avenida das Esmeraldas, reserva ecológica Darcy Ribeiro, serra do Malheiro, sítio Pomar.",-22.922778,-43.023333,,"Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","",,"GBIF"
