"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","133857","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Guedes, ML",2019,"","30813","","Guedes, ML; Lopes, EB; Araújo, F",2018,9,2,"Brazil","Goiás","Posse","Estrada entre Guarani e Posse. Desvio ao lado direito de quem vai para Posse. Área cercada.",-15.526389,-46.616667,"Folhas jovens, membranáceas, vilosas. Fruto cápsula.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","220790","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Pirani, JR",2014,"","376","","Antar, GM",2014,1,23,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão",-10.541111,-45.462056,,"Esenbeckia oligantha Kaastra","",,"GBIF"
"","Cenargen","CEN","105390","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","J. R. Pirani",,"","376","","Guilherme de M. Antar",2014,1,23,"Brazil","To","MATEIROS","Parque Estadual do Jalapão. Próximo à fazenda Lua Cheia, acessado pel antiga estrada São Felix-Mateiros.",-10.533888,-45.461944,"Doação Universidade de São Paulo - Herbário SPF.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","220789","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Pirani, JR",2014,"","301","","Antar, GM",2013,10,31,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão, Próximo à sede do Parque.",-10.572,-46.509722,"Subarbusto prostrado ca. 20 cm alt. Flores creme.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","240235","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Dias, P.",2007,"","311","","Mike Hopkins",2007,2,3,"Brazil","Tocantins",,"Parque Estadual do Jalapão, 23,3Km na estrada para São Félix, então 7 Km na estrada para Mumbuca (estrada à esquerda), então 1,4 Km na estrada para Boa Esperança (estrada à esquerda), então 8,1 Km na estrada à direita em direção ao menor morro, então",-10.393056,-46.61,,"Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","178708","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Dias, P",2007,"","310","","Dias, P",2007,2,3,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão, 23.3 km na estrada para São Félix, então 7 km na estrada para Mumbuca (estrada à esquerda), então 100 m na estrada para Mumbuca (estrada à esquerda), então 1.4 km na estrada para Boa Esperança (estrada à esquerda), então 8",-10.393056,-46.6125,"Arbusto, ca. 40 cm alt. Extremidade dos ramos ligeiramente vinácea. Flores creme, disco amarelo evidente. Frutos passados marrons.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","178710","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Dias, P",2007,"","313","","Dias, P",2007,2,3,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão, 23.3 km na estrada para São Félix, então 7 km na estrada para Mumbuca (estrada à esquerda), então 100 m na estrada para Boa Esperança (estrada à esquerda). Cerrado. Solo arenoso.",-10.393056,-46.6125,"Arbusto, ca. 60 cm de alt. Extremidade dos ramos ligeiramente vinácea. Frutos passados marrons.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","178707","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Dias, P",2007,"","309","","Dias, P",2007,2,3,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão, 23.3 km na estrada para São Félix, então 7 km na estrada para Mumbuca (estrada à esquerda), então 100 m na estrada para Mumbuca (estrada à esquerda), então 1.4 km na estrada para Boa Esperança (estrada à esquerda), então 8",-10.393056,-46.6125,"Arbusto, ca. 80 cm alt. Extremidade dos ramos ligeiramente vinácea. Flores creme, disco amarelo evidente. Frutos passados marrons.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","178709","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Dias, P",2007,"","311","","Dias, P",2007,2,3,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão, 23.3 km na estrada para São Félix, então 7 km na estrada para Mumbuca (estrada à esquerda), então 100 m na estrada para Mumbuca (estrada à esquerda), então 1.4 km na estrada para Boa Esperança (estrada à esquerda), então 8",-10.393056,-46.6125,"Arbusto, ca. 70 cm alt. Extremidade dos ramos ligeiramente vinácea. Flores creme, disco amarelo evidente. Frutos passados marrons.","Esenbeckia oligantha Kaastra","",,"GBIF"
"","USP","SPF","171177","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Pirani, JR",2017,"","242","","Trovó, MLO",2006,3,9,"Brazil","Tocantins","Mateiros","Jalapão",-10.393889,-46.6125,,"Esenbeckia oligantha Kaastra","",,"GBIF"
"","JBRJ","RB","RB01404210","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","J.R.Pirani",2017,"","242","","M.L.O.Trovó; et. al.",2006,3,9,"Brazil","Tocantins","Mateiros","Jalapão. Estrada Mumbuca - Boa Esperança, km 8,5.",-10.393889,-46.6125,,"Esenbeckia oligantha Kaastra","",,"GBIF"
"","UnB","UB","9959","Esenbeckia oligantha","","Rutaceae","Esenbeckia","oligantha","","Kaastra","Soares-Silva, LH; Sampaio, AB",,"","983","","Soares-Silva, LH; Proença, CEB; Sampaio, AB; Simon, MF",2001,5,9,"Brazil","Tocantins","Mateiros","Estrada Rio Nova - Mateiros",-10.6,-46.6,"Frutos imaturos verdes. Folhas simples.; SubArbusto 0,4m; Campo sujo. Solo: Solo arenoso.","Esenbeckia oligantha Kaastra","",,"GBIF"
