"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MO","MO","1750911","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.","N. Paniagua (LPB)",2002,"","Fuentes Claros 3961","","Alfredo F. Fuentes|et al.",2002,3,23,"Bolivia, Plurinational State of","La Paz",,"Parque Nacional Madidi, río Hondo, arroyo Negro. Bosque amazónico estacional húmedo con Pentaplaris davidsmithii, Annonaceae, Moraceae y Lauraceae; en planicie ondulada",-14.6475,-67.79444,,"Galipea grandifolia Engl.","",,"GBIF"
"","IAC","IAC","16003","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.","J.R. Pirani",1994,"","24766","","R.L. Fróes & G.A. Black",1949,6,18,"Brazil","Pará",,"Rio Itacaiuna, Surubim",,,,"Galipea grandifolia Engl.","",,"GBIF"
"","JBRJ","RB","RB00370405","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.","J.R.Pirani",,"",,"","A.Duck",1936,2,25,"Brazil","Amazonas","Amazonas","Rio Curicuriary.Rio Negro ( Amazonas), acima das cachoeiras. .",,,"Árvore pequena, fl. branca.","Galipea grandifolia Engl.","",,"GBIF"
"","US","Botany","1740736","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","s.n.","","A. Ducke",1936,2,25,"Brazil","Amazonas",,"Rio Curicuriary affl. Rio Negro, super cataractas loco Mirapora",,,,"Galipea grandifolia Engl.","",,"GBIF"
"",,"Botany","U.1582879","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.","Pirani JR",,"",,"","Ducke A",1936,2,25,"Brazil","Amazonas",,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","MNHN","P","P02440768","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",1853,1,,"Brazil",,,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","MNHN","P","P00541966","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",1853,1,,"Brazil",,,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","K","Herbarium","K000190004","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","2822","","s.coll.",1853,1,1,"Brazil",,,"Uaupés",,,,"Galipea grandifolia Engl.","",,"GBIF"
"","UM","MPU","MPU022766","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",1852,10,,"Brazil",,,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","BR",,"BR0000008553836","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","2822","","Spruce R.",1852,10,,"Brazil",,,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","NY","NY","55867","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","2822","","R. Spruce",1852,10,,"Brazil",,,"[Perhaps Colombia]. ""Prope panuri ad Río Vaupés""",0.225176,-68.512137,,"Galipea grandifolia Engl.","",,"GBIF"
"","NY","NY","55866","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","2822","","R. Spruce",1852,10,,"Brazil",,,"[Perhaps Colombia]. ""Prope panuri ad Río Vaupés""",0.225176,-68.512137,,"Galipea grandifolia Engl.","",,"GBIF"
"","GH","GH","barcode-00044078","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"","2822","","R. Spruce",1852,10,,"Brazil",,,"Prope Panure ad Rio Uaupes",,,,"Galipea grandifolia Engl.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-166111/2","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",,,,"Brazil",,,"Amazonas - Prope Panurè ad Rio Uaupès",-4.14444,-65.08583,,"Galipea grandifolia Engl.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-166111/3","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",,,,"Brazil",,,"Amazonas - Prope Panurè ad Rio Uaupès",-4.14444,-65.08583,,"Galipea grandifolia Engl.","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-166111/1","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"","Spruce, R.",,,,"Brazil",,,"Amazonas - Prope Panurè ad Rio Uaupès",-4.14444,-65.08583,,"Galipea grandifolia Engl.","",,"GBIF"
"","C","VT","9930","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,,"",,"",,,,,,,,,,,,"Galipea grandifolia Engl.","",,"GBIF"
"","K","Herbarium","K000543962","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.","Pirani, J.R.",,"","2822","","Spruce, R.",,,,"Brazil",,,"Prope Panuré ad Rio Uaupés",,,,"Galipea grandifolia Engl.","",,"GBIF"
"","MA","MA","MA-01-00889038","Galipea grandifolia","","Rutaceae","Galipea","grandifolia","","Engl.",,2002,"","3961","",,,,,"Bolivia, Plurinational State of","Provincia Franz Tamayo",,"Parque Nacional Madidi, río Hondo, arroyo Negro",-14.6475,-67.794444,,"Galipea grandifolia Engl.","",,"GBIF"
