"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01313858","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","J.R.PIRANI",,"","462","","K.S. Valdemarin; T.B. Flores",2016,12,13,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale - Mata Alta - Trilha do Pequi Vinagreiro",,,,"Galipea laxiflora Engl.","",,"GBIF"
"","UFRB","HURB","13829","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.",,,"","185","","Victor Jr., V.",2013,1,8,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Galipea laxiflora Engl.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13752","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","J.H.L. El Ottra",2012,"","239","","J.H.L. El Ottra",2012,4,9,"Brazil","Es","LINHARES",,-19.132333,-40.081333,"Floresta secundaria no MME <ll>dwc_commonname:</ll> Grumarim","Galipea laxiflora Engl.","",,"GBIF"
"","USP","SPF","217272","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","El Ottra, JHL",2012,"","239","","El Ottra, JHL",2012,4,9,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Ca. 17 km N de Linhares, Estrada Municipal do MME.",-19.132333,-40.081333,"Arvoreta ca. 2,5 m alt. Cálice verde, corola branca. Voucher para estudos anatômicos.; Vegetação secundária, com elementos de Floresta de Tabuleiro (Mata Atlântica).","Galipea laxiflora Engl.","",,"GBIF"
"","JBRJ","RB","RB01151541","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","J.H.L. El Ottra",2011,"","126","","J.H.L. El Ottra; M. Groppo; C.P. Bruniera; L.H. Daneu",2011,3,19,"Brazil","Bahia","Almadina","Serra do Corcovado. 3,8 Km a sudoeste de Coarací, na estrada para Almadina.",,,,"Galipea laxiflora Engl.","",,"GBIF"
"","USP","SPF","219575","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","El Ottra, JHL",2011,"","126","","El Ottra, JHL",2011,3,19,"Brazil","Bahia","Almadina","Serra do Corcovado, 3,8 km a sudoeste de Coarací, na estrada para Almadina. Fazenda São José (proprietário Sr. Francisco).",-14.705639,-39.602972,,"Galipea laxiflora Engl.","",,"GBIF"
"","F","Botany","V0447547F","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.",,,"","126","",,2011,3,19,"Brazil",,,,-10.8339,-52.8731,,"Galipea laxiflora Engl.","",,"GBIF"
"","NY","NY","02707152","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","J. H. L. El Ottra",2011,"","126","","J. H. L. El Ottra",2011,3,19,"Brazil","Bahia",,"Serra do Corcovado. 3.8 km a sudoeste de Coaraci, na estrada para Almadina. Fazenda Sao José (proprietário Sr. Francisco).",-14.70564,-39.60297,,"Galipea laxiflora Engl.","",,"GBIF"
"","JBRJ","RB","RB00660880","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","O. Thier",,"","OT 2043","","O. Thier; K. Baber, R. Engelmann, J. Wesenberg",2010,9,23,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual do Paraiso. near to the Centro de Primatologia.",-22.474444,-42.915,"dbh = 11.5 cm","Galipea laxiflora Engl.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12539","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","José R. Pirani",2011,"","6421","","Folli, D.A.",2009,9,19,"Brazil","Es","RIO BANANAL",,-19.224406,-40.319884,"Propriedade Santo Carminatt. <ll>dwc_commonname:</ll> Grumarim","Galipea laxiflora Engl.","",,"GBIF"
"","USP","SPF","204126","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","Pirani, JR",2011,"","6421","","Folli, DA",2009,9,19,"Brazil","Espírito Santo","Rio Bananal",,,,,"Galipea laxiflora Engl.","",,"GBIF"
"","MBML","MBML-HERBARIO","38011","Galipea laxiflora","","Rutaceae","Galipea","laxiflora","","Engl.","J.R. Pirani/jan.2011",,"","1367","","A. M. Assis; Valdir G. Demuner",2008,1,25,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes",-20.931667,-41.045556,"Arvoreta 7 m. Frutos secos. Interior da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","Galipea laxiflora Engl.","",,"GBIF"
