"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01381456","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","J.R. Pirani",,"","9339","","R.C. Forzza; L. Souza; W. Castro; F. Obermüller; J.P. Cunha Neto; L.P. Piva; C.S. Gonçalves; E.C. Oliveira; C.R.A.S. Lopes; N.N.V. Reis; K.R. Cruz; A.F. Reis",2017,10,24,"Brazil","Mato Grosso","Cotriguaçu","Margem do Rio Juruena, próximo ao início do Parque",-8.968611,-58.570833,"Árvore 18-25 m alt., frequente; grande florada; folhas discolores; infl. com ramos castanhos; fl. com hipanto verde; cálice e corola róseos; filetes róseos; anteras amarelas; ovário verde com estigma róseo","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","JBRJ","RB","RB01392260","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","J.R. Pirani",2018,"","2878","","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Obermuller, F.A. & Silva, L.S.",2017,10,22,"Brazil","Mato Grosso","Cotriguaçu","Unidade amostral UA2_Escorpião (Ponto amostral leste). Parque Nacional do Juruena",-8.982778,-58.606111,"Árvore 9 m, Placa:#315. Estéril","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","JBRJ","RB","RB01392923","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","R.C. Forzza",,"","2771","","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Obermuller, F.A.; Silva, L.S.",2017,10,20,"Brazil","Mato Grosso","Nova Bandeirantes","Parque Nacional do Juruena, Unidade amostral UA1_Saruê (Ponto amostral norte). Parque Nacional do Juruena",-8.959722,-58.545,"Árvore 13 m, Placa:#34. Estéril","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","JBRJ","RB","RB01392922","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","J.R. Pirani",,"","2813","","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Obermuller, F.A. & Silva, L.S.",2017,10,20,"Brazil","Mato Grosso","Nova Bandeirantes","Unidade amostral UA1_Saruê (Ponto amostral oeste). Parque Nacional do Juruena",-8.960556,-58.545555,"Árvore 15 m, Placa:#223. Estéril","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256998","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","Ramos, J.F.",2013,"","3761","","Mike Hopkins",2013,5,11,"Brazil","Pará",,"Rio Tapajós, Margem direita do Rio Tapajós",,,,"Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","USP","SPF","223041","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","Ramos, JF",2013,"","3761","","Amaral, IL",2013,5,11,"Brazil","Pará","Itaituba","Rio Tapajós margem direita.",,,,"Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","Universidade Federal do Pará","HBRA","8096","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.",,,"","653","","F. C. A. Lucas",2012,8,,"Brazil","Pará","Santarém","Arapiun, Nova Canaã",-2.662222,-55.499444,"Árvore de 8/m de altura. Inflorescência vermelha","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","UFMA","MAR","5208","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","Silva, C. A. S da",,"","653","","Lucas, F.C.A.",2012,8,,"Brazil","Pará","Santarém","Nova Canaã",-2.662222,-55.499444,"Árvore de 8m de altura, inflorescência vermelha","Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","257567","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","Ramos, J.F.",,"","1528","","Mike Hopkins",2008,6,27,"Brazil","Amazonas",,"Vila de Balbina., UHE de Balbina, margem direita do rio.",,,,"Hortia longifolia Spruce ex Engl.","",,"GBIF"
"","USP","SPF","223040","Hortia longifolia","","Rutaceae","Hortia","longifolia","","Spruce ex Engl.","Ramos, JF",,"","1528","","Silva, JAC",2008,6,27,"Brazil","Amazonas","Presidente Figueiredo","Vila de Balbina, UHE de Balbina, margem direita do rio.",,,,"Hortia longifolia Spruce ex Engl.","",,"GBIF"
