"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","215843","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki",,,"","3556","","Matos, E.",2013,3,23,"Brazil","Bahia","Itacaré","Santo amaro",-14.256667,-39.028333,"Floresta","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","UEFS","HUEFS","198724","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki",,,"","1494","","Popovkin, A.V.",2013,7,24,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,"Atlantic Forest.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","IMA","MAC","43109","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","E.C.O.Chagas",2009,"","4613","","Chagas-Mota; D.S.Correia",2009,8,4,"Brazil","Alagoas","Maceió","Serra da Saudinha.",,,"Árvore ca. 7 m de altura. Flores alvas.; Mata Pluvial Atlântica.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","181676","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Pirani, JR",2005,"","699","","Paixão, JL",2006,2,19,"Brazil","Bahia","Una","Reserva Biológica de Una, Entrada no km 46 da rod. BA 001 Ilhéus-Una. Mata higrófila sul baiana.w",-15.15,-39.069167,"Árvore ca. 15.0 m alt. Folhas discolores brilhantes. Flores brancas com cálice creme. Frutos imaturos esverdeados.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","01112652","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2009,"","699","","J. L. Paixão",2006,2,19,"Brazil","Bahia",,"Reserva Biológica de Una (Rebio de Una). Entrada no km 46 da rodovia. BA-001 Ilhéus/Una",-15.15,-39.0692,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","IMA","MAC","15432","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J.Kallunki",2003,"","7083","","A.M. de Carvalho; et al.",2002,3,16,"Brazil","Alagoas","Murici","Bananeiras.",-9.229722,-35.888333,"Árvore; Mata Atlântica em serra.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","90591","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. H. L. El Ottra",,"","7083","","A. M. de Carvalho",2002,3,16,"Brazil","Alagoas","MURICÍ","Bananeiras.",,,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","632072","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2002,"","7083","","A. M. V. de Carvalho",2002,3,16,"Brazil","Alagoas",,"Bananeiras",-9.2244,-35.8797,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","MO","MO","2810371","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. Kallunki",2002,"","Thomas 13039","","W. Wayt Thomas",2002,8,4,"Brazil","Bahia",,"Itacaré: 10 km W of jct. road from Ilhéus to Itacaré (BA 001) on road from Itacaré to BR 101, then 1.6 km S on fazenda road to Reserva Fazenda Capitao. Southern Bahian Wet Forest.",-14.33333,-39.08333,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","158020","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Pirani, JR",2011,"","13039","","Thomas, WW",2002,8,4,"Brazil","Bahia","Itacaré","10km W of jct. road from Ilhéus to Itacaré (BA 001) on road from Itacaré tp BR 101, then 1,6km S on fazenda road to Reserva Fazenda Capitão. Southern Bahian Wet Forest.",-14.333333,-39.083333,"Tree 15 m tall; leaves shiny yellowish green above, slightly paler beneath; fruits mature, ready to dehisce, pale olive-tan.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","519548","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","13039","","W. W. Thomas",2002,8,4,"Brazil","Bahia",,"10 km W of jct. road from Ilhéus to Itacaré (BA 001) on road from Itacaré to BR 101, then 1.6 km S on fazenda road to Reserva Fazenda Capitao",-14.345,-39.0885,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","JBRJ","RB","RB00371191","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","M.Groppo Jr.",2002,"","12115","","W.W.Thomas; A.M.Carvalho, R.Rocha, S.Sant´Ana, S.Ribeiro",2000,3,23,"Brazil","Bahia","Uruçuca","Fazenda Tres Irmãos, ca 10 km W of Serra Grande on road to Uruçuca, then 1,5 km N into Fazenda, Southern edfe of Parque Estadual Serra do Condurú. Parque Estadual Serra do Condurú",-14.451389,-39.083333,"Tree 20 m tall, leaves shiny olive green aboce, paler beneath, calyx scurfy pale olive, corolla cream, fragrant","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","154217","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Groppo, M",2002,"","12115","","Thomas, WW",2000,3,23,"Brazil","Bahia","Uruçuca","Fazenda Três Irmãos, ca. 10km W of Serra Grande on road to Uruçuca, then 1,5 km N into fazenda. Southern edge of Parque Estadual Serra do Conduru. Disturbed southern Bahian wet forest.",-14.45,-39,"Tree, 20m tall; leaves shiny olive green above, paler beneath; calyx scurfy pale olive; corolla cream, fragrant. (Photo)","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","UESC","UESC","23865","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","M.Groppo",2002,"","12115","","W.W.Thomas",2000,3,23,"Brazil","Bahia","Uruçuca",,-14.451389,-39.001389,"Disturbed southern Bahian wet forest.; Tree, 20 m tall.; (Photo).","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568464","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2002,"","12115","","W. W. Thomas",2000,3,23,"Brazil","Bahia",,"Fazenda Tres Irmaos, ca. 10 km W of Serra Grande on road to Uruçuca, then 1.5 km. N into fazenda. Southern edge of Parque Estadual Serra do Condurú",-14.4583,-39.0083,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","65664","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. R. Pirani",,"","10789","","W. W. Thomas",1997,1,2,"Brazil","Bahia","ILHÉUS","Mata da Esperança. 2KM ao NNE do Banco da Vitória (5.7Km W da antiga ponte do Rio Fundão),na marg. Rod.ao W da Mata.",-14.777222,-39.091111,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","56649","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","A. M. Amorim",,"","804","","A. M. Amorim",1997,11,8,"Brazil","Bahia","URUÇUCA","7,3Km na estrada Serra Grande/Itacaré, Faz. Lagoa do Conj. Sta. Cruz.",-14.416667,-39.016667,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","69953","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","11063","","W. W. Thomas",1996,3,16,"Brazil","Bahia","ILHÉUS","Mata da Esperança. 3Km ao N da Rodoviária. Mata ao N da represa.",-14.781944,-39.069167,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568463","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1999,"","11063","","W. W. Thomas",1996,3,16,"Brazil","Bahia",,"3 km north of Rodoviaria, Mata da Esperança, forest north of dam and reservoir",-14.7819,-39.0692,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","108231","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Pirani, JR",1995,"","10789","","Thomas, WW",1995,1,15,"Brazil","Bahia","Ilhéus","2 km NNE of Banco da Vitória (5,7 km west of bridge over the Rio Fundão on road to Itabuna) on road leading to west edge of the Mata da Esperança. Disturbed Southern Bahian Wet Forest with some logged trees and adjacent intact forest.",-14.777222,-39.091111,"Tree 25m; leaves lustrous green above, pale green beneath; buds very pale green.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568461","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1999,"","10789","","W. W. Thomas",1995,1,15,"Brazil","Bahia",,"2 km NNE of Banco da Vitoria (5.7 km west of bridge over the Rio Fundão on road to Itabuna) on road leading to west edge of the Mata da Esperança",-14.7772,-39.0911,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","66745","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","680","","J. A. Kallunki",1995,3,28,"Brazil","Bahia","URUÇUCA","7,4Km ao N de Serra Grande, Rod. P/ Itacaré. Árvore 683.",-14.424167,-39.060556,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568454","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2009,"","680","","J. A. Kallunki",1995,3,28,"Brazil","Bahia",,"7.4 km N of Serra Grande, on road to Itacaré.",-14.4242,-39.0606,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","66728","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","749","","J. A. Kallunki",1995,5,12,"Brazil","Bahia","URUÇUCA","7.4Km ao N de Serra Grande Rod. P/ Itacaré.",-14.423333,-39.060556,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","66747","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","747","","J. A. Kallunki",1995,5,12,"Brazil","Bahia","URUÇUCA","7.4Km ao N de Serra Grande Rod. P/ Itacaré. Árvore 683.",-14.423333,-39.060556,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","68768","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","W. W. Thomas",,"","10995","","W. W. Thomas",1995,5,22,"Brazil","Bahia","ILHÉUS","Mata da Esperança.2.2KM ao N do Banco da Vitória, na marg. Rod. ao oeste da mata.",-14.777222,-39.091111,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","UEFS","HUEFS","33834","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki",,,"","749","","Kallunki, J.A.",1995,5,12,"Brazil","Bahia","Uruçuca","7,4Km N of serra Grande on road to Itacaré.",-14.423333,-39.060556,"Southern Bahian Moist Forest.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","107061","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Kallunki, JA",,"","749","","Kallunki, JA",1995,5,12,"Brazil","Bahia","Uruçuca","7,4km N of Serra Grande on road to Itacaré. Southern Bahian Moist Forest.",-14.423333,-39.060556,"Tree 12m tall, 15cm dbh, bark pale, +/- smooth. Wood very hard. Leavesconsistently opposite, mostly 3-foliolate, rarely 4-foliolate. Inflorescence terminal. Flowers very sweet-scented. Corolla, fertile stamens, staminodes white, styl","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568457","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2009,"","749","","J. A. Kallunki",1995,5,12,"Brazil","Bahia",,"7.4 km N of Serra Grande on road to Itacaré.",-14.4233,-39.0606,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568462","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1999,"","10995","","W. W. Thomas",1995,5,22,"Brazil","Bahia","Ilhéus","2.2 km north of Banco da Vitória on road leading to west edge of Mata da Esperança",-14.777222,-39.091111,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568456","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki",,,"","747","","J. A. Kallunki",1995,5,12,"Brazil","Bahia",,"7.4 km N of Serra Grande on road to Itacaré.",-14.4233,-39.0606,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568455","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki",,,"","747","","J. A. Kallunki",1995,5,12,"Brazil","Bahia",,"7.4 km N of Serra Grande on road to Itacaré.",-14.4233,-39.0606,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","65494","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. R. Pirani",,"","6033","","A. M. de Carvalho",1995,7,14,"Brazil","Bahia","URUÇUCA","Ca. 7,3Km na estrada Serra Grande/Itacaré. Área do Inventário Florestal.",,,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","108230","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Pirani, JR",,"","6033","","Carvalho, AMV",1995,7,14,"Brazil","Bahia","Uruçuca","Distrito de Serra Grande. Ca. 7,3 km na estrada Serra Grande/ Itacaré. Região da Mata Atlântica. Área do Inventário Florestal.",,,"Árvore nº 1250 do Inventário Florestal de Serra Grande. Ca. 12 a 15m. Frutos imaturos verdes, muitos jovens.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","028384","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Pirani, JR",1995,"","6033","","Carvalho, AM de; Amorim, AMA; Gardim, JG; Pitanga, GVE; Carvalho, LAV",1995,7,14,"Brazil","Bahia","Uruçuca","Litoral Sul, Distrito de Serra Grande. Ca. de7,3 km na estrada Serra GrandeItacaré",-14.583333,-39.283333,"Árvore nº 1250 do Inventário Florestal de Serra Grande. Ca. 12 a 15 m. Frutos imaturos verdes, muito jovens.; Área do Inventário Florestal.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","64687","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","4855","","A. M. de Carvalho",1994,9,21,"Brazil","Bahia","ILHÉUS","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n. 320 parcela n. 9.",-14.781944,-39.069167,"<ll>dwc_commonname:</ll> Esteieiro","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","64755","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","4823","","A. M. de Carvalho",1994,9,19,"Brazil","Bahia","ILHÉUS","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n. 276 parcela n. 8.",-14.781944,-39.069167,"<ll>dwc_commonname:</ll> Esteieiro","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","64800","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","4836","","A. M. de Carvalho",1994,9,19,"Brazil","Bahia","ILHÉUS","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n. 296 parcela n. 8.",-14.781944,-39.069167,"<ll>dwc_commonname:</ll> Esteieiro","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","65471","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",,"","5206","","A. M. de Carvalho",1994,9,26,"Brazil","Bahia","ILHÉUS","Mata da Esperança. Entrada a 2Km a partir da antiga ponte do Rio Fundão. Árvore n. 988 parcela n. 25.",-14.781944,-39.069167,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568459","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1995,"","4855","","A. M. V. de Carvalho",1994,9,21,"Brazil","Bahia",,"Cidade de Ilhéus.  Mata da Esperança.  Entrada a 2 km a partir da antiga ponte do Rio Fundao.",-14.7819,-39.0692,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568460","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",2009,"","10564","","W. W. Thomas",1994,9,20,"Brazil","Bahia",,"Cidade de Ilhéus, 3 km N of Rodoviaria, Mata da Esperança, forest N of dam and reservoir.",-14.78194,-39.06917,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568458","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1995,"","4836","","A. M. V. de Carvalho",1994,9,19,"Brazil","Bahia",,"Cidade de Ilhéus.  Mata da Esperança.  Entrada a 2 km a partir da antiga ponte do Rio Fundao.",-14.7819,-39.0692,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","USP","SPF","81321","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Kallunki, JA",1993,"","9746","","Thomas, WW",1993,2,5,"Brazil","Bahia","Uruçuca","Serra Grande, 7,3km north of Serra Grande on road to Itacaré. Serra Grande study site. Atlantic coastal forest.",-14.416667,-39.016667,"Small tree, old fruit brown and slightly puberulent.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","MO","MO","2810765","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. Kallunki",1992,"","Thomas 9157","","W. Wayt Thomas",1992,5,6,"Brazil","Bahia",,"Mun. Urucuca. 7.3 km N of Serra Grande on rd to Itacaré. Atlantic Coastal Forest, study site revisited.",-14.41666,-39.01666,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","NY","NY","568453","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. A. Kallunki",1993,"","806","","A. M. Amorim",1992,10,6,"Brazil","Bahia",,"Distrito de Serra Grande. 7.3 km na estrada Serra Grande- Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.",-14.4231,-39.0617,"Site: SG","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"",,"Botany","U.1582396","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","Kallunki JA",,"",,"","Amorim AM; et al.",1992,10,6,"Brazil","Bahia",,,-14.416667,-39.016667,,"Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
"","Cenargen","CEN","57327","Neoraputia trifoliata","","Rutaceae","Neoraputia","trifoliata","","(Engl.) Emmerich ex Kallunki","J. Kallunidi",,"","764","","Domingos Antônio Folli",1988,7,13,"Brazil","Ba","PORTO SEGURO","Próximo à produção sustentada.",,,"Aceiro. Doação do Banco Genético do Pau-Brasil. Registro nº454. Coleção de referência. EMBRAPA, CEPLAC, VERACEL.","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","",,"GBIF"
