"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Santa Catarina","FLOR","62545","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","P. Fiaschi",,"","4639","","Fiaschi, P.; Costa-Lima, J.L.",2016,2,5,"Brazil","Espírito Santo","Linhares","Estrada Linhares-Regência, ca. 25,3 km a partir da BR-101, ramal à dir. Com floresta sobre restinga.",-19.592222,-39.957222,"Arvoreta bastante comum, até 5 m alt. Botões florais verdes. Flores com pétalas e estames alvos","Ravenia infelix Vell.","",,"GBIF"
"","JBRJ","RB","RB01222856","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","H.C. Lima",,"","8489","","Haroldo C. de Lima; A.N. Lima, I.S. Broggio e W. Macedo",2016,12,14,"Brazil","Rio de Janeiro","Rio de Janeiro","São Francisco de Itabapoana, Praça João Pessoa, Faz. Santo Antonio, Fragmento de mata estacional de terras baixas.",-21.296389,-41.090278,"Arbusto com 1,5 m alt. Flores com cálice verde e corola alva. Ocasional no sub-bosque. Fotos HCL.","Ravenia infelix Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14777","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Geovane S. Siqueira",2014,"","956","","Biral, L.",2014,2,18,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Osso de porco","Ravenia infelix Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14614","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Domingos A. Folli",2013,"","7136","","Folli, D.A.",2013,11,5,"Brazil","Es","JAGUARÉ",,,,"<ll>dwc_commonname:</ll> Osso de porco","Ravenia infelix Vell.","",,"GBIF"
"","JBRJ","RB","RB01187308","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","D.A. Folli",,"","7136","","D.A. Folli",2013,11,5,"Brazil","Espírito Santo","Jaguaré",,-39.382778,-79,,"Ravenia infelix Vell.","",,"GBIF"
"","MBM","MBM","390452","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2011,"","6118","","Pirani, JR",2011,1,20,"Brazil","Espírito Santo","Colatina","Fazenda Gigante, Estrada não pavimentada de Colatina ao Bairro Quartel de Linhares, ao longo da margem direita do Rio Doce, ca. 9km E da BR-259",-19.54875,-40.434944,"Arvoreta 4m de alt., na orla da mata, à sombra parcial. Folhas verde-escuras. Intensa florada. Sépalas dorsal verde-escuras, as demais verde-claras. Corola, estames e gineceu alvos.; Fragmento de Floresta de Tabuleiro muito perturbad","Ravenia infelix Vell.","",,"GBIF"
"","UnB","UB","214749","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2011,"","6118","","Pirani, JR",2011,1,20,"Brazil","Espírito Santo","Colatina","Estrada não pavimentada de Colatina ao Bairro Quartel de Linhares, ao longo da margem direita do Rio Doce, ca. 9km E da BR-259, Fazenda Gigante",-19.54875,-40.434944,"Arvoreta 4m alt., na orla da mata. Folhas verde-escura. Intensa florada. Sépalas dorsal verde-escura, as demais verde-claras. Corola, estames e gineceu alvos; Fragmento de Floresta de Tabulerio muito pertubada, em topo de encosta de elevação","Ravenia infelix Vell.","",,"GBIF"
"","MO","MO","100658127","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","J.R. Pirani",2011,"","Pirani 6087","","José R. Pirani|et al.",2011,1,18,"Brazil","Espírito Santo",,"Reserva da VALE, ca. 17 km N de Linhares, Estrada Gávea. Floresta de Tabuleiro (Mata Atlântica).",-19.140555,-39.923611,,"Ravenia infelix Vell.","",,"GBIF"
"","JBRJ","RB","RB00754705","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","J.R. Pirani",2011,"","6118","","J.R. Pirani; P. Fiaschi; J.H.L. El Ottra",2011,1,20,"Brazil","Espírito Santo","Colatina","Estrada não pavimentada de Colatina ao Bairro Quartel de Linhares, ao longo da margem direita do Rio Doce, ca. 9 km E da BR-259, Fazenda Gigante.",-19.548611,-40.434722,"Arvoreta 4m alt., na orla da mata, à sombra parcial. Folhas verde-escuras. Intensa florada. Sépalas dorsal verde-escura, as demais verde-claras. Corola, estames e gineceu alvos","Ravenia infelix Vell.","",,"GBIF"
"","US","Botany","3670566","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.",,,"","6118","","J. R. Pirani, P. Fiaschi & J. El Ottra",2011,1,20,"Brazil","Espírito Santo",,"Estrada não pavimentada de Colatina ao Bairro Quartel de Linhares, ao longo da margem direita do Rio Doce. Ca. 9 Km E da BR 259, Fazenda Gigante",-19.5486,-40.4347,,"Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","202649","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2011,"","6087","","Pirani, JR",2011,1,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",-19.140639,-39.9235,,"Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","202590","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2011,"","6118","","Pirani, JR",2011,1,20,"Brazil","Espírito Santo","Colatina",,-19.54875,-40.434944,,"Ravenia infelix Vell.","",,"GBIF"
"","NY","NY","02702106","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.",,,"","6118","","J. R. Pirani",2011,1,20,"Brazil","Espírito Santo",,"Estrada não-pavimentada de Colatina ao Bairro do Rio Doce, ca. 9 km E da BR-259, Fazenda Gigante. Fragmento de Floresta de Tabuleiro muito perturbada. em topo da encosta de elevação.",-19.5486,-40.43494,,"Ravenia infelix Vell.","",,"GBIF"
"","JBRJ","RB","RB00945735","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","José Rubens Pirani",,"","203","","L.P. Mauad; L.J.T. Cardoso & J.M.A. Braga",2011,4,13,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca. Coordenada geográfica da área de referência. Datum WGS 84.",-21.795555,-41.451111,,"Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","223840","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2015,"","203","","Mauad, LP",2011,4,13,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca. Coordenada geográfica da área de referência.",-21.795556,-41.451111,,"Ravenia infelix Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12897","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Geovane S. Siqueira",2010,"","285","","Zuntini, A.R. et al.",2010,1,13,"Brazil","Es","LINHARES","150 +- antes da chegar na estrada do parajú no sentido da gávea",-19.141972,-39.92425,"Col. Ad. G.S. Siqueira, V.Q. Pretti, R.F. de Almeida <ll>dwc_commonname:</ll> Osso de porco","Ravenia infelix Vell.","",,"GBIF"
"","UFES","VIES","23249","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Oliveira, A.G.",2011,"","190","","Monteiro, M.M.; Oliveira, A.G. & Oliveira, I.R.",2010,2,3,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas, Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.",,,,"Ravenia infelix Vell.","",,"GBIF"
"","UFES","VIES","17176","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Gomes, J.M.L.",2009,"","3214","","Gomes, J.M.L.",2009,2,15,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó.",,,,"Ravenia infelix Vell.","",,"GBIF"
"","MBML","MBML-HERBARIO","35263","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","L. Kollmann/31-01-2008",,"","10519","","L. Kollmann; L. Magnago",2008,1,31,"Brazil","Espírito Santo","Pinheiros","Santa Rita",-18.301389,-40.162778,"Arbusto 2m na sombra, flores brancas.","Ravenia infelix Vell.","",,"GBIF"
"","MBML","MBML-HERBARIO","38015","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","M. Groppo/IV-2008",,"","1333","","A. M. Assis; Valdir G. Demuner",2008,1,25,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes",-20.930833,-41.043889,"Arbusto 4 m. Frutos verdes. Interior da Mata. Floresta Estacional Semidecidual em Estágio Médio/Avançado de Regeneração.","Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","200879","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Kollmann, L",2008,"","10519","","Kollmann, L",2008,1,31,"Brazil","Espírito Santo","Pinheiros",,,,,"Ravenia infelix Vell.","",,"GBIF"
"","MBML","MBML-HERBARIO","39766","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","M. Groppo/IV-2008",,"","1457","","A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria",2008,3,15,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.",-20.938083,-41.047167,"Arbusto 5 m. Frutos verdes e secos. Interior da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","200877","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Groppo, M",2008,"","1457","","Assis, AM",2008,3,15,"Brazil","Espírito Santo","Itapemirim",,-20.938083,-41.047167,,"Ravenia infelix Vell.","",,"GBIF"
"","MBML","MBML-HERBARIO","36819","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","L. Kollmann/28-05-2008",,"","11195","","L. Kollmann; L. Magnago",2008,5,28,"Brazil","Espírito Santo","Boa Esperança",,-18.540278,-40.295833,"Arbusto 2m, frutos verdes.","Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","202168","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","El Ottra, JHL",2009,"","1601","","Lopes, MMM",2008,5,1,"Brazil","Espírito Santo","Sooretama",,-19.15925,-39.955472,,"Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","200878","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Kollmann, L",2008,"","11195","","Kollmann, L",2008,5,28,"Brazil","Espírito Santo","Boa Esperança",,,,,"Ravenia infelix Vell.","",,"GBIF"
"","UFV","VIC","019624","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.",,,"","s.n.","","Soares, M.P.; et al.",2006,1,,"Brazil","Espirito Santo","Pedro Canário",,,,"individuo de n°117 de 12,5 cm de circunferência e 4,5 m de altura.","Ravenia infelix Vell.","",,"GBIF"
"","UFV","VIC","019623","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.",,,"","s.n.","","Soares, M.P.; et al.",2006,1,,"Brazil","Espirito Santo","Pedro Canário",,,,"Individou de n°899 de 19 cm de circunferência e 6,5 m de altura.","Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","180865","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2007,"","s.n.","","Soares, MP",2006,1,,"Brazil","Espírito Santo","Pedro Canário","Floresta de Tabuleiro.",-18.416667,-39.866667,"Indivíduo 117, com 12.5 cm de circunferência e 4.5 m de alt.","Ravenia infelix Vell.","",,"GBIF"
"","USP","SPF","180864","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Pirani, JR",2007,"","s.n.","","Soares, MP",2006,1,,"Brazil","Espírito Santo","Pedro Canário","Floresta de Tabuleiro.",-18.416667,-39.866667,"Indivíduo 899, com 19 centímetros de circunferência e 6.5 m de alt.","Ravenia infelix Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9842","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Geovane S. Siqueira",2006,"","265","","Siqueira, G.S.",2006,12,12,"Brazil","Es","LINHARES","RFL-089",,,"<ll>dwc_commonname:</ll> Osso de porco","Ravenia infelix Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","8441","Ravenia infelix","","Rutaceae","Ravenia","infelix","","Vell.","Domingos A. Folli",2003,"","4696","","Folli, D.A.",2003,12,10,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Osso de porco","Ravenia infelix Vell.","",,"GBIF"
