"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","S","VascularPlants","S-R-9936","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"","17739","","A. Ducke",1923,9,11,"Brazil","Pará",,"[Brazil] Civ. Pará, Serra Pontada in regione Jutahy, inter Almeirima et Prainha",,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","UFMT","UFMT","11201","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"","s.n.","","Ducke, A.",1923,9,11,"Brazil","Pará",,"Regiao do Jutahy de Almeirim, Serra Pontada.",,,"arvorezinha ou arbusto da submata em um lugar humoso na descida de uma grota; flor verde, o cheiro da planta lembra Ticorea, mas é muito mais fraca.","Ravenia polygalaecalyx Ducke","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-310643/1","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"",,"","Ducke, A. (Coll. Barbey-Boissier)",1923,9,11,"Brazil",,,"Pará - Silva sub redicibus Serra Pontada/Estado do Pará",-5.64861,-52.53,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","B","FMNH-B-Types","12492","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"","s.n.","","A. Ducke",1923,9,11,"Brazil",,,,,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","F","Botany",,"Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"",,"","A. Ducke",1923,9,11,"Brazil",,,,-10.8339,-52.8731,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","US","Botany","1442307","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"","17739","","A. Ducke",1923,9,11,"Brazil","Rio de Janeiro",,"Serre ponta da region Yutahy between Almeirim at Bainche (civ. Para).",,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","JBRJ","RB","RB00543912","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"",,"","Ducke, A.",1923,9,11,"Brazil","Pará","Pará","Regiao do Jutahy de Almeirim, Serra Pontada.",,,"arvoresinha ou arbusto da submata em um lugar humido na descida de uma grota; fl. Verde, o cheiro da planta lembra Ticorea, mas é muito mais fraca.","Ravenia polygalaecalyx Ducke","",,"GBIF"
"","JBRJ","RB","RB00560320","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"",,"","Ducke, A.",1923,9,11,"Brazil","Pará","Pará","Regiao do Jutahy de Almeirim, Serra Pontada.",,,"arvoresinha ou arbusto da submata em um lugar humido na descida de uma grota; fl. Verde, o cheiro da planta lembra Ticorea, mas é muito mais fraca.","Ravenia polygalaecalyx Ducke","",,"GBIF"
"",,"Botany","U  0111491","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke","Ducke A",,"",,"","Ducke A",1923,9,11,"Brazil","Pará",,"Serra Pontada in regione Jutahy inter Almeirim et Prainha. (civ. Pará).",,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","MNHN","P","P06679630","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke",,,"",,"","Ducke, A.",1923,9,11,"Brazil","Pará",,,,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
"","K","Herbarium","K000531054","Ravenia polygalaecalyx","","Rutaceae","Ravenia","polygalaecalyx","","Ducke","Ducke, A.",,"","17739","","Ducke, A.",1923,9,11,"Brazil",,,"Serra [Pontaola] regione Jutahy inter [Almeirim] et [Rainha]",,,,"Ravenia polygalaecalyx Ducke","",,"GBIF"
