"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","USP","SPF","223810","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","Mello, AT",2014,"","104","","Magalhães, LS",2013,12,15,"Brazil","Amazonas","Manaus","Parque Estadual Sumaúma: área urbana da cidade Manaus no bairro Cidade Nova.",-3.035833,-59.999167,,"Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","14581","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman",,,"","198","","Marra, DM; Neves, AF; Souza, IG",2011,5,11,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-2.407225,-60.308381,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 11.5 cm","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","607","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman",,2009,"","3819","","Kinupp, VF; Webber, AC; Estudantes PPG Botânica INPA.",2009,5,9,,,,"Sub-bosque.",,,"; DESC: Arvoreta; 5,0 m; frutos verde-amarelados exalando cheiro de limão-laranja quando esmagados.","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210077","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","Kinupp, V.F.",2001,"","1789","","Mike Hopkins",2001,5,1,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke",-2.883333,-59.97,,"Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","209949","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","""M.; Groppo Jr., M.""",2001,"","915","","Mike Hopkins",2001,12,4,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, estrada Manaus -Itacoatiara km 26",-2.883333,-59.97,,"Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","209959","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","""M.; Groppo Jr., M.""",2001,"","925","","Mike Hopkins",2001,12,5,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, estrada Manaus -Itacoatiara km 26",-2.883333,-59.97,,"Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","USP","SPF","151184","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","Groppo, M",2001,"","915","","Groppo, M",2001,12,4,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke, Estrada Manaus - Itacoatiara km 26, mata de terra firme, solo argiloso-arenoso. Ca. 80º do marco 203, ca. 10 m dist.",-2.883333,-59.966667,"Árvore jovem, estéril, ca. 3m, não ramificada. Tronco aculeado. Folhas amplas, folíolos com glândulas mais evidentes nas margens. Voucher para estudos moleculares.","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","USP","SPF","151185","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","Groppo, M",2001,"","925","","Groppo, M",2001,12,5,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke, Estrada Manaus - Itacoatiara km 26, mata de terra firme, solo argiloso-arenoso. Perto de reflorestamento com pau-rosa.",-2.883333,-59.966667,"Arvoreta não ramificada, ca. 4m. Tronco aculeado. Folhas amplas, concentradas no ápice do caule. Folíolos com glândulas translúcidas mais evidentes na margem. Inflorescência ereta, flores creme.","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","189867","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman",,,"","1786","","Mike Hopkins",1996,1,30,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke",-2.883333,-59.97,,"Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
"","USP","SPF","110851","Zanthoxylum djalma-batistae","","Rutaceae","Zanthoxylum","djalma-batistae","","(Albuq.) P.G.Waterman","Pirani, JR",1996,"","1786","","Ribeiro, JELS",1996,1,30,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke, Manaus - Itacoatiara km 26. Floresta de Platô. Solo argilosos. Subdossel.",-2.883333,-59.966667,"Arvoreta 3 m alt. DAP=3 cm. Caule cilíndrico, base com grandes espinhos. Ritidoma verrucoso. Lenticelas marrom-acinzentadas. Casca viva amarela, 1 mm espess., odor forte. Alburno branco. Pétala branca, ovário amarelo, filetes brancos","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","",,"GBIF"
