"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Ceará, UFC","EAC","60345","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Loiola, M.I.B.",2017,"","459","","Sobczak, JCMSM",2017,4,1,"Brazil","Ceará","Mulungu","sítio Líbano.",-4.306472,-39.011972,"Árvore, 8 m, DAS 67,8 mm, frequente; folha composta, odorosa, glabra, lisa.; Mata atlântica, solo argiloso com bastante serrapilheira.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","21704","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","A.M.Miranda",2016,"","16","","J.E.L.Torres; W.B.Santos (Parcela C48 ind. 6350 )",2016,8,12,"Brazil","Pernambuco","Exu","serra das Abelhas",,,"Árvore ca. 4 m alt. e CAP 10 cm; casca morta escura e levemente fissurada, com acúleos grandes; folhas verdes claros, com odor característico; frutos maduros, secos.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","12312","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Morais-Mendonça, A C A",2016,"","HCDAL12312","","Souza, J F O",2015,10,24,"Brazil","Pernambuco","Moreilândia","Serra da Mata Nova, Chapadado Araripe",-7.470139,-39.467417,"Arbustiva ca. 1,80m.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","12293","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Morais-Mendonça, A C A",2016,"","HCDAL12293","","Souza, J F O",2015,10,18,"Brazil","Pernambuco","Moreilândia","Serra da Mata Nova, Chapadado Araripe",-7.470139,-39.467417,"Arbustiva ca. 2m.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56643","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Fonseca, R.S.",2014,"","258","","Mayer, M.",2014,5,27,"Brazil","Ceará","Barbalha","congl. 366, sub. 4, árv. 7-RN.&nf;Solo profundo, rico em matéria orgânica, vegetação densa e bem conservada. Área de transição.",-7.380011,-39.420025,"Inventário Florestal Nacional - CE; Árvore, fruto verde.&nf;Dups RB.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","JBRJ","RB","RB01415429","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","R.S. Fonseca",2014,"","258","","M. Mayer",2014,5,27,"Brazil","Ceará","Barbalha","Conglomerado 366, subunidade 4, ndivíduo 7 RN.",-7.38,-39.42,,"Zanthoxylum gardneri Engl.","",,"GBIF"
"","USP","SPF","226344","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Pirani, JR",2017,"","2237","","Oliveira, ACP",2013,1,22,"Brazil","Pernambuco","Moreilândia","Serra do Gravatá.",-7.548931,-39.322125,,"Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","29436","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Groppo, M",2014,"","373","","Farias, MCV; Santos, E; Costa, AF; Saka, MN",2013,4,11,"Brazil","Sergipe","Riachão do Dantas","Fazenda de Zezé Rocha",-11.047111,-37.694056,"Arbusto 3m. Inflorescencia com botões verdes imaturos.; Mata de transição .","Zanthoxylum gardneri Engl.","",,"GBIF"
"","USP","SPF","217530","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Pirani, JR",2015,"","10587","","Almeida, BV",2013,9,30,"Brazil","Ceará","Crato","Chapada do Araripe, Malhada Bonita.",,,,"Zanthoxylum gardneri Engl.","",,"GBIF"
"","USP","SPF","217531","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Pirani, JR",2015,"","10589","","Almeida, BV",2013,9,30,"Brazil","Ceará","Crato","Chapada do Araripe, Malhada Bonita.",,,,"Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","51556","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Castro, A.S.F.",2012,"","2594","","Castro, A.S.F.",2012,1,10,"Brazil","Ceará","Viçosa do Ceará","Tanque, Substrato arenoso",,,"Arbusto; Carrasco/Mata","Zanthoxylum gardneri Engl.","",,"GBIF"
"","UFRPE","PEUFR","51470","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","T. C. SILVA",2012,"","98","","T. C. Silva; L. Z. O. Campos",2012,5,31,"Brazil","Ceará","Barbalha",,-45.264444,-92.43195,"Arbusto, aprox. 3m de altura com flores verdes.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","8560","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.",,,"","98","","Silva, T.C.; Campos, L.Z.O.",2012,5,22,"Brazil","Ceará","Barbalha","FLONA- Malhada Bonita",,,"Arbustiva ca. 3 m de altura; fruto marrom.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","UFRPE","PEUFR","51554","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","R.S. Sousa",,"","181","","R.S. Sousa; L.G.S. Nascimento",2012,8,24,"Brazil","Ceará","Barbalha",,-7.347222,-39.394444,"Árvore com aproximadamente 1,5m de altura e frutos secos e marrons.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","UEFS","HUEFS","219313","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.",,,"","92","","Corrêa, A.C.G.",2010,4,6,"Brazil","Bahia","Caetite","Brejinho das Ametistas.",-14.253611,-42.517778,"Cerrado rupestre.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","2960","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Pirani, J.R.",2009,"","HCDAL2960","","Silva, M.A.P.; et al.",2007,1,11,"Brazil","Ceará","Barbalha","Estrada Jardim-João marcolino",-7.394833,-39.36,"Arbusto ca. 70 cm de altura; fruto verde; solo arenoso.","Zanthoxylum gardneri Engl.","",,"GBIF"
"","IPA","IPA","80974","Zanthoxylum gardneri","","Rutaceae","Zanthoxylum","gardneri","","Engl.","Cano, O.",2008,"","08","","Lima, L.; Cabral, O.; Cabral, M.; Cabral, O.; Cabral, M.",2007,9,29,"Brazil","Piauí","Altos","FLONA de Palmares, trilha do Mirante.",-5.035,-42.585,"Árvore, pouco frequente. Medicinal.; Cerrado.","Zanthoxylum gardneri Engl.","",,"GBIF"
