"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Regional de Blumenau, FURB","FURB","62667","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Kassner-Filho, A.",2019,"","4762","","Kassner-Filho, A.",2019,2,9,"Brazil","Santa Catarina","São Joaquim","Fazenda Agropec. Fazenda Agropec.",-28.17,-50.130556,"Arbórea 14m; fruto imaturo","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","64577","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Kassner-Filho, A.",2018,"","4384","","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.",2018,12,17,"Brazil","Santa Catarina","Campo Belo do Sul","Rincão das Cachoeiras.",-27.990833,-50.758333,"Flor creme Habitat: Floresta ombrófila Mista;Estágio Avançado;Interior de unidade amostral Habito: Arbórea","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","UNIVILLE","JOI","18011","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Vieira, F.C.S.",2019,"","2428","","Vieira, F.C.S.",2018,12,15,"Brazil","Santa Catarina","Lages","Fazenda Monte Cristo.",,,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45577","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Oliveira, AA de",2015,"","1017","","Oliveira, A.A. de",2015,1,24,"Brazil","Santa Catarina","Capão Alto","km 14.",-27.900278,-50.399722,"Regeneração IFFSC 208 /S/35","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","USP","SPF","217562","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Pirani, JR",2015,"","3762","","Mello-Silva, R",2015,1,29,"Brazil","Santa Catarina","Lages","Salto Caveiras, Campo com capões de Podocarpus no alto e ao lado do salto do rio Caveiras.",-27.812083,-50.4835,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","UDESC","LUSC","7570","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Higuchi, P.",2013,"","38","","Souza,K.",2015,2,23,"Brazil","Santa Catarina","Capão Alto","Próximo a Divisa do Estado de SC e RS (Rio Pelotas).",,,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","JBRJ","RB","RB01128811","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Figueira, M.",,"","s","","Julkoski, D.",2015,2,24,"Brazil","Rio Grande do Sul","Vacaria","Conglomerado RS-188-4-5-25",-28.62,-50.94,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","UDESC","LUSC","7668","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Silva, A.C.",,"",,"","Larsen, J.G.",2015,2,21,"Brazil","Santa Catarina","Lages","Pedras Brancas.",,,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Estadual do Centro-Oeste","HUCO","7239","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman",,2014,"","s.n.","","Filho, E L P",2014,7,18,"Brazil","Paraná","Irati",,,,"Projeto serrapilhiera - Parcela 7, Arvore 9; Arbóreo; Floresta Ombrófila Mista; HABITAT: Floresta Ombrófila Mista; DESC: Arbóreo","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","IAP","PACA-AGP","115359","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","M.L. Paz, V. Graeff, M.F. Parode & V.R.P. da Silva",2014,"","11","","M. L. Paz",2014,9,23,"Brazil","Rs","Palmares do Sul","Fazenda Marcelina",-30.37045,-50.3447,"Habitat: Restinga","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150275","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","R. Asprino",,"","315","","Oliveira, N.E.",2014,9,9,"Brazil","Bahia","SANTA INÊS","Conglomerado BA_983-1-4-22",-13.320278,-39.780278,"<ll>dwc_commonname:</ll>","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","UCS","HUCS","42430","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Grings, M.",2014,"","1860","","Grings, M.",2014,12,8,"Brazil","Rio Grande do Sul","Caxias do Sul","Parque Cinquentenário",,,"árvore de 9 m de altua; flores amarelo-creme; em resquício de mata com araucária","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","MBM","MBM","408039","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Grings, M",2014,"","1860","","Grings, M",2014,12,8,"Brazil","Rio Grande do Sul","Caxias do Sul","Parque Cinquentenário",,,"Árvore de 9 m de altura; flores amarelo-creme.; Em resquício de mata com araucária.","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Estadual do Centro-Oeste","HUCO","7183","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman",,2013,"","s.n.","","Filho, E L P",2013,5,15,"Brazil","Paraná","Irati",,,,"Projeto serrapilhiera - Parcela 5, Arvore 11; Arbóreo; Floresta Ombrófila Mista; HABITAT: Floresta Ombrófila Mista; DESC: Arbóreo","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","MBM","MBM","389095","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Barboza, E",2014,"","8479","","Silva, JM",2013,11,28,"Brazil","Paraná","Curitiba","Jardim Botânico Municipal",-25.442222,-49.237222,"Árvore de 5m; flor creme.; Floresta Ombrófila Mista.","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","UFRGS","ICN","186137","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","Barboza, E",2014,"","8479","","Silva, JM; Martins, ML",2013,11,28,"Brazil","Pr","Curitiba","Jardim Botânico Municipal",,,"Árvore de 5m; flor creme.; Floresta ombrófila mista.","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","JBRJ","RB","RB00879496","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","E. Barboza",2014,"","5479","","J.M. Silva; M.L. Martins",2013,11,28,"Brazil","Paraná","Curitiba","Jardim Botânico Municipal.",-25.442222,-49.237222,"Árvore de 5m; flor creme","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","137050","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","E. Barboza",2014,"","8479","","J.M. Silva",2013,11,28,"Brazil","Paraná","Curitiba","Bruna",,,,"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","171470","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman",,2014,"","8479","","Silva, JM; Martins, ML",2013,11,28,"Brazil","Paraná","Curitiba","Jardim Botânico Municipal",-25.442222,-49.237222,"Árvore 5m; flor creme. Floresta ombrófila mista.","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","13445","Zanthoxylum kleinii","","Rutaceae","Zanthoxylum","kleinii","","(R.S.Cowan) P.G.Waterman","C.T. Blum",2013,"","1201","","C.T. Blum",2013,12,16,"Brazil","Pr","Curitiba","Capão do CIFLOMA",,,"árvore de 9 m. Flores de cor creme-esverdeadas.","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","",,"GBIF"
