"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UESC","UESC","18071","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.",,,"","1979","","Paixão, J.L.,",2014,2,8,"Brazil","Bahia","Uruçuca","Serra grande",-14.523333,-39.1575,"Mata Atlantica; Árvore, ca. De 6 m de altura.","Zanthoxylum nemorale Mart.","",,"GBIF"
"","UESC","UESC","18070","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.",,,"","1978","","Paixão, J.L.,",2014,2,8,"Brazil","Bahia","Uruçuca","Serra Grande",-14.523333,-39.1575,"Mata Atlantica.; Árvore, ca. De 6 m de altura.","Zanthoxylum nemorale Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151012","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","C. Pessoa",,"","631","","Oliveira, N.E.",2014,11,24,"Brazil","Bahia","ITAPEBÍ","Conglomerado BA_1367-4-6-30",-15.839722,-39.600556,"<ll>dwc_commonname:</ll>","Zanthoxylum nemorale Mart.","",,"GBIF"
"","UFRB","HURB","5824","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","J.R. Pirani",2014,"","2259","","Aona, L.Y.S.; Biggs, N.; Fonseca, W.O.; Lucas, E.; Simões, S.",2013,3,6,"Brazil","Bahia","Apuarema","Concessão da Rio Tinto;",-13.893333,-39.685833,,"Zanthoxylum nemorale Mart.","",,"GBIF"
"","UFRB","HURB","6123","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","J.Jardim",2016,"","2273","","Aona, L.Y.S.; Biggs, N.; Fonseca, W.O.; Lucas, E.; Simões, S.",2013,3,6,"Brazil","Bahia","Apuarema","Concessão da Rio Tinto;",-13.891944,-39.686389,,"Zanthoxylum nemorale Mart.","",,"GBIF"
"","UFRB","HURB","6279","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","J.Jardim",2016,"","RT15","","Rigueira, D.",2013,3,9,"Brazil","Bahia","Wenceslau Guimarães",,-13.566667,-39.713944,,"Zanthoxylum nemorale Mart.","",,"GBIF"
"","JBRJ","RB","RB00789016","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","J.R.PIRANI",,"","2259","","Aona, L.Y.S; et.al",2013,3,6,"Brazil",,"Indeterminado","Concessão da Rio Tinto. Floresta ombrófila densa ( mata atlântica) perturbada pela retirada de madeira..",-13.893333,-39.685833,"Árvore c. 7 m alt. c. 20 cm diâm; pétalas alvas, frutos verdes com tons arroxeados.","Zanthoxylum nemorale Mart.","",,"GBIF"
"","USP","SPF","225015","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","Pirani, JR",2016,"","2259","","Aona, LYS",2013,3,6,"Brazil","Bahia","Apuarema","Concessão do Rio Tinto.",-13.893333,-39.685833,,"Zanthoxylum nemorale Mart.","",,"GBIF"
"","UESC","UESC","16179","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.",,,"","1926","","Paixão, J.L.,",2013,5,25,"Brazil","Bahia","Uruçuca",,-14.340278,-39.034167,"Vegetação primaria; Árvore, ca. 5m de altura.; Material para estudos anatomicos, Projeto Ontogenese, Ultra estrutura e histoquimica das estutura secretoras foliares de Zanthoxylum nemorale.","Zanthoxylum nemorale Mart.","",,"GBIF"
"","UnB","UB","214726","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.",,,"","1926","","Paixão, JL; Macêdo, TP",2013,5,25,"Brazil","Bahia","Uruçuca","Parque Estadual da Serra do Conduru, trilha principal do parque",-14.340278,-39.034167,"Material para estudos anatomicos. Projeto Ontogênese, ultraestrutura e histoquímica das estruturas secretoras foliares de Zanthoxylum nemorale; Árvore, ca. 5m de altura. Folhas discolores, coriaceas, estéril; Vegetação primária","Zanthoxylum nemorale Mart.","",,"GBIF"
"","JBRJ","RB","RB00792542","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","J.R.Pirani",,"","1826","","Paixão, J.L; Larissa Rocha & Deni",2011,3,12,"Brazil","Bahia","Ilhéus","Ao Norte do Distrito de INEMA, Serra da Temerosa.",,,"Árvores, ca. 8 m alt. Folhas discolores brilhanetes. Frutos imaturos de cor verdes. Aroma acentuado.","Zanthoxylum nemorale Mart.","",,"GBIF"
"","USP","SPF","215902","Zanthoxylum nemorale","","Rutaceae","Zanthoxylum","nemorale","","Mart.","Pirani, JR",2015,"","754","","Perdiz, RO",2011,5,6,"Brazil","Bahia","Arataca",,-15.175,-39.352778,,"Zanthoxylum nemorale Mart.","",,"GBIF"
