"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01382383","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","C.Baez",,"","1405","","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,2,1,"Brazil","Rio de Janeiro","Valença","Mata de encosta após pasto da ""Fazenda da Concórdia"". Parque Estadual da Serra da Concórdia",-22.354444,-43.733889,"Árvore matriz nº 31; CAP 44 cm; Ramos rajados. Folhas verdes, discolores, pilosas com pontuações translúcidas. Acúleos piramidais na base do tronco. Flores em botão verdes.","Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","USP","SPF","221486","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","Pirani, JR",2012,"","6301","","Lorenzi, H",2007,6,27,"Brazil","Bahia","Ituberá","Coletado na estrada para Valença, próximo à entrada de Pratigi.",-13.640556,-39.115278,,"Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","MO","MO","100224920","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","J. Kallunki",2005,"","Fiaschi 1609","","Pedro Fiaschi",2003,9,18,"Brazil","Bahia",,"Estrada para Ibitupã. Ramal à esq., ca. km da saída da cidade. Acesso à Serra do Sete-Paus, ca. 7,5 km.",-14.768333,-39.696111,,"Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","USP","SPF","161667","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","Pirani, JR",2004,"","1609","","Fiaschi, P",2003,9,18,"Brazil","Bahia","Almadina","Estrada para Ibitupã. Ramal à esq., ca. km da saída da cidade. Acesso à Serra do Sete-Paus, ca. 7,5 km.",-14.768333,-39.696111,"Árvore ca. 8m alt. Folhas com folíolos fortemente discolores, face adaxial verde bem escuro. Frutos imaturos verdes.","Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","NY","NY","01068222","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","J. A. Kallunki",2005,"","1609","","P. Fiaschi",2003,9,18,"Brazil","Bahia",,"Estrada para Ibitupã. Ramal à esq. ca. km da saída da cidade. Acesso à Serra do Sete-Paus, ca. 7.5 km.",-14.7683,-39.6961,,"Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","JBRJ","RB","RB00809260","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","J.R. Pirani",2006,"","84","","M.L.C.V. Spolidoro; et al",2000,2,3,"Brazil","Rio de Janeiro","Valença","Distrito de Barão de Juparanã, Fazenda Santa Mônica.",-22.35,-43.716667,"Árvore prox. A parcela B10 para baixo com CAP=88cm e 12m de altura, tronco armado, flores diminutas alvas esverdeadas","Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","JBRJ","RB","RB00443179","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","José Rubens Pirani",1996,"","660","","C. Luchiari; et al",1995,6,22,"Brazil","Rio de Janeiro","Silva Jardim","Borda da mata do coronel Lovosier. Reserva Biológica de Poço das Antas",-22.5,-42.25,"Àrvore cerca de 5 metros de altura, heliófila. Folha discolor, face superior verde-escura, face inferior verde-clara. Frutos imaturos verdes. Ps: presença de sanhaço.","Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","NY","NY","687592","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","J. A. Kallunki",2005,"","6942","","W. W. Thomas",1991,7,1,"Brazil","Bahia",,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.",-14.4231,-39.0617,,"Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","9411","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","J. R. Pirani",,"","2188","","R. S. Pinheiro",1973,7,8,"Brazil","Bahia","ILHÉUS","Fazenda São José, Km 3 para Banco Central.",,,"<ll>dwc_commonname:</ll> Laranjeira-brava","Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
"","NY","NY","569054","Zanthoxylum retusum","","Rutaceae","Zanthoxylum","retusum","","(Albuq.) P.G.Waterman","C. R. Reynel",1995,"","2188","","R. S. Pinheiro",1973,7,8,"Brazil","Bahia",,"Ilhéus Fazenda Sao José km 3 para Banco Central.",,,,"Zanthoxylum retusum (Albuq.) P.G.Waterman","",,"GBIF"
