"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01416083","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",,"","1163","","Mario Gomes",2019,2,6,"Brazil","Rio de Janeiro","Saquarema","Parque Estadual Costa do Sol, Núcleo Massambaba; Restinga de Jacarepiá. Floresta de Restinga, segundo cordão arenoso; área em regeneração.",-22.925278,-42.459167,"Escandente; ramos pálidos; folhas subcoriáceas discolores; frutos imaturos verdes, maduros marrom-escuros. Semi-heliófilo, pouco comum no local.","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01416088","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","Mario Gomes",,"","1168","","Mario Gomes",2019,2,6,"Brazil","Rio de Janeiro","Saquarema","Parque Estadual Costa do Sol, Núcleo Massambaba; Restinga de Jacarepiá. Floresta de Restinga, segundo cordão arenoso; área em regeneração.",-22.925556,-42.452222,"Copa estratificada; ramos marrom vinosos; folhas coriáceas subconcolores; botões florais verde-amarelados; frutos imaturos verdes com manchas vinosas, passando a totalmente vinosos na maturação. Heliófila, ocasional.","Casearia oblongifolia Cambess.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","18664","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","Souza, I.",2019,"","615","","Souza, I.",2019,9,30,"Brazil","Rio de Janeiro","Rio das Ostras","Morro São João",-22.525566,-42.01687,"Arbusto 2 m, espinescente, botões verdes, flores verde-claro, filetes alvos e anteras amarelas, glândula diminuta no ápice dos estames, folhas coriáceas, com dentes diminutos, pontuações e traços translúcidos no limbo.","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01408197","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",,"",,"","Herick B. M. Viana; M.A Faitanin, Nilson B. Neves Neto",2018,4,29,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","EEEG. Na Parcela 4 PPBio, indivíduo nº 51. Floresta estacional Semidecidual sobre tabuleiros.",-21.385555,-41.085,"Árvore  6 m, DAP 10,4 cm. Ramos curvos, presença de espinhos, coletada com frutos amarelos.","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01237717","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","D.N. da Silva Machado",2016,"","805","","D.N.S. Machado; G.A. de Queiroz",2016,1,31,"Brazil","Rio de Janeiro","Rio Bonito","Serra do Sambe, estrada acima da Cachoeira dos Bagres.",-22.684722,-42.657778,,"Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01313857","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",,"","329","","K.S. Valdemarin; T.B. Flores &  T. Maia",2016,12,10,"Brazil","Espírito Santo","Linhares","Estrada do Roxinho, região central. Coordenadas: -19.155949S; -40.061003N",,,"Arvoreta 1 metro de altura. Flores brancas","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01134783","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",,"","535","","D.N.S. Machado; et al",2015,4,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Maricá e Saquarema, Serra do Camburi, Rampa de Voo Norte, acesso pela Rodovia RJ 106, km 24, Estrada do Retiro",-22.870278,-42.632222,,"Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01094246","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",2016,"","892","","Luis Gustavo C. Rigon",2015,10,28,"Brazil","Rio de Janeiro","Mendes","Conglomerado 80-2-5-45. UTM do Ponto Central: E (629006m) N (7511284m). Fuso do GPS (23K).",,,"Árvore, com 14,0 m de altura. Base reta. Casca interna amarela e externa amarela, grossa, fissurada, indeiscente, com odor fétido ao ser cortada. Fruto imaturo, com 0,6 cm, internamente e externamente preto, carnoso, com arílo","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01094233","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",2016,"","872","","Luan, Silva",2015,10,21,"Brazil","Rio de Janeiro","Barra Mansa","Conglomerado 61-2-10-62. UTM do Ponto Central: E (574009m) N (7501691m). Fuso do GPS (23K).",,,"Árvore, com 8 m de altura. Casca interna marrom claro e externa marrom, fina, áspera. Fruto, imaturo, com 0,5 cm, de formato esférico, verde, carnoso, com polpa","Casearia oblongifolia Cambess.","",,"GBIF"
"","JBRJ","RB","RB01094247","Casearia oblongifolia","","Salicaceae","Casearia","oblongifolia","","Cambess.","R. Marquete",2016,"","949","","Luis Gustavo C. Rigon",2015,10,30,"Brazil","Rio de Janeiro","Vassouras","Conglomerado 81-2-10-73. UTM do Ponto Central: E (68123m) N (7511118m). Fuso do GPS (23K).",,,"Árvore, com 6,5 m de altura. Base reta. Casca interna amarela e externa amarela, fina, estriada, indeiscente, não apresentando odor ao ser cortada. Botão floral verde","Casearia oblongifolia Cambess.","",,"GBIF"
