"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","139067","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.",,,"","2579","","Colletta, G.D",2016,3,23,"Brazil","Sp","Assis","Estação Ecológica de Assis. Cerrado.",,,"Árvore, 6m, estéril","Cupania tenuivalvis Radlk.","",,"GBIF"
"","FZB-BH","BHZB","11594","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.",,,"","1504","","Silva,L.V.C.",2016,6,15,"Brazil","Mg","Confins","Sítio Aeroportuário de Confins",-19.611389,-43.97,"com duplicata, <ll>dwc_commonname:</ll> Camboatá-de-folha-miúda","Cupania tenuivalvis Radlk.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4844","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.","Moreira, SN",2016,"","2086","","Moreira, SN; Pereira, E",2016,8,18,"Brazil","Minas Gerais","Conceição do Mato Dentro",,-18.904722,-43.4275,,"Cupania tenuivalvis Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","137097","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.",,,"","2276","","Colletta, G. D",2015,11,10,"Brazil","São Paulo","Gália","Estação Ecológica de Caetetus, trilha do Lago",,,"Árvore, 6m (estéril)","Cupania tenuivalvis Radlk.","",,"GBIF"
"",,,,"Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.",,,"",,"","R.A.F. Lima & M.C. Vaz",2014,2,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Estacao Ecologica de Assis, Assis county, Sao Paulo State",-22.6,-50.38,,"Cupania tenuivalvis Radlk.","",,"GBIF"
"",,,,"Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.",,,"",,"","R.A.F. Lima & M.C. Vaz",2014,2,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Estacao Ecologica de Assis, Assis county, Sao Paulo State",-22.6,-50.38,,"Cupania tenuivalvis Radlk.","",,"GBIF"
"","JBRJ","RB","RB00981548","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.","G.D. Colletta",2014,"","1574","","G.D. Colletta et. al.;",2014,5,20,"Brazil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo.",,,"Árvore","Cupania tenuivalvis Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","129158","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.","Colletta, G.D. & Flores, T.B.",2014,"","1574","","Colletta, G.D.",2014,5,20,"Brazil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo",,,"Árvore","Cupania tenuivalvis Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","129829","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.","Souza, V.C.",2014,"","38380","","Souza, V.C.",2014,5,25,"Brazil","São Paulo","Itaberá","4 km de Itaberá em direção a Itapeva. Floresta Estacional Semidecidual.",,,"Árvore, ca. 4 m alt. Vegetativo.","Cupania tenuivalvis Radlk.","",,"GBIF"
"","UEM","HUEM","26212","Cupania tenuivalvis","","Sapindaceae","Cupania","tenuivalvis","","Radlk.","Rosado",2016,"","3461","","Romagnolo, M.B.",2013,5,21,"Brazil","Paraná","Diamante do Norte","Estação Ecológica do Caiuá, margem da rodovia., Floresta Estacional Semidecidual",-22.603889,-52.879444,"Arbórea, com cerca de 3m de altura. Botões de coloração verde clara.","Cupania tenuivalvis Radlk.","",,"GBIF"
