"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","197054","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,,"","6774","","Rezende, SG; Justo, AG",2018,2,19,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.106944,-43.685278,"Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Matayba mollis Radlk.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197053","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,,"","6773","","Rezende, SG; Justo, AG",2018,2,19,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.106944,-43.685278,"Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Matayba mollis Radlk.","",,"GBIF"
"","US","Botany","3692681","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,"","18164","","G. Martinelli, E. Martins, N. Pougy, D. Maurenza & M. Verdi",2014,2,11,"Brazil","Minas Gerais",,"Diamantina. Estrada Diamantina-São Gonçalo das Pedras",-18.3136,-43.5544,,"Matayba mollis Radlk.","",,"GBIF"
"","JBRJ","RB","RB01091322","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.","I. Akemi-Borges",2015,"","11","","I. Akemi-Borges; I.S. Seto; G.M. Antar; C. Farhat",2014,12,19,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó.",-19.3475,-43.617778,"Árvore ca. 1,4m alt. Folhas verde-claras. Cálice verde-claro. Corola, estames e gineceu brancos","Matayba mollis Radlk.","",,"GBIF"
"","USP","SPF","219202","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.","Akemi-Borges, I",,"","11","","Akemi-Borges, I",2014,12,19,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó",-19.347694,-43.630278,"Árvore ca. 1,4 m alt. Folhas verde-claras. Cálice verde-claro. Corola, estames e gineceu brancos.","Matayba mollis Radlk.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","199429","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,2015,"","11","","Akemi-Borges, I; Seto, IS; Farhat, C; Antar, GM",2014,12,19,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó",-19.347694,-43.618028,"Árvore ca. 1,m de altura. Folhas verde-claras. Cálice verde-claro. Corola, estames e gineceu brancos","Matayba mollis Radlk.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","5916","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,,"","751","","Santos, LAG; Otoni, TJO; Machado, ELM",2012,9,,"Brazil","Minas Gerais","Dom Joaquim","Zona Rural",-19.0025,-43.194167,,"Matayba mollis Radlk.","",,"GBIF"
"","UNICAMP","UEC","167915","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,,"","423","","Coelho, R; Zoca, M",2011,3,,"Brazil","Minas Gerais","Diamantina","Beira da estrada para Milho-Verde.",,,"Arbusto de 2 m de altura com frutos marrons.","Matayba mollis Radlk.","",,"GBIF"
"","US","Botany","3682862","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.",,,"","423","","R. Coelho & M. Zoca",2011,3,,"Brazil","Minas Gerais",,"Diamantina, Beira da estrada para Milho-Verde",,,,"Matayba mollis Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","114516","Matayba mollis","","Sapindaceae","Matayba","mollis","","Radlk.","Coelho, R.L.G.",2014,"","423","","Coelho, R.",2011,3,,"Brazil","Minas Gerais","Diamantina",,,,,"Matayba mollis Radlk.","",,"GBIF"
