"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Jardim Botânico de Brasília","HEPH","34903","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","Viana, RHO; Vodonis, SF",2018,"","10","","Vodonis, SF",2018,2,20,"Brazil","Tocantins","Porto Nacional","Área de Proteção Ambiental Lago de Palmas, próximo ao reservatório da Hidrelétrica Luís Eduardo Magalhães, estrada para Barrolândia.",-10.099222,-48.418639,"HTO 12042; Árvore aprox. 4 m com flores.; Carrasco, Domínio Cerrado.","Toulicia crassifolia Radlk.","",,"GBIF"
"","UFMT","UFMT","43895","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.",,,"","2319","","Antar, G.M.",2018,7,20,"Brazil","Mato Grosso","Diamantino","BR-364. Rodovia Diamantino-Nova Marilândia. Com aproximadamente 22 km de Nova Marilândia.",-14.1825,-57.181944,"Arbusto ca. 1,5 m alt. Perianto alvo.; Domínio do Cerrado. Campo cerrado. Solo arenoso seco.","Toulicia crassifolia Radlk.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133778","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","Guedes, ML",2018,"","30732","","Guedes, ML; Lopes, EB; Araújo, FS",2018,9,1,"Brazil","Bahia","Correntina","Oeste, Ponto 01.",-12.014167,-37.716389,"Folhas com folíolos cartáceos. Inflorescência com flores cremes.","Toulicia crassifolia Radlk.","",,"GBIF"
"","JBRJ","RB","RB01409409","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","M.F. Simon",,"","3510","","M.F. Simon; A. Amaral-Santos, F.A. de Souza, J.C.O. Santana, M.S. Martins, R.O. de Aguiar, W.B. Silva",2018,10,5,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantins, 14 km W do acampamento da Vila dos Prazeres.",-10.773333,-46.198333,"Arbusto 2 m, delgado. Frutos ao longo de um pendão, 1 m. Frutos imaturos verde-claro.","Toulicia crassifolia Radlk.","",,"GBIF"
"","Cenargen","CEN","108931","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","M. Simon",2018,"","3510","","Marcelo Fragomeni Simon",2018,10,5,"Brazil","Ba","FORMOSA DO RIO PRETO","ESEC Serra Geral do Tocantins, 14 km W do acampamento da Vila dos Prazeres.",-10.773333,-46.198333,"Arbusto 2 m, delgado. Frutos ao longo de pendão, 1 m. Frutos imaturos verde-claro.","Toulicia crassifolia Radlk.","",,"GBIF"
"","UNITINS","HUTO","7579","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.",,,"","3510","","Simon, M.F.",2018,10,5,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantins, 14 km W do acampamento da Vila dos Prazeres.",-10.773333,-46.198333,"Arbusto 2 m, delgado. Frutos ao longo de pendão, 1 m. Frutos imaturos verde-claro.; Cerrado sensu stricto","Toulicia crassifolia Radlk.","",,"GBIF"
"","UEFS","HUEFS","251677","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.",,,"","3510","","Simon, M.F.",2018,10,5,"Brazil","Tocantins","Mateiros","ESEC Serra Geral do Tocantis, 14 Km W do acampamento da Vila dos Prazeres.",-10.773333,-46.198333,"Cerrado sensu stricto.","Toulicia crassifolia Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","140100","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","Souza, V.C.",2017,"","40960","","Souza, V.C.",2017,7,22,"Brazil","Bahia","Correntina","Estrada para Barreiras, cerca de 5 km de Correntina. Cerrado com solo arenoso.",,,"Arbusto a arvoreta esguia, até 3 m alt.; flores creme.","Toulicia crassifolia Radlk.","",,"GBIF"
"","Cenargen","CEN","92645","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","G. M. Antar",,"","465","","Guilherme de M. Antar",2014,9,17,"Brazil","To","MATEIROS","Parque Estadual do Jalapão. Próximo à sede de parque.",-10.573055,-46.504722,"Cállice esverdeado, corola creme. Doação Universidade de São Paulo - Herbário SPF.","Toulicia crassifolia Radlk.","",,"GBIF"
"","USP","SPF","220892","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","Silva, MA",2018,"","465","","Antar, GM",2014,9,17,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão",-10.573169,-46.504781,,"Toulicia crassifolia Radlk.","",,"GBIF"
"","USP","SPF","220893","Toulicia crassifolia","","Sapindaceae","Toulicia","crassifolia","","Radlk.","Antar, GM",2014,"","526","","Antar, GM",2014,9,20,"Brazil","Tocantins","Mateiros","Parque Estadual do Jalapão",-10.331944,-46.625278,,"Toulicia crassifolia Radlk.","",,"GBIF"
