"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01077930","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","J.A.M. Melo; L.C.F. Rocha et A.B. Silva",,"",,"","L. Sardelli; V.F. Oliveira; R.S. Thomé & J.A. Silva",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate da FLORA da UHE Colíder. Beira da estrada indo para o lote B de supressão.",,,"Altura 1,5m. CAP 72cm. Arbusto, base reto, tronco reto, casca áspera, casca morta marrom. Folhas compostas. Frutos secos, maduros cinza e alongados","Toulicia subsquamulata Radlk.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","24793","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","J.A.M. Melo et al.",2015,"",,"","L. Sardelli",2014,9,18,"Brazil","Mt","Colider","Resgate de FLORA da UHE Colider, Beira",-10.866389,-55.479167,"Floresta do ""Planalto dos Parecis"", região de ecótono entre a Floresta Amazônica e Cerrado. Solo seco. Altura 1,5 m. CAP: 72 cm. Arbusto, base reta, tronco reto, casca áspera, casca morta marrom. Folhas compostas. Frutos secos, maduros cinza e alongados.","Toulicia subsquamulata Radlk.","",,"GBIF"
"","MBM","MBM","403956","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","et al.; Melo, JAM",2015,"","s.n.","","Sardelli, L",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate de Flora da UHE Colíder, Beira da estrada indo para o Lote B de supressão.",-10.866389,-55.479167,"Arbusto, base reta, tronco reto, casca áspera, casca morta marrom. Folhas compostas. Frutos secos, maduros cinza e alongados.; Floresta do ""Planalto dos Parecis"", região de ecótono entre a Floresta Amazônica e Cerrado. Solo seco.","Toulicia subsquamulata Radlk.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","1588","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","Melo, J.A.M.; Ferneda Rocha, L.C.;Silva, A.B.",2015,"",,"","Sardelli, L.F.; Oliveira, V.F.; Thomé, R.S.;Silva, J.A.",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote G deSupressão.",-10.866389,-55.479167,"Base reto, tronco reto, casca áspera, casca morta marrom. Folhas compostas. FrutosSecos, maduros cinza e alongados. Doação Resgate de FLORA da UHE Colíder - COPEL - Herbário n°867","Toulicia subsquamulata Radlk.","",,"GBIF"
"","UNEMAT","HERBAM","15358","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","Melo, JAM; Fer",2015,"","867EquipeCopel8","","Sardelli, L.F.; Oliveira, V.F.; Thomé, R.S. & Silva, J.A.",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Beira da estrada",,,,"Toulicia subsquamulata Radlk.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","10883","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.",,,"",,"","G.F. Soares",2009,8,19,"Brazil","Mt","Nova Marilândia","Estrada da Pompéia - Km 11.",-14.302333,-56.051722,"arbusto de 4,5 m de altura. Inflorescência com botões florais verde-amarelados; flores cremes. Vegetação secundária em regeneração. Área ocupada por pastagem (Doação UFMT: 21044).","Toulicia subsquamulata Radlk.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","60167","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.",,,"","2964","","Stehmann, JR; Spósito, TC; Mota, RC da; Barros, A",2001,5,28,"Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, estrada da Ponte Queimada, área em frente à Campolina",,,"Árvore, 20m de altura; frutos verdes","Toulicia subsquamulata Radlk.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","78529","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.",,,"","2964","","Stehmann, J.R. et al.",2001,5,28,"Brazil","Minas Gerais","Marliéria",,,,,"Toulicia subsquamulata Radlk.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","7754","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","M.S. Ferrucci",2005,"","1844","","E.R. Salviani",2000,11,22,"Brazil","Es","Itarana","Coletado nas proximidades do município de Itarana.",,,,"Toulicia subsquamulata Radlk.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","7755","Toulicia subsquamulata","","Sapindaceae","Toulicia","subsquamulata","","Radlk.","M.S. Ferrucci",2005,"","129","","E.R. Salviani",1998,7,21,"Brazil","Es","Itarana","Coletado no caminho de Santa Tereza-Itarana.",,,,"Toulicia subsquamulata Radlk.","",,"GBIF"
