"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","44884","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Pereira, O.J.",2019,"","1299","","Firmino, A.D.; Gudin, G.; Penha, J.; Pereira, O.J.",2019,8,20,"Brazil","Espírito Santo","Linhares","Cacimbas, ponto de amostragem 6.",-19.478333,-39.739444,,"Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","JBRJ","RB","RB01402717","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","M.F. Devecchi",2017,"","475","","M.F. Devecchi; J.R. Pirani",2017,7,20,"Brazil","São Paulo","São Bernardo do Campo","Instituto Ecodan, estrada da água limpa nº 910, curucutu.",-23.839722,-46.623056,"Árvore. Planta iniciando a produção de novas folhas. Frutos passados amarelos.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215955","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","175","","Devecchi, MF",2013,6,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Estrada Flamengo, a 150 m de distância do prédio do herbário, ao lado do estacionamento, na margem direita da estrada.",-19.160278,-40.084167,"Árvore ca. 13 m alt. Copa a ca. 3 m alt. Folhas discolores. Inflorescência jovem com botões florais, cálice verde e pétalas verde-alvas.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215948","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","184","","Devecchi, MF",2013,7,10,"Brazil","Espírito Santo","Governador Lindenberg","Morelo. Propriedade do Sr. Fernando Nicolli. Na borda do remanescente de mata ao lado da cultura de café.",-19.148083,-40.457417,"Árvore, 20 m alt. Folhas discolores. Inflorescências com pedúnculo e raque verdes, flores com sépalas e pétalas variando de verde claro a amarelo pálido.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215949","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","191","","Devecchi, MF",2013,7,12,"Brazil","Espírito Santo","Pinheiros","Patrimônio de Nova Lima, em direção a Pinheiros. Na margem direita da ES 313, propriedade do Sr. João Madruga.",-18.507111,-40.00525,"Árvore 12 m alt. Folhas discolores. Inflorescência com pedúnculo e raque verdes. Flores e botões verde pálido a amarelo pálido. Planta atraindo grande número e diversidade de polinizadores.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215954","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","193","","Devecchi, MF",2013,7,12,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica do Córrego do Veado, Aceiro saindo da sede da reserva, ca. 1,5 km. Com pastagem na propriedade vizinha. Na margem do leito do córrego temporário.",-18.345639,-40.137194,"Árvore ca. 9 m alt. Folhas discolores. Estéril.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215950","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","189","","Devecchi, MF",2013,7,11,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Estrada Peroba Osso.",-19.227028,-40.486389,"Árvore, ca. 15 m alt. Folhas discolores, Inflorescência com pedúnculo e raque verdes, botões florais e flores verde-pálido.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","USP","SPF","215957","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","Devecchi, MF",2017,"","197","","Devecchi, MF",2013,7,13,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Inicio da estrada Flamengo, logo após o prédio do herbário a cerca de 300 m do estacionamento para ônibus.",-19.160278,-40.084167,"Árvore ca. 10 m alt. Folhas discolores. Flores com sépalas e pétalas amarelo-alvas.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","JBRJ","RB","RB01402697","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","M.F.Devecchi",2017,"","191","","M.F.Devecchi; G.G.N.Alves, D.G.A.Costa e E.G.A.Martins",2013,7,12,"Brazil","Espírito Santo","Pinheiros","Patrimônio de Nova Lima em direção a Pinheiros. Na margem direita da ES-313 na propriedade do Sr. João Madruga.",-18.506944,-40.005,"Árvore com 12 m de altura com folhas discolores. Inflorescência com pedúnculo e raque verdes. Flores e botões verde pálido a amarelo pálido. Planta atraindo grande número e diversidade de polinizadores.","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
"","JBRJ","RB","RB01403903","Homalolepis cuneata","","Simaroubaceae","Homalolepis","cuneata","","(A.St.-Hil. & Tul.) Devecchi & Pirani","G.G.N.Alves",2017,"","16","","G.G.N.Alves; D.G.Almeida-Costa, M.F.Devecchi e E.G.A.Martins",2013,7,12,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Contorno da Reserva e passagem a ca. 30 m da ponte Córrego da água limpa. Lado leste da Reserva.",-18.367778,-40.138333,,"Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","",,"GBIF"
