"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNITINS","HUTO","7222","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani",,,"","2210","","Roque, A.A.",2018,2,7,"Brazil","Rio Grande do Norte","Tibau do Sul","Parque Estadual Mata de Pipa. Caminho do Galhardo",-6.413889,-35.101389,"Árvore com cerca de 2 m de altura. Folíolos verde-claros. Frutos maduros amarronzados.; Mata Atlântica.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","JBRJ","RB","RB01405473","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","D. P. Souza",,"","261","","D. P. Souza; J. R. Silva",2018,9,13,"Brazil","Pernambuco","Arcoverde","Sítio Periperi",-8.444167,-36.971944,,"Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","UEFS","HUEFS","249437","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani",,,"","261","","Souza, D.P.",2018,9,12,"Brazil","Pernambuco","Arco Verde","Sítio Periperi.",-8.444167,-36.972222,"Caatinga; Nativa; Savana Estépica; Neossolo Litólico Eutrófico.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133814","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","Guedes, ML",2018,"","30768","","Guedes, ML; Lopes, EB; Araújo, FS",2018,9,1,"Brazil","Bahia","Correntina","Oeste, 35 km de Correntina sentido Brasília.",-12,-37,"Folhas com folíolos coriáceos. Inflorescência com flores em botões.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133774","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","Guedes, ML",2018,"","30728","","Guedes, ML; Lopes, EB; Araújo, FS",2018,9,1,"Brazil","Bahia","Correntina","Oeste, Ponto 01.",-12.014167,-37.716389,"Folhas fortemente discolores. Flores com cálice verde-oliva e pétalas cremes.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","JBRJ","RB","RB01417535","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","A.P. Fontana",2018,"","10148","","A.P. Fontana; J.M. Santos",2018,10,9,"Brazil","Pernambuco","Buíque","Catimbal, Vale do Catimbal, sítio Igrejinha.",-8.493889,-37.251389,,"Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","127483","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","Sousa, TS",2017,"","46","","Sousa, TS; Barberena, FFVA",2017,1,17,"Brazil","Bahia","Mata de São João","Parque natural municipal da restinga de Praia do forte",-12.571667,-38.007222,"Arbusto, ca. 1,5m; Forófito de Brassavola tuberculata Hook. Datum: WGS-84.; Restinga arbórea","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128632","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","Guedes, ML",2017,"","25873","","Guedes, ML; Alunos de Botânica BIOC05",2017,8,11,"Brazil","Bahia","Brotas de Macaúbas","Estrada para pé do Morro.",-12.866667,-43.15,"Folhas pinadas, pinas discolores, face abaxial tomentosa . Inflorescência vilosa, botões e flores cremes.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128673","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","Guedes, ML",2017,"","25914","","Guedes, ML; Alunos de Botânica BIOC05",2017,8,11,"Brazil","Bahia","Ipupiara","Caminho para Pintadas. Cultivada.",-11.816667,-43.133333,"Folhas compostas, pinas discolores com a face abaxial e ramos vilosos. Inflorescência com botões cremes.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
"","Cenargen","CEN","106605","Homalolepis ferruginea","","Simaroubaceae","Homalolepis","ferruginea","","(A.St.-Hil.) Devecchi & Pirani","E. B. A. Dias",,"","419","","Rômullo Quirino de Souza Ferreira",2017,8,12,"Brazil","To","LIZARDA","Conglomerado: TO-296. Coleta extra.",,,"Inventário Florestal Nacional (IFN). Árvore com 7,9 m de altura e 12,6 cm de DAP. Base reta. Fuste de casca externa fina, do tipo lisa, cor cinza, casca interna vermelha.","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","",,"GBIF"
