"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","250019","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.",,,"","167","","Martins, K.",2018,9,26,"Brazil","Bahia","Itacaré","Trilha Jeribucaçu.",,,,"Siparuna cymosa Tolm.","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22579","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","A.M.Miranda",2018,"","167","","K. Martins",2018,9,26,"Brazil","Bahia","Itacaré","trilha Jeribucaçu",,,"Árvore ca. 7 m alt.; folhas membranáceas; botões florais amarelos esverdeados; madeira branca, sem muito uso. Frequência regular. (material banhado no álcool)","Siparuna cymosa Tolm.","",,"GBIF"
"","JBRJ","RB","RB01318525","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","A.L.Peixoto",,"","Equipe 10-241","","S.A. Antoniazzi; M. Silva; C. Anderção; J.A. Silva",2015,2,9,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote B de supressão",,,,"Siparuna cymosa Tolm.","",,"GBIF"
"","UFRB","HURB","14563","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.",,,"","398","","Victor Jr., V.",2013,1,9,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Siparuna cymosa Tolm.","",,"GBIF"
"","JBRJ","RB","RB01000767","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","Mattos et Paixão",,"","1972","","J.L. PaixÃ£o; R.A. de Oliveira",2012,1,20,"Brazil","Bahia","Una","Entrada da REBIO - Una indo para a esquerda. Entrada no Km 46 da Rod. BA 001 Ilhéus-Una.",-15.15,-39.083333,"Árvore, ca. 8m de alt. Folhas discolores. Material estéril","Siparuna cymosa Tolm.","",,"GBIF"
"","IMA","MAC","52260","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","E.C.O.Chagas",2011,"","10547","","Chagas-Mota",2011,3,24,"Brazil","Alagoas","Flexeiras","Estação Ecológica de Murici, Fazenda Triunfo.",-9.227494,-35.857983,"Árvore ca. 6 m de altura. Frutos verdes.; Mata Atlântica.","Siparuna cymosa Tolm.","",,"GBIF"
"","UEFS","HUEFS","188928","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.",,,"","3247","","Matos, E.N.de",2011,10,12,"Brazil","Bahia","Maraú","João Branco",-14.08,-38.9775,"Restinga. Floresta.","Siparuna cymosa Tolm.","",,"GBIF"
"","JBRJ","RB","RB00571546","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","Ariane Luna Peixoto",2010,"","14949","","P. Acevedo-Rdgz; R. Goldenberg, F. Michelangeli, F. Obermuller, C.E. de Oliveira & H. Medeiros",2009,2,11,"Brazil","Acre","Jordão","Along Taruaca river.",-8.898611,-71.613333,"Shyrb 2-5 m tall; fruits green to reddish.","Siparuna cymosa Tolm.","",,"GBIF"
"","JBRJ","RB","RB00590855","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","Ariane Luna Peixoto",2010,"","14949","","P. Acevedo-Rodriguez; R. Goldenberg, F. Michelangeli, F. Obermuller, C.E. de OLiveira & H. Medeira",2009,2,11,"Brazil","Acre","Jordão","Along Tarauaca river.",-8.680556,-71.600556,"Shrub 2-5 meter of tall; fruits green to reddish, Specimen preserved in 70% ethanol berofe drying","Siparuna cymosa Tolm.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","28931","Siparuna cymosa","","Siparunaceae","Siparuna","cymosa","","Tolm.","A. L. Peixoto",,"","1429","","L. A. Mattos-Silva",2008,1,6,"Brazil","Bahia","ILHÉUS","Fazenda Barra do Manguinho. Ramal com entrada no Km 10 da Rod. Pontal/Olivença, à direita. 3Km a Oeste da Rod.",,,,"Siparuna cymosa Tolm.","",,"GBIF"
