"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01174543","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","M. G. Bovini",,"","19308","","G.Martinelli; P.Rosa, D.Maurenza",2016,8,9,"Brazil","Rio de Janeiro","Silva Jardim","Serra dos Pirineus, próximo da divisa com Município de Nova Friburgo, picada para o vale do Paiá. mata atlantica de altitude com afloramentos rochosos. APA de Macaé de Cima",-22.441111,-42.509444,"arbusto, 1,70m, ciófila; folhas verdes, discolors; flores com calice verde, corola alvacenta.","Cestrum corcovadense Miers","",,"GBIF"
"","US","Botany","3713967","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","Bovini, M. G.",,"","19308","","G. Martinelli, P. Rosa & D. Maurenza",2016,8,9,"Brazil","Rio de Janeiro",,"Silva Jardim. Area de Protecao Ambiental de Macae de Cima. Serra dos Pirineus, proximo da divisa com Municipio de Nova Friburgo, picada para o vale do Paia.",-22.4411,-42.5094,,"Cestrum corcovadense Miers","",,"GBIF"
"","JBRJ","RB","RB01028387","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers",,,"","62","","Francisco García Gonzálvez",2015,8,7,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos.",0,0,,"Cestrum corcovadense Miers","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","158575","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers",,,"","1828","","Giacomin, LL; Bohs, LA; Gouvêa, YF",2012,6,2,"Brazil","Rio de Janeiro","Santa Maria Madalena","Estrada de subida para o Mirante da Torre (morro d, fragmento de floresta ombrófila densa secundária às margem de estrada não pavimentada",-21.978278,-42.0355,"Arbusto, 3 m, crescendo à sombra. Flores com sépalas verdes e pétalas alvas.","Cestrum corcovadense Miers","",,"GBIF"
"","JBRJ","RB","RB00753113","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers",,,"","1828","","L.L. Giacomin; L. Bohs; Y.F. Gouvêa",2012,6,2,"Brazil","Rio de Janeiro","Santa Maria Madalena","Estrada de subida para o Mirante da Torre (morro da antena).",-21.978333,-42.035555,"Arbusto, 3m, crescendo à somvra. Flores com sépalas verdes e pétalas alvas","Cestrum corcovadense Miers","",,"GBIF"
"","NY","NY","1801846","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","M. H. Nee",2013,"","1828","","L. L. Giacomin",2012,6,2,"Brazil","Rio de Janeiro",,"Estrada de subida para o Mirante da Torre (morro da antena).",-21.9783,-42.0356,,"Cestrum corcovadense Miers","",,"GBIF"
"","JBRJ","RB","RB00725432","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","B.C. Bandeira",,"","125","","B.C. Bandeira; J.F.A. Baumgratz, M. Nadruz & M.C Souza",2012,10,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Santa  Maria  Madalena.  Ribeirão  Vermelho,  Terras  Frias,  Trilha  para  a  Barragem.",,,"Arvoreta ciófila, 2m alt., folhas membranáceas discolores, frutos imaturos verdes, arroxeados e negros quando maduros.","Cestrum corcovadense Miers","",,"GBIF"
"","UFPR","UPCB","80531","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","Stchmann J. R.",2011,"","8570","","Lombardi, J.A.",2011,7,12,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, estrada da Barragem e pela Trilha Suspensa até a barragem, 951-1191m.",-22.449,-42.989,"Amostra em sílica. Mata atlântica. Arbusto ca. 2m, folhas papiráceas, brácteas verdes, cálice e corola creme de ápice amarelo, aromáticas..","Cestrum corcovadense Miers","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","153795","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers",,,"","8570","","Lombardi, JA; Saka, MN; Temponi, LG; Cardozo, AP",2011,7,12,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Estrada da Barragem e pela Trilha Suspensa até a barragem",-22.449306,-42.989583,"Mata Atlântica. Arbusto, ca. 2m. Folhas papiráceas. Brácteas verdes. Cálice e corola creme de ápice amarelo, aromáticas. Duplicata: 2. Amostra em sílica. Coordenadas aproximadas: 22°26'57,5''-27'04,6''S, 42°59'22,5''-43°00'03''W. Taxonomia de Campo","Cestrum corcovadense Miers","",,"GBIF"
"","UFPR","UPCB","76371","Cestrum corcovadense","","Solanaceae","Cestrum","corcovadense","","Miers","Stehmann, J.R.",2016,"","1196","","Goldenberg, R.",2008,7,20,"Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha do Rio Manso. Floresta Ombrófila Densa Altomontana.",,,"Arbusto 3m, à sombra. Flores com corola creme..","Cestrum corcovadense Miers","",,"GBIF"
