"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01057691","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","D. C. Kutschenko",2015,"","746","","Luis Gustavo C. Rigon",2015,10,15,"Brazil","Rio de Janeiro","Teresópolis","Conglomerado 67-3-10-5-RN. UTM do Ponto Central: E (703946m) N (7530416m0. Fuso do GPS (23K).",,,"Subarbusto, com 1,70 metros de altura. Fruto imaturo, com 1,0 -0,5 centímetros, oval, internamente e externamente roxo, carnoso, com polpa.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","MBM","MBM","405110","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Kutschenko, DC",2015,"","746","","Rigon, LGC",2015,10,15,"Brazil","Rio de Janeiro","Teresópolis","Conglomerado 67-3-10-5-RN",-22.32,-43.02,"Subarbusto, com 1,7 m de altura. Fruto imaturo, com 1,0-0,5 cm, oval. Internamente e externamente roso, carnoso, com polpa.; Solo rochoso de cor escuro, no extrato inferior. Em Floresta Estacional Semidecidual.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","UFES","VIES","21790","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Giacomin, L.",,"","688","","Dias, H.M.; Kunz, S.H.; Matheus, M.T.; Castro, K.C. & Silva, A.E.",2012,4,10,"Brazil","Espírito Santo","Ibitirama","Santa Marta.",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB01181870","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","D.N. da Silva Machado",,"","4235","","A.A.M. de Barros; K.K.S. da Costa; B.H.G. de Oliveira",2010,11,4,"Brazil","Rio de Janeiro","Nova Friburgo","São Pedro da Serra Área de Pousio - Floresta 60 anos.",-22.319444,-42.3375,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","162839","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,2015,"","33589","","Souza, VC de; Ferruci, MS; Angulo, MB; Caliari, CP; Colletta, GD; Flores, TB; Rodrigues, O",2009,5,9,"Brazil","Rio de Janeiro","Santa Maria Madalena","Subida para a Pedra Dubois.",,,"Arbusto, ca. 2m alt; flores verdes.; Floresta com transição para campo de altitude.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","UFPR","UPCB","69671","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Stehmann, J.R.",2016,"","4800","","Fontana, A.P.",2008,2,12,"Brazil","Espírito Santo","Castelo","BLOQUEADO",,,"Arbusto, na sombra. Frutos pretos. Material prensado em alcool..","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","124134","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,2011,"","143","","Giacomin, LL; Stehmann, JR; Kamino, LHY",2008,7,9,"Brazil","Minas Gerais","Juiz de Fora","Reserva Municipal de Santa Cândida, Subida que sai da estrada de entrada da reserva",,,"Arbusto, frutos imaturos verdes; Mata próxima a córrego","Cestrum subpulverulentum Mart.","",,"GBIF"
"","UFPR","UPCB","66067","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Stehmann, J.R.",2016,"","5310","","Forzza, R.C.",2008,10,14,"Brazil","Espírito Santo","Castelo","BLOQUEADO",,,"Arbusto, ca. 1m alt. Frutos verdes..","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","130092","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","J. R. Stehmann",,"","5310","","R. C. Forzza",2008,10,14,"Brazil","Espírito Santo","castelo","Trilha para o Forninho.",-20.516111,-41.083611,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","MBML","MBML-HERBARIO","31207","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Marcia Vignoli-Silva/25-05-2008",,"","9989","","L. Kollmann; P. Labiak & F. B. Matos",2007,7,19,"Brazil","Espírito Santo","Castelo","Forno Grande, Parque Estadual de Forno Grande",-20.519167,-41.100556,"Arbusto 1m. Flores verdes.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","MBML","MBML-HERBARIO","24635","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Marcia Vignoli-Silva/25-05-2008",,"","7919","","L. Kollmann; et al",2005,7,9,"Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande",-20.519167,-41.100556,"Arbusto 2m no sol. Flores verdes.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","MBML","MBML-HERBARIO","22624","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","Marcia Vignoli-Silva/25-05-2008",,"","6691","","L. Kollmann; et al",2004,6,10,"Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande",-20.519167,-41.100556,"Erva escandente 3m no sol, beira da estrada. Flores verdes.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB00418980","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",2008,"","69","","R.A. Pontes; R. Marquete",2004,7,8,"Brazil","Rio de Janeiro","Varre-Sai","Próximo a antena de telecomunicação, por trás do morro.",-20.933611,-41.860556,"Arbusto escandente no interior da mata. Folhas verde-escuras, pilosas. Flores verde-alvacentas.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB01223376","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","J.R. Stehmann",2015,"","1539","","M.c.F. dos Santos; Betinho; Cristiano; D. Barbalho",2003,8,23,"Brazil","Rio de Janeiro","Santa Maria Madalena","Arredores do Parque Estadual do Desengano, trilha de acesso à Pedra Dubois, início da mata, lado direito",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB01223369","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","J.R. Stehmann",2015,"","749","","M.C.F. dos Santos; A.A. Valente",2002,6,13,"Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, trilha da Rifa, lado esquerdo",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","UFV","VIC","48529","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,,"","120","","Filardi, F.L.R.; et al.",2002,9,25,"Brazil","Minas Gerais","Volta Grande","Próximo sub-estação energia",,,"Flores; Árvore; Mata Ciliar","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","63763","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,,"","947","","Salimena, FRG; Nobre, PH",2001,10,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Beira de mata. Cipó. Frutos verdes","Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB01183846","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","C. Aranha",1996,"","3351","","L.S. Leoni",1996,6,2,"Brazil","Minas Gerais","Alto Caparaó","Parque Nacional.",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB01340321","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","C. Aranha",1996,"","3351","","L.S. Leoni",1996,6,2,"Brazil","Minas Gerais","Alto Caparaó",,,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","162349","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,2015,"","268","","Konno, T; et al.",1993,12,11,"Brazil","Rio de Janeiro","Mendes","Faz. São José das Paineiras",,,"Arbusto ca. 1,5 m, heliófilo, folha verde discolor; frutos imaturos verdes.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","18571","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M.V. Lima",2007,"","55428","","G. Hatschbach",1991,6,13,"Brazil","Mg","Presidente Soares","Rodovia MG-111, Vargem Grande",,,"arbusto, ramos longos, 1,50 m, flor creme. Mata pluvial.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","IF","SPSF","09465","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,,"","319","","M.J.Robim",1985,10,1,"Brazil","Sp","Campos do Jordão","P.E. de Campos do Jordão",,,"COLETA: XLS: SPSFAntigo;","Cestrum subpulverulentum Mart.","",,"GBIF"
"","MO","MO","2920517","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Nee",2013,"","Ribeiro 486","","Ribeiro",1984,5,4,"Brazil","Rio de Janeiro",,"Distr. de Araras, Reserva Biológica.",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","IF","SPSF","08724","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,,"",,"","M.J.Robim & J.P.M. Carvalho",1984,10,16,"Brazil","Sp","Campos do Jordão","P.E. de Campos do Jordão",,,"COLETA: XLS: SPSFAntigo;","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","5974","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",,"","984","","T. S. dos Santos",1970,7,21,"Brazil","Espírito Santo","VITÓRIA","BR-242 a Realeza. Margem da estrada.",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","14771","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",,"","984","","T. S. dos Santos",1970,7,21,"Brazil","Espírito Santo","VITÓRIA","BR-262 a Realeza. Margem da estrada.",,,,"Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB00461977","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",2008,"","984","","T.S. Santos",1970,7,21,"Brazil","Espírito Santo","Espírito Santo","Capital, BR-262 a Realeza.",,,"Trepadeira, fl. esverdeada.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","9539","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.",,2012,"","CESJ9539","","L. Krieger; U.C. Câmara",1970,10,31,"Brazil","Rio de Janeiro","Petrópolis","Vale do Bonsucesso, estrada do Contorno",,,"Na mata, arbusto. Frutos negros.","Cestrum subpulverulentum Mart.","",,"GBIF"
"","IAC","IAC","24302","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",2009,"","2699/539","","D. Sucre & P.I.S. Braga",1968,4,12,"Brazil","Rio de Janeiro","Petrópolis","Rocinha",-22.505,-43.1786,"doação do Jardim Botânico do Rio de Janeiro número 140110","Cestrum subpulverulentum Mart.","",,"GBIF"
"","IAC","IAC","24451","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",2009,"","31111/828","","D. Sucre & P.I.S. Braga",1968,5,25,"Brazil","Rio de Janeiro","Petrópolis","Correias",-22.505,-43.1786,"altitude de 650 a 700 m","Cestrum subpulverulentum Mart.","",,"GBIF"
"","JBRJ","RB","RB00461907","Cestrum subpulverulentum","","Solanaceae","Cestrum","subpulverulentum","","Mart.","M. Vignoli-Silva",2008,"","170","","J.P.Fontella",1967,5,21,"Brazil","Rio de Janeiro","Petrópolis","Estrada Itaipava-Petrópolis.",,,"Tubo da corola de cor verde, lobos da corola internamente brancos e um tanto esverdeados","Cestrum subpulverulentum Mart.","",,"GBIF"
