"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01156933","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","H.C. de Lima",,"","8314","","Haroldo C. de Lima; Pablo J.F.P. Rodrigues, Fernanda F. Negreiros e Ivo P.L. de Souza",2016,8,2,"Brazil","Rio de Janeiro","Miguel Pereira","Estrada do Orbel II, próximo a ponte. Reserva Biológica do Tinguá",-22.536944,-43.426111,"Arbusto ou arvoreta com 2-4 m alt. Folhas discolores com face dorsal canescente. Inflorescências pilosas, pardacentas; flores com cálice pardo-acinzentado e corola branca, estames amarelos e gineceu esverdeado. Frequente na margem do córrego e na beira da estrada. Fotos HCL.","Solanum castaneum Carvalho","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130753","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","Souza, V.C.",2013,"","35956","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,2,28,"Brazil","Rio de Janeiro","Piraí","Fragmento 57 (TAV). Floresta Ombrófila Densa.",-22.606,-43.9423,"Corola alva.","Solanum castaneum Carvalho","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128725","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","Almeida, T.E.",2013,"","80","","Virillo, C.B.",2013,3,28,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha Casa de Pedra.",-24.06096,-47.43109,"arvoreta, 3,5m","Solanum castaneum Carvalho","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128727","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","Souza, V.C.",2013,"","847","","Delfini, C.",2013,3,27,"Brazil","São Paulo","Tapiraí","Trilha entre a UHE Alecrim e UHE Porto Raso. Floresta Ombrófila Densa, na margem do rio Dezembro.",-24.07754,-47.45136,"Árvore, ca. 2m alt., frutos creme.","Solanum castaneum Carvalho","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128726","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","Souza, V.C.",2013,"","181","","Virillo, C.B.",2013,4,1,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-24.110555,-47.204722,,"Solanum castaneum Carvalho","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","154156","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho",,,"","1694","","Giacomin, LL; Almeida, TE",2012,1,26,"Brazil","São Paulo","Ubatuba","Imediações do Parque Estadual da Serra do Mar, Núc, Estrada não pavimentada que liga a BR-101 à Base Cambucá",-23.330833,-44.924889,"Arvoreta, 6m, às margens de fragmento de floresta ombrófila densa. Inflorescências senescendo. Frutos amarelos com manchas roxas. Indumento marrom. Prensado em álcool","Solanum castaneum Carvalho","",,"GBIF"
"","JBRJ","RB","RB00716604","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho",,,"","1694","","Giacomin, L.L; Almeida, T.E",2012,1,26,"Brazil","São Paulo","Ubatuba","Imediações do Parque Estadual da Serra do Mar. Núcleo Picinguaba. Estrada não pavimentada que liga a BR-101 à Base do Cambucá.",-23.330833,-44.925,"Arvoreta 6m. Inflorescências senescendo. frutos amarelos com manchas roxas. Indumento marrom","Solanum castaneum Carvalho","",,"GBIF"
"","NY","NY","1921582","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho",,,"","1694","","L. L. Giacomin",2012,1,26,"Brazil","São Paulo",,"Imediaçoes do Parque Estadual da Serra do Mar, Núcleo Picinguaba, Estrada nãopavimentada que liga a BR-101 á Base Cambucá",-23.3308,-44.925,,"Solanum castaneum Carvalho","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","152718","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho",,,"","1607","","Giacomin, LL; Stehmann, JR",2011,9,14,"Brazil","São Paulo","Campinas","Parque ecológico da UNICAMP (arboreto), Espécime cultivado, em áres desmatada. Próximo à cerca que limita o arboreto",-22.825306,-47.059861,"Arbusto ereto, 4m. Flores senescendo. Frutos amarelos com listras arroxeadas.","Solanum castaneum Carvalho","",,"GBIF"
"","JBRJ","RB","RB00716596","Solanum castaneum","","Solanaceae","Solanum","castaneum","","Carvalho","L.L. Giacomin",,"","1607","","L.L. Giacomin; J.R. Stehmann",2011,9,14,"Brazil","São Paulo","Campinas","Parque Ecológico da UNICAMP (arboreto). Espécime cultivado em áreas desmatada. Próximo à cerca que limita o arboreto.",-22.825278,-47.06,"Arbusto ereto, 4m Flores senscendo. Frutos amarelos com listras arroxeadas. Prensado em alcool","Solanum castaneum Carvalho","",,"GBIF"
