"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","190308","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia",,2018,"","2963","","Martins, CR",2018,3,18,"Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília, após a Cascalheira do Entroncamento, entorno da estrada de acesso à Cascalheira do Exército",-15.737111,-47.935889,"Arbusto, ca. 1,9 m, flor roxa escura. Comum na área.; Campo sujo","Solanum falciforme Farruggia","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","190309","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia",,2018,"","2964","","Martins, CR",2018,3,18,"Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília, próximo ao acesso à Cascalheira do Exército",-15.736667,-47.95,"Arbusto, ca. 1,7 m, flor roxa claro. Comum na área.; Campo sujo","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","105233","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",2018,"","2963","","Carlos Romero Martins",2018,3,18,"Brazil","Df","BRASILIA","Parque Nacional de Brasília - Cascalheira do entrocamento, entorno da estrada de acesso à Cascalheira do Exército.",-15.737222,-47.935833,"Doação Flora do Brasil - Distrito Federal.","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","105234","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","J. R. Stehmann",2018,"","2964","","Carlos Romero Martins",2018,3,18,"Brazil","Df","BRASILIA","Parque Nacional de Brasília - Campo sujo próximo ao acesso à Cascalheira do Exército.",-15.736666,-47.95,"Doação Flora do Brasil - Distrito Federal.","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","106561","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","G. Pereira-Silva",2017,"","322","","Teddy. D. R. Terra",2017,6,30,"Brazil","To","PEDRO AFONSO","Conglomerado: TO-211. Subunidade 1, subparcela 4, indivíduo 23.",,,"Projeto Inventário Florestal Nacional (IFN). Árvore com 4 m de altura e 10,1 cm de DAP, base reta. Fuste de casca externa fina, do tipo lisa, de cor cinza, cor interna branca. Fruto imaturo, 6 cm de dimensão, forma oval, cor exter","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","96275","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",,"","410","","Aelton Biasi Giroldo",2015,5,13,"Brazil","Df","BRASILIA","Fazenda Sucupira, Próximo à ponte da entrada do restaurante.",,,"Voucher fotossíntese.","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","96104","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",,"","239","","Aelton Biasi Giroldo",2014,4,15,"Brazil","Df","BRASILIA","Jardim Botânico de Brasilia.",-15.873611,-47.848055,,"Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","86602","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",,"","330","","Araci Molnar Alonso",2013,3,5,"Brazil","Df","BRASILIA","Brazlândia. Sítio do Coité do Cerrado.",-15.742222,-48.149722,"Doação CPAC.","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","87680","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",,"","708","","Araci Molnar Alonso",2013,4,3,"Brazil","Df","BRASILIA","Brazlândia - Sitio Coité do Cerrado",-15.742222,-48.149722,"Ramo com flor","Solanum falciforme Farruggia","",,"GBIF"
"","Cenargen","CEN","87860","Solanum falciforme","","Solanaceae","Solanum","falciforme","","Farruggia","B. M. T. Walter",,"","887","","Araci Molnar Alonso",2013,5,7,"Brazil","Df","BRASILIA","Brazlândia - Sítio Coité do Cerrado",-15.742222,-48.149722,"Coletada em parcela em recuperação. Ramo com flor. Doação CPAC.","Solanum falciforme Farruggia","",,"GBIF"
