"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15982","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Geovane S. Siqueira",2019,"","7643","","Folli, D.A.",2019,6,18,"Brazil","Mg","BRUMADINHO","Córrego Feijão",,,"<ll>dwc_commonname:</ll> Benjoeiro","Styrax latifolius Pohl","",,"GBIF"
"","JBRJ","RB","RB01421999","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","G.S. Siqueira",2019,"","7643","","D.A. Folli",2019,6,18,"Brazil","Minas Gerais","Brumadinho","Córrego do Feijão.",-59.774722,-78.259167,,"Styrax latifolius Pohl","",,"GBIF"
"","JBRJ","RB","RB01410478","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","M.L. Brotto",,"","1872","","R.R. Völtz; M.L. Brotto",2018,10,9,"Brazil","Paraná","Tibagi","Rio Tibagi",-24.581944,-50.384722,,"Styrax latifolius Pohl","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","15188","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","T.G. Rau",2017,"","5614","","M.G. Caxambu",2014,10,17,"Brazil","Pr","Ortigueira","Morro da Pedra Branca",-23.965917,-51.088167,"árvore ca. 4 m, heliófita. Flores odoríferas, com cálice ferrugíneo e corola alva, com estames amarelos. Visitada por mamangava (Hymenoptera, Apidae).","Styrax latifolius Pohl","",,"GBIF"
"","IF","SPSF","43889","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","N.S.Pinto",2010,"","1105","",,2010,7,1,"Brazil","Sp","Itapeva","Estação Experimental",-24.079444,-49.054722,"COLETA: Arbusto 1,7m, flores com botões creme.; GEOGRAFIA: Trilha da borda Cerrado/ Campo Cerrado- Cerradão com invasão de Pinus.;","Styrax latifolius Pohl","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","9167","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","M.G. Caxambu",2010,"","3320","","M.G. Caxambu",2010,10,13,"Brazil","Pr","Tuneiras do Oeste","Reserva Biológica Das Perobas - Palmital",-23.890361,-52.721417,"arvoreta ca. 5 m, semi-ciófila. Folhas fortemente discolores. Flores com cálice castanho e corola alva, com estames amarelos.","Styrax latifolius Pohl","",,"GBIF"
"","UEM","HUEM","20308","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Caxambu, M.G.",2010,"","3320","","Caxambu, M.G.; et al.",2010,10,13,"Brazil","Paraná","Tuneiras do Oeste","Reserva Biológica das Perobas - Palmital",-23.890361,-52.721417,"Árvore ca. 5m, semi-ciófila. Folhas fortemente discolores. Flores com cálice castanho e corola alva, com estames amarelo. Relevo: suave-ondulado - Vegetação: Floresta Estacional Semidecidual Montana.","Styrax latifolius Pohl","",,"GBIF"
"","UNESP-IBB","BOTUW","2172","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Campos, C.J.",,"",,"","Sonsin, J.O & Campos J.C",2008,9,10,"Brazil","S.Paulo","Pratânia","Fazenda Palmeira da Serra",-23.04875,-48.523917,"Mata ciliar, altura da arvore 5,0 m, Circunferência altura do peito 34 cm. (2)","Styrax latifolius Pohl","",,"GBIF"
"","UFES","VIES","33294","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl",,,"","56","","Moreira, L.N.",2007,5,28,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.",,,,"Styrax latifolius Pohl","",,"GBIF"
"","IF","SPSF","38749","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","R.Monteiro",2008,"","1915","","J.B.Baitello & J. A. Pastore & C.R.Lima & D.F.Bueno",2007,9,26,"Brazil","Sp","Paranapanema","Estação Ecológica de Paranapanema",-23.531667,-48.740833,"COLETA: Árvore 9m, botões florais esverdeados.; GEOGRAFIA: Sede, borda de mata, atrás do viveiro de mudas.;","Styrax latifolius Pohl","",,"GBIF"
"","Reserva Natural Vale","CVRD","9453","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Domingos A. Folli",2006,"","5196","","Folli, D.A.",2006,2,28,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Benjoeiro","Styrax latifolius Pohl","",,"GBIF"
"","UNESP-IBB","BOTUW","2037","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Campos, J.C",,"",,"","Sonsin, J.O & Campos J.C",2006,3,7,"Brazil","S.Paulo","Pratânia","Fazenda Palmeira da Serra",-23.04875,-48.523917,"Mata ciliar, altura da arvore 11 m, Circunferência altura do peito 41 cm.","Styrax latifolius Pohl","",,"GBIF"
"","UFOP","OUPR","21023","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Forzza, R.C.",2010,"","74","","Lemes, F.O.A.",2006,8,15,"Brazil","Minas Gerais","Ouro Branco","Mata da Gerdau",,,"Floresta. Arbusto. Flores brancas","Styrax latifolius Pohl","",,"GBIF"
"","IF","SPSF","38460","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","R.Monteiro",2008,"","1488","","J. A. Pastore & R.Cielo-Filho & O. T. Aguiar & D.F.Bueno",2006,11,22,"Brazil","Sp","Paranapanema","Estação Ecológica de Paranapanema",-23.515,-48.758889,"COLETA: Árvore 6m, flores.; GEOGRAFIA: Trilha 2.;","Styrax latifolius Pohl","",,"GBIF"
"","UNICAMP","UEC","147054","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl",,,"","204","","Aguirre, GH; et al.",2005,8,24,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",,,,"Styrax latifolius Pohl","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","104019","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Capistrano, T.R.",2011,"","12792","","Medeiros, D.A.",2004,2,12,"Brazil","São Paulo","Assis",,,,,"Styrax latifolius Pohl","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","1490","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","J. Cordeiro & F. Marinero",2006,"","580","","M.G. Caxambu",2004,10,4,"Brazil","Pr","Tuneiras do Oeste","Fazenda Água do Índio",,,"árvore com cerca de 8m de altura. Folhas simples, alternas, glabras na face adaxial e ferrugíneo-pilosas na abaxial. Flores brancas em inflorescências axilares.","Styrax latifolius Pohl","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","39347","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl",,,"","429","","D.S. Pifano; R.M. Castro; J.F.S. Pessôa",2002,11,21,"Brazil","Minas Gerais","Juiz de Fora","Morro do Imperador",,,"Arvoreta ca. 4.5m. na borda da mata , sentido de seu interior.Planta heliófila.Frutos imaturos verdes de hipanto também verde.","Styrax latifolius Pohl","",,"GBIF"
"","Reserva Natural Vale","CVRD","6852","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Domingos A. Folli",2001,"","3909","","Folli, D.A.",2001,5,3,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Benjoeiro","Styrax latifolius Pohl","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","78981","Styrax latifolius","","Styracaceae","Styrax","latifolius","","Pohl","Capistrano, T.R.",2011,"","7058","","Salino, A. ; Mota, R.C.",2001,6,9,"Brazil","Minas Gerais","Santana do Garambeu",,,,,"Styrax latifolius Pohl","",,"GBIF"
