"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","245886","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","Mendoza, J.M.",,"","1569","","Mike Hopkins",2011,12,10,"Brazil","Goiás",,"Portal da Chapada",,,,"Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","61571","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","L.H.Soares-Silva",2012,"","1569","","L.H.Soares-Silva",2011,12,10,"Brazil","Goiás","Alto Paraíso de Goiás","Portal da Chapada (...).",,,"Arvoreta. Botões floaris e dlores brancas. Estigmas verde. Flor parecida com limão.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","UnB","UB","177867","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","Mendoza, M",,"","1569","","Soares-Silva, LH",2011,12,10,"Brazil","Goiás","Alto Paraíso de Goiás","Portal da Chapada",,,"Arvoreta. Botões florais e flores brancas. Estigmas verde. Flor parecida com limão.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","UFV","VIC","042419","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.",,,"","s.n.","","Tinti, B.V.; Nunes, J.",2010,,,"Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó",,,,"Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","UEG","HUEG","6565","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","Proença, C.E.B.; Monteiro, G.",2006,"","s.n.","","Irwin, H.S.; Araújo; et al.",2005,5,14,"Brazil","Goiás","Anápolis","Campus UEG",,,"Folha serrada bicolor.; Mata seca.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","39747","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","L.C.S. Assis",2004,"","657","","L.C.S. Assis; W.E.Souza; M.S. Magalhães",2003,2,4,"Brazil","Minas Gerais","Barroso","Mata do Baú",,,"Árvore ca. 2m, na borda da mata, frutos verdes e indumento ferrugíneo.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","JBRJ","RB","RB00435324","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.","L.C.S. Assis",,"","657","","L.C.S. Assis; W.E. Souza & M.S. Magalhães",2003,2,4,"Brazil","Minas Gerais","Barroso","Mata do Baú.",,,"Árvore ca. 2 m, frutos verdes e indumento ferrugíneo.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","40977","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.",,,"","275","","D.S. Pifano; A.S.M. Valente",2002,1,12,"Brazil","Minas Gerais","LIma Duarte","Conceição do Ibitipoca, Estrada para Moreiras.",,,"Arvoreta ca 5m na borda da mata em local de clareira. Frutos imaturos e cálice persistente em verde.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","MBM","MBM","351264","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.",,,"","275","","Pifano, DS",2002,1,12,"Brazil","Minas Gerais","Lima Duarte","Conceição do Ibitipoca. Estrada para Moreiras",,,"Arvoreta ca 5m na borda da mata em local de clareira. Frutos imaturos e cálice persistente em verde","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
"","JBRJ","RB","RB00567049","Symplocos platyphylla","","Symplocaceae","Symplocos","platyphylla","","(Pohl) Benth.",,,"","275","","D. S. Pifano; A. Valente",2002,1,12,"Brazil","Minas Gerais","Lima Duarte","Conceição do Ibitipoca. Estrada para Moreiras. .",,,"Arvoreta ca. 5 m de altura. Frutos imaturos e cálice persistente em verde.","Symplocos platyphylla (Pohl) Benth.","",,"GBIF"
