"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","182017","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.",,2016,"","1089","","Gontijo, FD; Tameirão Neto, E",2016,1,7,"Brazil","Minas Gerais","São Joaquim de Bicas","Serra Azul, Serra das Farofas",-21.093953,-44,"Arbóreo; Campo Rupestre Ferruginoso","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188441","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.",,,"","1359","","Rocha, MJR",2016,11,1,"Brazil","Minas Gerais","Rio Manso","Morro da Onça",-20.518889,-44.631944,"Floresta Estacional Semidecidual","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","UFSJ","HUFSJ","4699","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","Sobral, M",2013,"","15439","","Sobral, M; et al.",2013,3,26,"Brazil","Minas Gerais","Prados","Trilha da Pedreira. Serra de São José.",-21.064556,-44.108611,"Árvore 3 m; casca desprendendo-se em tiras quando arrancada; frutos maduros brancos.","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","JBRJ","RB","RB00887735","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","M. Sobral",2013,"","15439","","M. Sobral; et al",2013,3,26,"Brazil","Minas Gerais","Prados","Serra de São José, Trilha da Pedreira.",-21.064444,-44.108611,"Árvore 3m; casca desprendendo-se em tiras quando arrancada; frutos maduros brancos","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","171719","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.",,2013,"","15439","","Sobral, M",2013,3,26,"Brazil","Minas Gerais","Prados","Serra de São José",-21.064444,-44.108611,"Árvore 3m, casca desprendendo-se em tiras quando arrancada. Frutos maduros brancos","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","UFRGS","ICN","179361","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","Cordeiro, J",,"","1526","","Brotto, ML; et al.",2013,12,11,"Brazil","Pr","Cerro Azul","Ribeirão da Rocha",-24.715278,-49.131389,"Doação MBM; Floresta ombrófila densa","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","MBM","MBM","387892","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","Cordeiro, J",2014,"","1526","","Brotto, ML",2013,12,11,"Brazil","Paraná","Cerro Azul","Ribeirão do Rocha",-24.715389,-49.131306,"Floresta Ombrófila Densa.","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","JBRJ","RB","RB00887738","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","J. Cordeiro",2014,"","1526","","M.L. Brotto; J.T. Motta; J.M. Silva; J. Vaz",2013,12,11,"Brazil","Paraná","Cerro Azul","Ribeirão do Rocha.",-24.715278,-49.131389,,"Daphnopsis brasiliensis Mart.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","52639","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","T.M. Machado; F.S. Souza",2009,"","98","","T.M. Machado; A.S.M. Valente; F.S. Souza; M.G. Rezende; R.C.L. Elias",2009,1,23,"Brazil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedreira Califórnia Brown&nf;Fuso 23 K 0357748 E 7571631 N",,,"Arbusto no arbustal, antes da Frente de mineração3. Frutos verdes.","Daphnopsis brasiliensis Mart.","",,"GBIF"
"","JBRJ","RB","RB00660892","Daphnopsis brasiliensis","","Thymelaeaceae","Daphnopsis","brasiliensis","","Mart.","O. Thier",,"","OT 1617","","D. Hluschi",2009,4,2,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Street between Funchal and Guapiaçu. near REGUA.",,,,"Daphnopsis brasiliensis Mart.","",,"GBIF"
