"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01373322","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","C. baez",,"","1288","","C. Baez",2017,9,10,"Brazil","Rio de Janeiro","Nova Friburgo","Galdinópolis. Rio Macaé de Cima. APA Macaé de Cima",-22.372778,-42.396667,"Arvoreta, umbrófila, 3, 5 m. Folhas verdes discolores. Casca com envira. Flores verdes-alvacentas. Casca e folhas com odor semeplhante a fruta figo.","Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB01200178","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","H.C. de Lima",,"","8399","","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Estrada do Comércio, a 6,6 km após o entroncamento para a Sede da Rebio, Mato Escuro. Mata de encosta. Reserva Biológica do Tinguá",-22.563056,-43.468056,"Árvore com 5 m alt. Tronco com casca lisa e pardacenta, DAP ca. 10 cm. Frutos esverdeados. Ocasional.","Daphnopsis martii Meisn.","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","7582","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Haroldo C. de Lima",2016,"","8399","","Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 6,6 km o entroncamento para a Sede da Rebio.",-22.563056,-43.480556,"Árvore com 5m alt. Tronco com casca lisa e pardacenta, DAP ca. 10 cm. Frutos. esverdeados. Ocasional.; Mato escuro. Mata de encosta.","Daphnopsis martii Meisn.","",,"GBIF"
"","UEFS","HUEFS","232355","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","H.C.de Lima",2016,"","8399","","Lima, H.C.de",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 6,6 Km após o entrocamento para a sede da Rebio, mato escuro.",-22.563056,-43.468056,"Mata de encosta.","Daphnopsis martii Meisn.","",,"GBIF"
"","UFRB","HURB","5661","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","B. Klitgard & A. Baracat",2014,"","2378","","Aona, L.Y.S.; Biggs,N.;Jardim,J.;Lucas, E.; Mazine,F.F.",2013,3,11,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, Assentamento Patioba;",-13.579167,-39.691389,,"Daphnopsis martii Meisn.","",,"GBIF"
"","UNICAMP","UEC","148881","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Aranha, BA",2008,"","498","","Aranha, BA",2007,1,14,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J",-23.366389,-45.084167,,"Daphnopsis martii Meisn.","",,"GBIF"
"","UNICAMP","UEC","148880","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Aranha, BA",2008,"","497","","Aranha, BA",2007,1,14,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J",-23.366389,-45.084167,,"Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00517255","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","A. Vaz",2008,"","1997","","M. Nadruz; A.C.G. Ramos, N.L. Ramos, C. Cronemberger et A. Lobão",2007,9,25,"Brazil","Rio de Janeiro","Magé","Distrito de Santo Aleixo, picada do córrego das Pedras Negras, trilha para o Pico Grande, Fazenda Floresta do Pico. Parque Nacional da Serra dos Órgãos",,,"Lâmina cartácea discolor; pedúnculo esverdeado, flor alva.","Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00436274","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","J. Wesenberg",,"","837","","J. Wesenberg; T. Stuber, C. Raedig",2005,8,17,"Brazil","Rio de Janeiro","Teresópolis","Vale do Rio Beija-flor. Próximo ao rio, abaixo da barragem. .",-22.454167,-43,"Arvoreta, altura ca. 2m. Flores brancas, monoclamídeas. Tépalas 4, conadas. Estames 8 em duas series (4 curtos, 4 cumpridos)","Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00511538","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Leonard Schumm",,"","031","","Leonard Schumm",2005,8,,"Brazil","Minas Gerais","Bocaina de Minas","Parque Nacional do Itatiaia( Alto dos Brejos).",,,"Dossel fechado. Altura 2.2 m. DAP 2,9 cm.","Daphnopsis martii Meisn.","",,"GBIF"
"","NY","NY","1181617","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.",,,"","277","","Disciplina Princípios e Métodos em Taxonomia Vegetal",2003,9,19,"Brazil","São Paulo",,"Estação Ecologica de Itirapina.",-22.2161,-47.9239,,"Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00348473","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.",,,"","1616","","S. J. Silva Neto; G. D. Cattan, M. G. Bovini, M. Moraes & W. da Silva",2002,1,15,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Ouro, após as três voltas. REBIO do Tinguá",,,"Arvoreta semi-ciófila, ca. 4,5 m de altura; folhas breve discolores cartáceas; frutos imaturos verdes e maduros brancos.","Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00348122","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","E.F. Guimarães & M.M. Saavedra",,"","2206","","M.G. Bovini; L. C. Giordano, E. F. Guimarães et S. J. S. Neto",2002,10,24,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Ouro, ca. 800 m da sede. REBIO do Tinguá",,,"Árvore ca. 4,5m, semi-heliófila. Folhas semi-carnosas, concolores. Cálice frutífero. Frutos imaturos verdes.","Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00348472","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.",,,"","5928","","H. C. de Lima; S. J. Silva Neto, L. Sylvestre & W. da Silva",2001,1,13,"Brazil","Rio de Janeiro","Nova Iguaçu","Rio Nova Estrela.",,,"Arvoreta com 4m de altura Frutos jovens esverdeados. Ocasional.","Daphnopsis martii Meisn.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","93560","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Tsuji, R. & Souza, V.C.",,"","4498","","Ivanauskas, N.M. et al.",2001,8,15,"Brazil","São Paulo","São Sebastião",,,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","93559","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Tsuji, R. & Souza, V.C.",,"","4501","","Ivanauskas, N.M. et al.",2001,8,15,"Brazil","São Paulo","São Sebastião",,,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73219","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Oliveira, A.C.P.",,"","4544","","Ivanauskas, N.M. et al.",2001,9,20,"Brazil","São Paulo","São Sebastião",,,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00348474","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.",,,"","5945","","H. C. de Lima; L. Sylvestre & W. da Silva",2001,11,15,"Brazil","Rio de Janeiro","Nova Iguaçu","Pedra 90, picada para o Pico do Tinguá. REBIO do Tinguá",,,"Arvoreta com 4m de altura. Tronco com casca lisa, entrecasca branca e usada p/ embira. DAP± 6cm. Frutos jovens esverdeados. Ocasional no sub-bosque.  N.V.: <U+0093>Embira-de-seda<U+0094>.","Daphnopsis martii Meisn.","",,"GBIF"
"","IAC","IAC","38205","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","S.L. Jung-Mendaçolli & L.P. Cabral",1999,"","24","","Y.V. Bakker",1999,7,15,"Brazil","São Paulo","Silveiras","Cachoeira dos Piloes, próximo a Fazenda Pinhalzinho",-22.6644,-44.8528,,"Daphnopsis martii Meisn.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","34021","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Rodrigues, R.R.",,"","33","","Ferretti, A.R. et al.",1996,12,12,"Brazil","São Paulo","Cunha",,,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","MBML","MBML-HERBARIO","10355","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","M. Sobral/1995",,"","1582","","L. D. Thomaz",1995,1,17,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-19.971389,-40.530278,"Altura 9m, PAP 26cm, caule interno róseo, botões verdes nos ramos.","Daphnopsis martii Meisn.","",,"GBIF"
"","MO","MO","100295992","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","L. Rossi (SP)",1997,"","Kirizawa 2965","","M. Kirizawa|NETO",1995,3,24,"Brazil","São Paulo",,"Reserva biologica do Alto da Serra de Paranapiacaba; picada lateral que sai da 4""",,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","JBRJ","RB","RB00685446","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","João Marcelo A. Braga",1994,"","968","","J.M.A. Braga ; R.Neves",1994,1,16,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da tijuca, próximo do ""Açude da Solidão"".",,,"Arbusto, ca. 0,4 m de altura, umbrófilo. Follas breve discolores e subcartáceas, Frutos imaturos verdes e maduros alaranjados.","Daphnopsis martii Meisn.","",,"GBIF"
"","USP","SPF","97945","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","Furlan, A",,"","364","","Assis, MA",1994,8,28,"Brazil","São Paulo","Ubatuba",,-23.4,-45.083333,,"Daphnopsis martii Meisn.","",,"GBIF"
"","MO","MO","100294451","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","L. Rossi (SP)",1997,"","Marquete 1942","","R. Marquete",1994,8,6,"Brazil","Rio de Janeiro",,"Estr. para condominio Laranjeiras",,,,"Daphnopsis martii Meisn.","",,"GBIF"
"","MO","MO","100295989","Daphnopsis martii","","Thymelaeaceae","Daphnopsis","martii","","Meisn.","L. Rossi (SP)",1997,"","Kirizawa 2873","","M. Kirizawa|E.A. Lopes",1994,8,12,"Brazil","São Paulo",,"Reserva biologica do Alto da Serra de Paranapiacaba",,,,"Daphnopsis martii Meisn.","",,"GBIF"
