"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01420708","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","L. Rossi",,"","115","","D. Nunes; T. Lorenzetti, F.R.M. Fraga & C.D.M. Ferreira",2019,10,3,"Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, Setor A, na trilha do Estudante, após a bifurcação para a trilha Transcarioca. PARNA da Tijuca",,,"Folhas verdes, discolores, cartáceas. Raque da inflorescência e pedicelo verde-claro; sépalas, filete, estilete e estigma brancos; anteras amarelas","Daphnopsis schwackeana Taub.","",,"GBIF"
"","JBRJ","RB","RB01404485","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","G.M. Antar",,"","1718","","G.M. Antar; V.B. Caetano",2017,7,14,"Brazil","São Paulo","Embu-Guaçu","Estrada de Santa Rita, Km 60. Próximo a cava mineração",-23.920278,-46.873333,"Árvore cerc ade 3 metros de altura. Folhas discolores com a face abaxial mais clara. Perianto alvo, estames amarelos","Daphnopsis schwackeana Taub.","",,"GBIF"
"","JBRJ","RB","RB01372620","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","G.M. Antar",,"","1124","","G.M. Antar; V.B. Caetano",2016,7,13,"Brazil","São Paulo","Embu-Guaçu","Estrada de Santa Rita, km 60 . Próximo a cava de mineração.",-23.926944,-46.879167,,"Daphnopsis schwackeana Taub.","",,"GBIF"
"","Cenargen","CEN","99606","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","G. M. Antar",,"","1124","","Guilherme de M. Antar",2016,7,13,"Brazil","Sp","EMBU-GUACU","Estrada de Santa Rita, km 60. Próximo a cava de mineração.",-23.926944,-46.879166,"Mata Atlântica. Em estágio médio de recuperação. Doação Universidade de São Pauo - Herbário SPF.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","USP","SPF","227846","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","Antar, GM",2016,"","1124","","Antar, GM",2016,7,13,"Brazil","São Paulo","Embu-Guaçu","Estrada de Santa Rita, km 60. Próximo a cava de mineração.",-23.927056,-46.879389,"Árvore cauliflora ca. 4 m alt. Flores verdes.; Mata Atlântica. Floresta Ombrófila Densa em estágio médio de recuperação. Solo organo-argiloso.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","JBRJ","RB","RB01045441","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","J. Külkamp",2019,"","149","","Carlos D.M. Ferreira; M. Grefe & P. Feliz",2015,8,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá. Crescendo próximo a casa amarela.",,,"Arvoreta, 1,5 metros de altura. Presença de caulifloria. Flores e botões de coloração ferrugínea. Frutos de cor verde.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","IAC","IAC","56742","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","A.C.O. Souza",,"","210","","A.C.O. Souza & L.C. Bernacci",2015,8,12,"Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar #?# Núcleo Cunha",-23.0744,-44.9597,"Parcela NUC 01 - regeneração após corte raso, seguido de fogo e pastagem, Ind. 0438","Daphnopsis schwackeana Taub.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123716","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","Colletta, G.D.",2013,"","1104","","Colletta, G.D. ; Ferreira, M.A.P.",2013,5,1,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.",,,"Árvore, 3m","Daphnopsis schwackeana Taub.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","42612","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.",,,"","485","","Uhlmann, A.; et al.",2012,5,6,"Brazil","Rio de Janeiro","Nova Friburgo","antena SBT.",-22.359167,-42.564167,,"Daphnopsis schwackeana Taub.","",,"GBIF"
"","MBM","MBM","387990","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","Uhlmann, A",,"","485","","Uhlmann, A",2012,5,6,"Brazil","Rio de Janeiro","Nova Friburgo","Antena SBT",-22.359192,-42.564078,"Árvore de aproximadamente 6m de altura; flores em botões.; Em borda de Floresta Ombrófila Densa Montana.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","JBRJ","RB","RB00863280","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.",,,"","485","","A. Uhlmann; et al",2012,5,6,"Brazil","Rio de Janeiro","Nova Friburgo","Antena SBT.",-22.359167,-42.563889,"Árvore de aproximadamente 6m de altura; flores em botões","Daphnopsis schwackeana Taub.","",,"GBIF"
"","UNISANTA","HUSC","11848","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.",,,"","821","","P.S.P Sampaio",2012,8,22,"Brazil","São Paulo","Guarujá","Serra do Guararu, condomínio Iporanga.",,,"Flores creme-amareladas.; Floresta ombrofila densa.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","UNISANTA","HUSC","11850","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","P.S.P Sampaio",2012,"","130","","D. Costa; R. Guandalini, G Martins",2012,8,17,"Brazil","São Paulo","Guarujá","Serra do Guararu, condomínio Iporanga, área B.",-23.898083,-46.166417,"Árvore com ca. de 4 metros de altura, na borda da mata, com flores caulinares cremes com estames amarelos (8 estames).; Floresta ombrofila densa.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","UNISANTA","HUSC","11849","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","M.Magenta; P.S.P Sampaio",2014,"","31","","A. Carminatto; M.Magenta",2012,8,9,"Brazil","São Paulo","Guarujá","Serra do Guararu, condomínio Iporanga, área C, parcela 19, indivíduo 1091.",,,"Árvore medindo 9m e com inflorescência (botão) verde clara.; Floresta ombrofila densa.","Daphnopsis schwackeana Taub.","",,"GBIF"
"","IAC","IAC","54075","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","A.C.O. Souza et al.",2012,"","20","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2012,,,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Daphnopsis schwackeana Taub.","",,"GBIF"
"","IF","SPSF","45701","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","N.M.Ivanauskas",2012,"","6404","","N.M.Ivanauskas & E.Rocha & D.Souza & F.M.Souza & S.Alves",2011,9,2,"Brazil","Sp","Bananal","Estação Ecológica de Bananal",-22.790556,-44.356944,"COLETA: Arvoreta 2,5m altura, flores.;","Daphnopsis schwackeana Taub.","",,"GBIF"
"","UNICAMP","UEC","200104","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.",,,"","M1457","","Padgurschi, MCG; Belinello, R",2009,,,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar",-23.4,-45.183333,"Parcela M - Projeto Biota-FAPESP. Árvore com 6.5 metros de altura. Frequência da espécie na parcela: n=6","Daphnopsis schwackeana Taub.","",,"GBIF"
"","JBRJ","RB","RB00519960","Daphnopsis schwackeana","","Thymelaeaceae","Daphnopsis","schwackeana","","Taub.","Lucia Rossi",,"","605","","M.C.Souza; M.M.Saavedra, R.F.Monteiro, C.N.Fraga",2008,1,16,"Brazil","Espírito Santo","Águia Branca","Rochedo. Propriedade do Sr. Ailton Corteletti . Mata entre os afloramentos.",-18.954444,-40.801944,"Arbusto de 2 metros de altura com flores brancas.","Daphnopsis schwackeana Taub.","",,"GBIF"
