"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150580","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","L. Daneu",,"","183","","Rocha, F.O.",2014,10,21,"Brazil","Bahia","IBICARAÍ","Conglomerado BA_1277-1-7-33",-14.76,-39.599722,"<ll>dwc_commonname:</ll>","Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150484","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","L. Daneu",,"","241","","Fernandes, M.H.",2014,12,4,"Brazil","Bahia","PORTO SEGURO","Conglomerado BA_1392-4-3-6",-16.560278,-39.420278,"<ll>dwc_commonname:</ll>","Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","UFES","VIES","21849","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Zorzanelli, J.P.F.",2012,"","125","","Zorzanelli, J.P.F.",2011,9,16,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","UFES","VIES","21368","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Zorzanelli, J.P.F.",2011,"","250","","Zorzanelli, J.P.F.; Silva, A.E.",2011,12,27,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","UFES","VIES","21848","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Zorzanelli, J.P.F.",2012,"","280","","Zorzanelli, J.P.F.; Silva, A.E.",2011,12,31,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","NY","NY","02674899","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","D. Piotto",2011,"","2882","","D. Piotto",2010,6,10,"Brazil","Bahia",,"Parque Est. Serra do Conduru",-14.42,-39.08,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","Instituto de Botânica","SP","427111","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Gaglioti, AL",2011,"","316","","Silva, LR",2010,7,8,"Brazil","Pernambuco","Gravatá","Engenho Jussara, Mata Benedito",,,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","MN","R","217564","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg",,,"","1448","","Machado, A.F.P.",2008,5,24,"Brazil","Espiríto Santo","Santa Teresa",,,,,"Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","UFPR","UPCB","76379","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Neto, S. R. & Gaglioti, A.",2009,"","1165","","Goldenberg, R.",2008,7,17,"Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha para o Forninho. Floresta Ombrófila Densa Altomontana com inselbergues. 1100-1400m",,,"Árvore 7m, em floresta sobre pedra que margeia córrego. Inflorescências masculinas jovens, amareladas..","Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
"","JBRJ","RB","RB00532367","Coussapoa pachyphylla","","Urticaceae","Coussapoa","pachyphylla","","Akkermans & C.C.Berg","Sergio Romaniuc Neto & André Gaglioti",,"","1165","","R. Goldenberg; P.H. Labiak. C.N. Fraga, L. Kollmann, A.P. Fontana, P. Viana & M.M. Saavedra",2008,7,17,"Brazil","Espírito Santo","Castelo","Trilha para o Forninho. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande",-20.516111,-41.083611,"Árvore 7m, em floresta sobre pedra que margeia córrego. Inflorescências masculinbas jovens, amareladas.","Coussapoa pachyphylla Akkermans & C.C.Berg","",,"GBIF"
