"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Mato Grosso","CNMT","7896","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Giacoppini, D. R.",2017,"","113","","Giacoppini, D.R.; Amaral, J.;",2017,6,26,"Brazil","Mato Grosso","Sinop","UHE Sinop - Trilha Tucunaré - Mata Ciliar",-11.689722,-55.708333,"Flores azuisTrilha de Monitoramento de Fauna - UHE Sinop","Qualea ingens Warm.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","5208","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Santos, J. P.",2015,"","451","","Santos, J.P.; França, A.L.; Giacoppini, D.R.;Silva, G.M.X.",2015,2,,"Brazil","Mato Grosso","Cotriguaçu","Fazenda São Nicolau.",-9.857286,-58.253136,"Projeto Caracterização da Flora e Modelos de Restauração de Áreas de Preservação Permanete (APP'S) Degradadas no Estado do Mato Grosso.","Qualea ingens Warm.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","5207","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Santos, J. P.",2015,"","450","","Santos, J.P.; França, A.L.; Giacoppini, D.R.;Silva, G.M.X.",2015,2,,"Brazil","Mato Grosso","Cotriguaçu","Fazenda São Nicolau.",-9.869553,-58.263539,"Projeto Caracterização da Flora e Modelos de Restauração de Áreas de Preservação Permanete (APP'S) Degradadas no Estado do Mato Grosso.","Qualea ingens Warm.","",,"GBIF"
"","UNEMAT","HERBAM","24014","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Santos, JP",,"","451","","Santos, J.P.; França, A.L.; Giacoppini, D.R. & Silva, G.M.X.",2015,2,,"Brazil","Mato Grosso","Cotriguaçu","Floresta Ciliar",-9.857286,-58.253136,,"Qualea ingens Warm.","",,"GBIF"
"","UNEMAT","HERBAM","24025","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Santos, JP",,"","450","","Santos, J.P.; França, A.L.; Giacoppini, D.R. & Silva, G.M.X.",2015,2,,"Brazil","Mato Grosso","Cotriguaçu","Floresta Ciliar",-9.869553,-58.263539,,"Qualea ingens Warm.","",,"GBIF"
"","MBM","MBM","398649","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Ferneda-Rocha, LC",2014,"","s.n.","","Antoniazzi, SA",2014,9,10,"Brazil","Mato Grosso","Nova Canaã do Norte","Lote A de supressão",-10.964722,-55.76,"Árvore. Base reta. Folhas simples, discolores, esbranquiçadas abaxialmente, coriáceas. Sépalas verdes, pétalas roxas.; Floresta do ""Planalto dos Parecís"", região de ecótono entre a Floresta Amazônica e Cerrado. Solo úmido.","Qualea ingens Warm.","",,"GBIF"
"","UNEMAT","HERBAM","22176","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.","Ferneda Rocha, LC",2014,"","219Equipe 10 -","","Antoniazzi, S.A.; Silva, M. & Pereira, O.P.",2014,9,10,"Brazil","Mato Grosso","Nova Canaã do Norte","Resgate de FLORA da UHE Colíder. Lote A de supress",-10,-55,,"Qualea ingens Warm.","",,"GBIF"
"","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH","79715","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.",,,"","42444","","Cárdenas, D.",2010,7,14,"Colombia","Caquetá",,"Vía los Ángeles.",1.42,-75.88,"Ejemplar botánico","Qualea ingens Warm.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","4072","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.",,,"",,"","Vilela-Santos, M.C.",2010,9,13,"Brazil","Mato Grosso","Cláudia","Fazenda Continental. Módulo II, PPBio.",-11.410778,-55.324756,"PPBio - Projeto de Pesquisa da Biodiversidade.","Qualea ingens Warm.","",,"GBIF"
"","UNITINS","HUTO","2195","Qualea ingens","","Vochysiaceae","Qualea","ingens","","Warm.",,,"","1760","","Santos, E.R.",2009,7,11,"Brazil","Tocantins","Novo Acordo","Acima da Serra, próximo à Foz do rio Vermelho",-10.049444,-47.376667,"Arbusto com cerca de 2 m de altura. Frutos jovens de cor verde. Flores de cálice verde-claro a creme e corola creme; Campo cerrado (tipo carrasco denso, sobre solo pedregoso)","Qualea ingens Warm.","",,"GBIF"
