"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","131612","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Miranda, AM",2017,"","67","","Martins, K; Figueredo, A",2017,9,20,"Brazil","Bahia","Saubara","Distrito de cabuçu, fazenda Cabuçu.",,,"ca 5 m de altura, caule marrom, folhas coriáceas, inflorescência amarela. Muito frequente.","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","21933","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","A.M.Miranda",2017,"","67","","K.Martins; A.Figueredo",2017,9,20,"Brazil","Bahia","Saubara",,,,"Arvoreta ca. 5 m alt.; caule marrom; folhas coriáceas; inflorescência amarela. Muito frequente.","Vochysia lucida C.Presl","",,"GBIF"
"","JBRJ","RB","RB01379062","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","A.M. Miranda",,"","6820","","A.M. Miranda; K. Martins; A. Figueredo",2017,10,18,"Brazil","Bahia","Saubara","Distrito de Cabuçu, fazenda Cabuçu",,,,"Vochysia lucida C.Presl","",,"GBIF"
"","UEFS","HUEFS","238591","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","A.M.Miranda",2017,"","6820","","Miranda, A.M.",2017,10,18,"Brazil","Bahia","Saubara","Cabuçu. Fazenda Cabuçu.",,,,"Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22015","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","A.M.Miranda",2017,"","6820","","A.M.Miranda; K.Martins, A.Figueredo",2017,10,18,"Brazil","Bahia","Saubara","distrito de Cabuçu, fazenda Cabuçu",,,"Arvoreta ca. 3 m alt; caule amarronzado; folhas coriáceas; flores amarelas; frutos imaturos verde-arroxeados. Frequente.","Vochysia lucida C.Presl","",,"GBIF"
"","UFRB","HURB","11317","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl",,,"","1617","","Costa, G.; Ribeiro, P. L. & Santos, M.A.",2016,1,13,"Brazil","Bahia","Jaguaripe","Praia dos Garcez;",-13.2,-38.9,,"Vochysia lucida C.Presl","",,"GBIF"
"","UNICAMP","UEC","188811","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Shimizu, GH",2016,"","HURB11317","","Costa, G; Ribeiro, PL; Santos, MA",2016,1,13,"Brazil","Bahia","Jaguarari","Praia do Garcez.",-13.2,-38.9,"Árvore, ca. 8 m, frutos marrons.; Reestinga.","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","37489","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl",,2016,"","70","","Nunes, SS; Félix, G J; Souza, JO; Neto. A. M.S.",2016,1,20,"Brazil","Sergipe","São Cristóvão","Rodovia João Bebe Água (SE-095)",-11.513091,-37.571094,"Árvore com cerca de 3 m. Frutos imaturos verdes. Borda da mata; Mata Atlântica","Vochysia lucida C.Presl","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153244","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","C. Pessoa & L. Daneu",,"","135","","Schulte, T.F.",2016,2,29,"Brazil","Bahia","araçás","Conglomerado BA_723-1-10-2",-12.211111,-38.2025,"<ll>dwc_commonname:</ll>","Vochysia lucida C.Presl","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153360","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","C. Pessoa",,"","251","","Schulte, T.F.",2016,3,8,"Brazil","Bahia","MATA DE SÃO JOÃO","Conglomerado BA_770-4-2-4",-12.530278,-38.299167,"<ll>dwc_commonname:</ll>","Vochysia lucida C.Presl","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153855","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","C. Pessoa",,"","1454","","Santos, E.A.",2016,3,11,"Brazil","Bahia","entre rios","Conglomerado BA_675-4-4-2",-11.941944,-38.084444,"<ll>dwc_commonname:</ll>","Vochysia lucida C.Presl","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153864","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","C. Pessoa",,"","1463","","Santos, E.A.",2016,3,11,"Brazil","Bahia","entre rios","Conglomerado BA_675-1-10-3RN",-11.941944,-38.084444,"<ll>dwc_commonname:</ll>","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","126417","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Guedes, ML",2018,"","25175","","Guedes, ML; Alunos de Botânica BIOC05",2016,10,22,"Brazil","Bahia","Mata de São João","Ponto 01.",-12.516667,-38.283333,"Folhas coriáceas, discolores. Inflorescência terminal, flores amarelo-ouro.","Vochysia lucida C.Presl","",,"GBIF"
"","UFRB","HURB","15088","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","G.Costa",2017,"","2150","","Costa, G.; Correira, F. & Silva, T.T.",2016,11,23,"Brazil","Bahia","Jaguaripe","Praia do Garcês;",-13.207222,-38.906389,,"Vochysia lucida C.Presl","",,"GBIF"
"","UFRB","HURB","11295","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl",,,"","1595","","Costa, G.; Santos, M.A. & Alves, T.N.",2015,11,23,"Brazil","Bahia","Jaguaripe","Praia dos Garcez;",-13.206389,-38.905556,,"Vochysia lucida C.Presl","",,"GBIF"
"","UESC","UESC","21512","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl",,,"","1595","","Costa, G.",2015,11,23,"Brazil","Bahia","Jaguaripe",,-13.206389,-38.905556,"Arvoreta ca. 5m, pedicelo vináceo,","Vochysia lucida C.Presl","",,"GBIF"
"","UNICAMP","UEC","188817","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Shimizu, GH",2016,"","HURB11295","","Costa, G; Santos, MA; Alves, TN",2015,11,23,"Brazil","Bahia","Jaguarari","Praia dos Garcez.",-13.206389,-38.905556,"Arvoreta ca. 5m, pedicelo vináceo, flor amarela, fruto verde.; Restinga.","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","125168","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl",,,"","1595","","Costa, G; Santos, MA; Alves, TN",2015,11,23,"Brazil","Bahia",,"Jaguaripe, Praia dos Garcez.",-13.206389,-38.905556,"ca. 5m., pedicelo vináceo, flor amarela, fruto verde.","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","32310","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Silva, ACC",2014,"","277","","Almeida, ES",2014,4,29,"Brazil","Sergipe","São Cristóvão",,-11.014722,-37.206389,"Árvore com 6,6 m, base reta, casca externa cinza, grossa, rugosa e com placas lenhosas e casca interna laranja. Coordenadas UTM: E (0690153m) N (8790659m). Nº do conglomerado: 133, Nº da subunidade: 3, Nº da subparcela: 1, Nº da árvor","Vochysia lucida C.Presl","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","32309","Vochysia lucida","","Vochysiaceae","Vochysia","lucida","","C.Presl","Silva, ACC",2014,"","1061","","Santos, LAS",2014,6,9,"Brazil","Sergipe","São Cristóvão",,-11.014722,-37.206389,"Árvore com 12 m, base reta, casca externa cinza, fina, rugosa e com placas lenhosas e casca interna laranja. Odor ausente. Coordenadas UTM: E (0685261m) N (8795664m). Nº do conglomerado: 125, Nº da subunidade: 4, Nº da subparcela: 2,","Vochysia lucida C.Presl","",,"GBIF"
