"","especies","use","url"
"1","Abarema campestris","",""
"2","Abarema langsdorffii","",""
"3","Abarema villosa","",""
"4","Acosmium diffusissimum","",""
"5","Acosmium lentiscifolium","use","http://tropical.theferns.info/viewtropical.php?id=Acosmium+lentiscifolium"
"6","Acritopappus prunifolius","",""
"7","Actinostemon roselii","",""
"8","Aeschynomene monteiroi","",""
"9","Agarista glaberrima","",""
"10","Agarista revoluta","",""
"11","Algernonia brasiliensis","",""
"12","Algernonia riedelii","",""
"13","Alseis latifolia","",""
"14","Alseis sertaneja","",""
"15","Andradea floribunda","use","http://tropical.theferns.info/viewtropical.php?id=Andradea+floribunda"
"16","Androcalymma glabrifolium","",""
"17","Angostura quinquefolia","",""
"18","Aniba viridis","",""
"19","Appunia triphylla","",""
"20","Aspidosperma camporum","",""
"21","Aspidosperma dispermum","",""
"22","Aspidosperma illustre","use","http://tropical.theferns.info/viewtropical.php?id=Aspidosperma+illustre"
"23","Aspidosperma thomasii","",""
"24","Bathysa mendoncaei","",""
"25","Bathysa nicholsonii","",""
"26","Bauhinia aureopunctata","",""
"27","Bauhinia bicolor","",""
"28","Bauhinia bombaciflora","",""
"29","Bauhinia grandifolia","",""
"30","Bauhinia longipedicellata","",""
"31","Bauhinia membranacea","",""
"32","Bauhinia ovata","",""
"33","Bauhinia piresii","",""
"34","Bauhinia uberlandiana","",""
"35","Behuria insignis","",""
"36","Beilschmiedia emarginata","use","http://tropical.theferns.info/viewtropical.php?id=Beilschmiedia+emarginata"
"37","Beilschmiedia taubertiana","",""
"38","Byrsonima myricifolia","",""
"39","Byrsonima nitidifolia","",""
"40","Byrsonima perseifolia","",""
"41","Calliandra duckei","",""
"42","Calycophyllum papillosum","",""
"43","Calycophyllum tefense","",""
"44","Calyptranthes grandiflora","",""
"45","Calyptranthes obovata","",""
"46","Calyptranthes rufa","",""
"47","Calyptranthes spruceana","",""
"48","Campomanesia simulans","",""
"49","Casearia oblongifolia","",""
"50","Casearia selloana","",""
"51","Cathedra rubricaulis","",""
"52","Ceiba crispiflora","use","http://tropical.theferns.info/viewtropical.php?id=Ceiba+crispiflora"
"53","Ceiba glaziovii","use","http://tropical.theferns.info/viewtropical.php?id=Ceiba+glaziovii"
"54","Cenostigma nordestinum","use","http://tropical.theferns.info/viewtropical.php?id=Cenostigma+nordestinum"
"55","Cestrum corcovadense","",""
"56","Cestrum subpulverulentum","",""
"57","Chamaecrista amabilis","",""
"58","Chamaecrista amorimii","",""
"59","Chamaecrista aspleniifolia","",""
"60","Chamaecrista blanchetii","",""
"61","Chamaecrista brachystachya","",""
"62","Chamaecrista celiae","",""
"63","Chamaecrista confertiformis","",""
"64","Chamaecrista decora","",""
"65","Chamaecrista duartei","",""
"66","Chamaecrista fulgida","",""
"67","Chamaecrista hedysaroides","",""
"68","Chamaecrista lentiscifolia","",""
"69","Chamaecrista machaeriifolia","",""
"70","Chamaecrista nuda","",""
"71","Chamaecrista pteropoda","",""
"72","Chamaecrista spinulosa","",""
"73","Chamaecrista subpeltata","",""
"74","Chamaecrista unijuga","",""
"75","Chimarrhis barbata","use","http://tropical.theferns.info/viewtropical.php?id=Chimarrhis+barbata"
"76","Chomelia parviflora","",""
"77","Chomelia parvifolia","",""
"78","Chomelia pedunculosa","",""
"79","Cinnamodendron axillare","",""
"80","Cinnamomum glaziovii","use","http://tropical.theferns.info/viewtropical.php?id=Cinnamomum+glaziovii"
"81","Clusia dardanoi","",""
"82","Coccoloba oblonga","",""
"83","Coccoloba schwackeana","",""
"84","Conchocarpus diadematus","",""
"85","Conchocarpus fontanesianus","",""
"86","Conchocarpus santosii","",""
"87","Connarus detersus","",""
"88","Connarus nodosus","",""
"89","Copaifera cearensis","",""
"90","Copaifera piresii","",""
"91","Copaifera sabulicola","",""
"92","Cordia aberrans","",""
"93","Cordia anabaptista","",""
"94","Couepia venosa","",""
"95","Coursetia vicioides","",""
"96","Coussapoa pachyphylla","",""
"97","Coussapoa sprucei","",""
"98","Coussarea accedens","",""
"99","Coussarea andrei","",""
"100","Coussarea capitata","",""
"101","Coussarea congestiflora","",""
"102","Coussarea leptopus","",""
"103","Coussarea megistophylla","",""
"104","Coussarea verticillata","",""
"105","Croton alchorneicarpus","",""
"106","Croton hemiargyreus","",""
"107","Croton sacaquinha","",""
"108","Croton vulnerarius","",""
"109","Cryptocarya micrantha","",""
"110","Cryptocarya riedeliana","",""
"111","Cupania tenuivalvis","",""
"112","Curitiba prismatica","use","http://tropical.theferns.info/viewtropical.php?id=Curitiba+prismatica"
"113","Cyanocephalus lippioides","",""
"114","Cybianthus goyazensis","",""
"115","Cynometra macrocarpa","",""
"116","Cynometra marleneae","use","http://tropical.theferns.info/viewtropical.php?id=Cynometra+marleneae"
"117","Dahlstedtia lewisiana","",""
"118","Dalbergia acuta","",""
"119","Dalbergia decipularis","use","http://tropical.theferns.info/viewtropical.php?id=Dalbergia+decipularis"
"120","Dalbergia glaucescens","",""
"121","Daphnopsis brasiliensis","use","http://tropical.theferns.info/viewtropical.php?id=Daphnopsis+brasiliensis"
"122","Daphnopsis coriacea","",""
"123","Daphnopsis martii","",""
"124","Daphnopsis pseudosalix","",""
"125","Daphnopsis schwackeana","",""
"126","Daphnopsis utilis","",""
"127","Dendropanax brasiliensis","",""
"128","Dendropanax denticulatus","",""
"129","Dendropanax nebulosus","",""
"130","Diatenopteryx grazielae","",""
"131","Dicymbe amazonica","",""
"132","Dicymbe arenicola","",""
"133","Dimorphandra parviflora","",""
"134","Diospyros akaraiensis","",""
"135","Diospyros brasiliensis","use","http://tropical.theferns.info/viewtropical.php?id=Diospyros+brasiliensis"
"136","Diospyros bullata","",""
"137","Diospyros coccolobifolia","",""
"138","Diospyros santaremnensis","",""
"139","Drypetes sessiliflora","use","http://tropical.theferns.info/viewtropical.php?id=Drypetes+sessiliflora"
"140","Duroia hirsutissima","",""
"141","Duroia palustris","",""
"142","Emmotum harleyi","",""
"143","Endlicheria glomerata","use","http://tropical.theferns.info/viewtropical.php?id=Endlicheria+glomerata"
"144","Eperua praesagata","",""
"145","Ephedranthus pisocarpus","",""
"146","Eriotheca pentaphylla","use","http://tropical.theferns.info/viewtropical.php?id=Eriotheca+pentaphylla"
"147","Erythrina speciosa","use","http://tropical.theferns.info/viewtropical.php?id=Erythrina+speciosa"
"148","Erythrostemon calycina","",""
"149","Erythroxylum affine","",""
"150","Erythroxylum andrei","",""
"151","Erythroxylum columbinum","",""
"152","Erythroxylum frangulifolium","",""
"153","Erythroxylum grandifolium","",""
"154","Erythroxylum hamigerum","",""
"155","Erythroxylum macrocalyx","",""
"156","Erythroxylum nobile","",""
"157","Erythroxylum ochranthum","",""
"158","Erythroxylum polygonoides","",""
"159","Erythroxylum splendidum","",""
"160","Esenbeckia decidua","",""
"161","Esenbeckia oligantha","",""
"162","Eugenia acutata","",""
"163","Eugenia arenaria","",""
"164","Eugenia bacopari","",""
"165","Eugenia beaurepairiana","",""
"166","Eugenia capitulifera","",""
"167","Eugenia capparidifolia","",""
"168","Eugenia chlorophylla","",""
"169","Eugenia dichroma","",""
"170","Eugenia ellipsoidea","",""
"171","Eugenia expansa","",""
"172","Eugenia flamingensis","",""
"173","Eugenia handroi","",""
"174","Eugenia leptoclada","",""
"175","Eugenia luschnathiana","use","http://tropical.theferns.info/viewtropical.php?id=Eugenia+luschnathiana"
"176","Eugenia macrantha","",""
"177","Eugenia macrosperma","use","http://tropical.theferns.info/viewtropical.php?id=Eugenia+macrosperma"
"178","Eugenia magnifica","",""
"179","Eugenia mandioccensis","",""
"180","Eugenia monosperma","",""
"181","Eugenia neosilvestris","",""
"182","Eugenia oeidocarpa","",""
"183","Eugenia pantagensis","",""
"184","Eugenia platyphylla","",""
"185","Eugenia puberula","",""
"186","Eugenia rosea","",""
"187","Eugenia rostrifolia","use","http://tropical.theferns.info/viewtropical.php?id=Eugenia+rostrifolia"
"188","Eugenia schottiana","",""
"189","Eugenia sphenophylla","",""
"190","Eugenia sprengelii","use","http://tropical.theferns.info/viewtropical.php?id=Eugenia+sprengelii"
"191","Eugenia supraaxillaris","",""
"192","Eugenia umbrosa","",""
"193","Eugenia xanthoxyloides","",""
"194","Eugenia zuccarinii","",""
"195","Exostyles venusta","use","http://tropical.theferns.info/viewtropical.php?id=Exostyles+venusta"
"196","Faramea bicolor","",""
"197","Faramea biflora","",""
"198","Faramea martiana","",""
"199","Faramea oligantha","",""
"200","Faramea truncata","",""
"201","Ferdinandusa leucantha","",""
"202","Ficus holosericea","",""
"203","Ficus lagoensis","",""
"204","Ficus organensis","",""
"205","Galipea congestiflora","",""
"206","Galipea grandifolia","",""
"207","Galipea laxiflora","",""
"208","Galipea revoluta","",""
"209","Gaylussacia salicifolia","",""
"210","Guarea blanchetii","",""
"211","Guettarda hoffmannseggii","",""
"212","Guettarda hypoglauca","",""
"213","Gymnanthes gaudichaudii","",""
"214","Helicteres macropetala","",""
"215","Helietta glaziovii","",""
"216","Heteropterys sincorensis","",""
"217","Homalolepis cuneata","",""
"218","Homalolepis ferruginea","",""
"219","Hortia longifolia","",""
"220","Hortia neblinensis","",""
"221","Huberia consimilis","",""
"222","Huberia glazioviana","",""
"223","Humiriastrum mussungense","",""
"224","Hymenaea altissima","",""
"225","Hymenaea aurea","",""
"226","Hymenaea cangaceira","",""
"227","Hymenaea fariana","",""
"228","Hymenaea longifolia","",""
"229","Hymenolobium alagoanum","",""
"230","Ilex cerasifolia","use","http://tropical.theferns.info/viewtropical.php?id=Ilex+cerasifolia"
"231","Ilex euryaeformis","",""
"232","Ilex floribunda","",""
"233","Ilex lundii","",""
"234","Ilex sapotifolia","",""
"235","Ilex velutina","",""
"236","Inga congesta","",""
"237","Inga schinifolia","",""
"238","Isertia longifolia","",""
"239","Ixora cowanii","",""
"240","Ixora martinsii","",""
"241","Ixora schottiana","",""
"242","Ixora truncata","",""
