"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"1","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus","3156205","3156205","SPECIES","ACCEPTED"
"2","Unonopsis renatoi Maas & Westra","Unonopsis renatoi Maas & Westra","Unonopsis renatoi","7902485","7902485","SPECIES","ACCEPTED"
"3","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum","3619201","3619201","SPECIES","ACCEPTED"
"4","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum","3618738","3618738","SPECIES","ACCEPTED"
"5","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","Aspidosperma illustre Kuhlm. & Piraja","Aspidosperma illustre","3618312","3618312","SPECIES","ACCEPTED"
"6","Aspidosperma thomasii Marc.-Ferr.","Aspidosperma thomasii W.Marcondes-Ferreira","Aspidosperma thomasii","3616551","3616551","SPECIES","ACCEPTED"
"7","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis","3618085","3618085","SPECIES","ACCEPTED"
"8","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora","3617811","3617811","SPECIES","ACCEPTED"
"9","Rauvolfia atlantica Emygdio","Rauvolfia atlantica Emygdio","Rauvolfia atlantica","7535975","7535975","SPECIES","ACCEPTED"
"10","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae","3618250","3618250","SPECIES","ACCEPTED"
"11","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia","3616906","3616906","SPECIES","ACCEPTED"
"12","Ilex cerasifolia Reissek","Ilex cerasifolia Reissek","Ilex cerasifolia","7315938","7315938","SPECIES","ACCEPTED"
"13","Ilex euryaeformis Reissek","Ilex euryaeformis Reissek","Ilex euryaeformis","5534240","5534240","SPECIES","ACCEPTED"
"14","Ilex floribunda Reissek ex Maxim.","Ilex floribunda Reissek ex Maxim.","Ilex floribunda","7315796","7315796","SPECIES","ACCEPTED"
"15","Ilex lundii Warm.","Ilex lundii Warm.","Ilex lundii","7315893","7315893","SPECIES","ACCEPTED"
"16","Ilex sapotifolia Reissek","Ilex sapotifolia Reissek","Ilex sapotifolia","5533610","5533610","SPECIES","ACCEPTED"
"17","Ilex velutina Reissek","Ilex velutina Mart. ex Reissek","Ilex velutina","7315906","7315906","SPECIES","ACCEPTED"
"18","Dendropanax brasiliensis (Seem.) Frodin","Dendropanax brasiliensis (Seem.) Frodin","Dendropanax brasiliensis","3034981","3034981","SPECIES","ACCEPTED"
"19","Dendropanax denticulatus Fiaschi","Dendropanax denticulatus Fiaschi","Dendropanax denticulatus","3035193","3035193","SPECIES","ACCEPTED"
"20","Dendropanax nebulosus Fiaschi & Jung-Mend.","Dendropanax nebulosus Fiaschi & Jung-Mend.","Dendropanax nebulosus","3035179","3035179","SPECIES","ACCEPTED"
"21","Schefflera burchellii (Seem.) Frodin & Fiaschi","Schefflera burchellii (Seem.) Frodin & Fiaschi","Schefflera burchellii","3037977","3037977","SPECIES","ACCEPTED"
"22","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi","Schefflera longipetiolata","3037742","3037742","SPECIES","ACCEPTED"
"23","Schefflera selloi (Marchal) Frodin & Fiaschi","Schefflera selloi (Marchal) Frodin & Fiaschi","Schefflera selloi","3037722","3037722","SPECIES","ACCEPTED"
"24","Acritopappus prunifolius R.M.King & H.Rob.","Acritopappus prunifolius R.M.King & H.Rob.","Acritopappus prunifolius","3101611","3101611","SPECIES","ACCEPTED"
"25","Lychnophora rupestris Semir","Lychnophora rupestris Semir","Lychnophora rupestris","7885116","7885116","SPECIES","ACCEPTED"
"26","Lychnophora staavioides Mart.","Lychnophora staavioides Mart.","Lychnophora staavioides","5399413","5399413","SPECIES","ACCEPTED"
"27","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris","5406642","5406642","SPECIES","ACCEPTED"
"28","Piptocarpha densifolia Dusén ex G. Lom. Sm.","Piptocarpha densifolia G.Lom.Sm.","Piptocarpha densifolia","5406613","5406613","SPECIES","ACCEPTED"
"29","Piptocarpha organensis Cabrera","Piptocarpha organensis Cabrera","Piptocarpha organensis","5406550","5406550","SPECIES","ACCEPTED"
"30","Cordia aberrans I.M.Johnst.","Cordia aberrans I.M.Johnst.","Cordia aberrans","5660353","5660353","SPECIES","ACCEPTED"
"31","Cordia anabaptista Cham.","Cordia anabaptista Cham.","Cordia anabaptista","5660265","5660265","SPECIES","ACCEPTED"
"32","Protium widgrenii Engl.","Protium widgrenii Engl.","Protium widgrenii","7286758","7286758","SPECIES","ACCEPTED"
"33","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare","3877817","3877817","SPECIES","ACCEPTED"
"34","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia","9757131","9757131","SPECIES","ACCEPTED"
"35","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia","9747611","9747611","SPECIES","ACCEPTED"
"36","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens","9712285","9712285","SPECIES","ACCEPTED"
"37","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","Monteverdia littoralis (Carv.-Okano) Biral","Monteverdia littoralis","9691360","9691360","SPECIES","ACCEPTED"
"38","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla","9773991","9773991","SPECIES","ACCEPTED"
"39","Monteverdia rigida (Mart.) Biral","Monteverdia rigida (Mart.) Biral","Monteverdia rigida","9797964","9797964","SPECIES","ACCEPTED"
"40","Couepia venosa Prance","Couepia venosa Prance","Couepia venosa","2984817","2984817","SPECIES","ACCEPTED"
"41","Licania nitida Hook.f.","Licania nitida Hook.","Licania nitida","2985373","2985373","SPECIES","ACCEPTED"
"42","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi","5555508","5555508","SPECIES","ACCEPTED"
"43","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana","3699658","3699658","SPECIES","ACCEPTED"
"44","Terminalia mameluco Pickel","Terminalia mameluco Pickel","Terminalia mameluco","3699917","3699917","SPECIES","ACCEPTED"
"45","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa","3698769","3698769","SPECIES","ACCEPTED"
"46","Connarus detersus Planch.","Connarus detersus Planch.","Connarus detersus","3686496","3686496","SPECIES","ACCEPTED"
"47","Connarus nodosus Baker","Connarus nodosus Baker","Connarus nodosus","3687172","3687172","SPECIES","ACCEPTED"
"48","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum","4195763","4195763","SPECIES","ACCEPTED"
"49","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata","4195929","4195929","SPECIES","ACCEPTED"
"50","Diospyros akaraiensis A.C.Sm.","Diospyros akaraiensis A.C.Sm.","Diospyros guianensis","4069979","6056977","SPECIES","SYNONYM"
"51","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis","4070363","4070363","SPECIES","ACCEPTED"
"52","Diospyros bullata A.C.Sm.","Diospyros bullata A.C.Sm.","Diospyros bullata","4070306","4070306","SPECIES","ACCEPTED"
"53","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia","4071176","4071176","SPECIES","ACCEPTED"
"54","Diospyros santaremnensis Sandwith","Diospyros santaremnensis Sandwith","Diospyros santaremnensis","4071165","4071165","SPECIES","ACCEPTED"
"55","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima","5684783","5684783","SPECIES","ACCEPTED"
"56","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","Agarista revoluta (Sprengel) J.D.Hooker ex Niedenzu","Agarista revoluta","8243352","8243352","SPECIES","ACCEPTED"
"57","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia","7373080","7373080","SPECIES","DOUBTFUL"
"58","Erythroxylum affine A.St.-Hil.","Erythroxylum affine A.St.-Hil.","Erythroxylum affine","7657079","7657079","SPECIES","ACCEPTED"
"59","Erythroxylum andrei Plowman","Erythroxylum andrei Plowman","Erythroxylum andrei","3694026","3694026","SPECIES","ACCEPTED"
"60","Erythroxylum columbinum Mart.","Erythroxylum columbinum Mart.","Erythroxylum columbinum","3694417","3694417","SPECIES","ACCEPTED"
"61","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium","3694275","3694275","SPECIES","ACCEPTED"
"62","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium","3694108","3694108","SPECIES","ACCEPTED"
