"original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat","GTSearch"
"Annonaceae","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus R.E.Fr.",110367,"Annonaceae","Ephedranthus pisocarpus R.E.Fr.",110367,"conduru-PORTUGUES-Nordeste/conduru-brabo-PORTUGUES-Nordeste/conduru-amarelo-PORTUGUES-Nordeste/envira-de-cocho-PORTUGUES-Nordeste","LFB","name ok","","Ephedranthus pisocarpus","NATIVA","Endemica/Amazônia-Endemica/Caatinga","BR-PI-BR-MA-BR-CE","Arbusto-Árvore","Caatinga (stricto sensu)-Floresta Ciliar ou Galeria","Terrícola","sim"
"Annonaceae","Unonopsis renatoi Maas & Westra","Unonopsis renatoi Maas & Westra",110548,"Annonaceae","Unonopsis renatoi Maas & Westra",110548,"Pindaíba-PORTUGUES-NA","LFB","name ok","","Unonopsis renatoi","NATIVA","Endemica/Mata Atlântica","BR-ES","Árvore","Floresta Estacional Semidecidual","Terrícola","sim"
"Apocynaceae","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum Müll.Arg.",4522,"Apocynaceae","Aspidosperma camporum Müll.Arg.",4522,,"LFB",,"","Aspidosperma camporum","NATIVA","Endemica/Mata Atlântica","BR-PR-BR-SC-BR-MG-BR-SP-BR-RJ","Árvore","Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola",
"Apocynaceae","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum Müll.Arg.",25124,"Apocynaceae","Aspidosperma dispermum Müll.Arg.",25124,"catingueira-PORTUGUES-NA/peroba-vermelha-PORTUGUES-NA","LFB","name ok","","Aspidosperma dispermum","NATIVA","Endemica/Cerrado","BR-ES-BR-MG","Árvore","Floresta Ciliar ou Galeria","Terrícola","sim"
"Apocynaceae","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá",4527,"Apocynaceae","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá",4527,,"LFB","name ok","","Aspidosperma illustre","NATIVA","Endemica/Mata Atlântica","BR-PE-BR-MG-BR-ES-BR-BA","Arbusto-Árvore","Floresta Estacional Decidual-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Aspidosperma thomasii Marc.-Ferr.","Aspidosperma thomasii Marc.-Ferr.",4536,"Apocynaceae","Aspidosperma thomasii Marc.-Ferr.",4536,"Pitiá-branco-PORTUGUES-NA","LFB","name ok","","Aspidosperma thomasii","NATIVA","Endemica/Mata Atlântica","BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis J.F.Morales",4634,"Apocynaceae","Lacmellea bahiensis J.F.Morales",4634,,"LFB","name ok","","Lacmellea bahiensis","NATIVA","Endemica/Mata Atlântica","BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora (Kuhlm.) Markgr.",4635,"Apocynaceae","Lacmellea pauciflora (Kuhlm.) Markgr.",4635,,"LFB","name ok","","Lacmellea pauciflora","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Rauvolfia atlantica Emygdio","Rauvolfia atlantica Emygdio",4840,"Apocynaceae","Rauvolfia atlantica Emygdio",4840,"pau-de-cachimbo-PORTUGUES-nordeste","LFB","name ok","","Rauvolfia atlantica","NATIVA","Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae I.Koch & Kin.-Gouv.",4842,"Apocynaceae","Rauvolfia capixabae I.Koch & Kin.-Gouv.",4842,,"LFB","name ok","","Rauvolfia capixabae","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Apocynaceae","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.",4846,"Apocynaceae","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.",4846,,"LFB","name ok","","Rauvolfia pruinosifolia","NATIVA","Endemica/Mata Atlântica","BR-MG","Árvore","Floresta Estacional Semidecidual","Terrícola","sim"
"Aquifoliaceae","Ilex cerasifolia Reissek","Ilex cerasifolia Reissek",4885,"Aquifoliaceae","Ilex cerasifolia Reissek",4885,,"LFB","name ok","","Ilex cerasifolia","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-MT-BR-MS-BR-GO","Árvore","Cerrado (lato sensu)-Floresta Estacional Semidecidual","Terrícola","sim"
"Aquifoliaceae","Ilex euryaeformis Reissek","Ilex euryaeformis Reissek",4890,"Aquifoliaceae","Ilex euryaeformis Reissek",4890,,"LFB","name ok","","Ilex euryaeformis","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola",
"Aquifoliaceae","Ilex floribunda Reissek ex Maxim.","Ilex floribunda Reissek ex Maxim.",4891,"Aquifoliaceae","Ilex floribunda Reissek ex Maxim.",4891,,"LFB","name ok","","Ilex floribunda","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-ES-BR-PE-BR-BA","Arbusto-Árvore","Restinga",,"sim"
"Aquifoliaceae","Ilex lundii Warm.","Ilex lundii Warm.",4899,"Aquifoliaceae","Ilex lundii Warm.",4899,,"LFB","name ok","","Ilex lundii","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-BA-BR-GO-BR-DF","Arbusto-Árvore","Campo rupestre-Cerrado (lato sensu)","Terrícola","sim"
"Aquifoliaceae","Ilex sapotifolia Reissek","Ilex sapotifolia Reissek",4907,"Aquifoliaceae","Ilex sapotifolia Reissek",4907,,"LFB","name ok","","Ilex sapotifolia","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Aquifoliaceae","Ilex velutina Reissek","Ilex velutina Reissek",15618,"Aquifoliaceae","Ilex velutina Reissek",15618,,"LFB","name ok","","Ilex velutina","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-PE-BR-BA","Árvore","Campo rupestre","Terrícola","sim"
"Araliaceae","Dendropanax brasiliensis (Seem.) Frodin","Dendropanax brasiliensis (Seem.) Frodin",5103,"Araliaceae","Dendropanax brasiliensis (Seem.) Frodin",5103,,"LFB","name ok","","Dendropanax brasiliensis","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-ES-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Araliaceae","Dendropanax denticulatus Fiaschi","Dendropanax denticulatus Fiaschi",5106,"Araliaceae","Dendropanax denticulatus Fiaschi",5106,,"LFB","name ok","","Dendropanax denticulatus","NATIVA","Endemica/Mata Atlântica","BR-SP","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Araliaceae","Dendropanax nebulosus Fiaschi & Jung-Mend.","Dendropanax nebulosus Fiaschi & Jung-Mend.",5111,"Araliaceae","Dendropanax nebulosus Fiaschi & Jung-Mend.",5111,,"LFB","name ok","","Dendropanax nebulosus","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
