"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie"
"1","Annonaceae","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus R.E.Fr.",110367,"Annonaceae","Ephedranthus pisocarpus R.E.Fr.",110367,"conduru-PORTUGUES-Nordeste/conduru-brabo-PORTUGUES-Nordeste/conduru-amarelo-PORTUGUES-Nordeste/envira-de-cocho-PORTUGUES-Nordeste","LFB","name ok","","Ephedranthus pisocarpus"
"2","Annonaceae","Unonopsis renatoi Maas & Westra","Unonopsis renatoi Maas & Westra",110548,"Annonaceae","Unonopsis renatoi Maas & Westra",110548,"Pindaíba-PORTUGUES-NA","LFB","name ok","","Unonopsis renatoi"
"3","Apocynaceae","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum Müll.Arg.",4522,"Apocynaceae","Aspidosperma camporum Müll.Arg.",4522,NA,"LFB",NA,"","Aspidosperma camporum"
"4","Apocynaceae","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum Müll.Arg.",25124,"Apocynaceae","Aspidosperma dispermum Müll.Arg.",25124,"catingueira-PORTUGUES-NA/peroba-vermelha-PORTUGUES-NA","LFB","name ok","","Aspidosperma dispermum"
"5","Apocynaceae","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá",4527,"Apocynaceae","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá",4527,NA,"LFB","name ok","","Aspidosperma illustre"
"6","Apocynaceae","Aspidosperma thomasii Marc.-Ferr.","Aspidosperma thomasii Marc.-Ferr.",4536,"Apocynaceae","Aspidosperma thomasii Marc.-Ferr.",4536,"Pitiá-branco-PORTUGUES-NA","LFB","name ok","","Aspidosperma thomasii"
"7","Apocynaceae","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis J.F.Morales",4634,"Apocynaceae","Lacmellea bahiensis J.F.Morales",4634,NA,"LFB","name ok","","Lacmellea bahiensis"
"8","Apocynaceae","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora (Kuhlm.) Markgr.",4635,"Apocynaceae","Lacmellea pauciflora (Kuhlm.) Markgr.",4635,NA,"LFB","name ok","","Lacmellea pauciflora"
"9","Apocynaceae","Rauvolfia atlantica Emygdio","Rauvolfia atlantica Emygdio",4840,"Apocynaceae","Rauvolfia atlantica Emygdio",4840,"pau-de-cachimbo-PORTUGUES-nordeste","LFB","name ok","","Rauvolfia atlantica"
"10","Apocynaceae","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae I.Koch & Kin.-Gouv.",4842,"Apocynaceae","Rauvolfia capixabae I.Koch & Kin.-Gouv.",4842,NA,"LFB","name ok","","Rauvolfia capixabae"
"11","Apocynaceae","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.",4846,"Apocynaceae","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.",4846,NA,"LFB","name ok","","Rauvolfia pruinosifolia"
"12","Aquifoliaceae","Ilex cerasifolia Reissek","Ilex cerasifolia Reissek",4885,"Aquifoliaceae","Ilex cerasifolia Reissek",4885,NA,"LFB","name ok","","Ilex cerasifolia"
"13","Aquifoliaceae","Ilex euryaeformis Reissek","Ilex euryaeformis Reissek",4890,"Aquifoliaceae","Ilex euryaeformis Reissek",4890,NA,"LFB","name ok","","Ilex euryaeformis"
